Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Toko Alat Tulis";"Toko Siswa";"5673+JRW Toko Siswa, Dusun Tengah A, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Dusun Tengah A, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082333488444";"";"";"-7.835895";"113.2045806";"https://maps.google.com/?cid=0x0:0x81d0f266e2f8910a";""
"mall";"Toko";"Pelangi Lbf";"56C3+PH5, Dusun Tengah B, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Dusun Tengah B, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";"";"";"";"-7.8282268";"113.2039806";"https://maps.google.com/?cid=0x0:0x3ab47a622218b4f";""
"mall";"Artistic handicrafts";"NurHenna Art";"55CQ+PM3, Unnamed Road, Krajan I, Kropak, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Unnamed Road, Krajan I, Kropak, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082241960179";"";"";"-7.8282375";"113.1891686";"https://maps.google.com/?cid=0x0:0xecd5f2b3c3a52ace";""
"mall";"Toko";"TOKO SOFIA SERBA ADA";"Dusun Krajan RT : 03 RW : 01 Desa, Krajan, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Krajan, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 085336125067";"";"";"-7.8440355";"113.2034841";"https://maps.google.com/?cid=0x0:0xcf4a960d95560175";""
"mall";"Toko";"Toko Andini jaya";"556M+CRX, Kapuran, Tempuran, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Kapuran, Tempuran, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";"";"";"";"-7.8388787";"113.1846";"https://maps.google.com/?cid=0x0:0x7375c6ee7018d382";""
"mall";"Toko Swalayan";"Toko DAHLYA";"556M+GFJ, Jl. Kyai Anom, Triwung, Tempuran, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Jl. Kyai Anom, Triwung, Tempuran, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082143101563";"";"";"-7.8386643";"113.1836386";"https://maps.google.com/?cid=0x0:0xa90c0bdcf1b2a72b";""
"mall";"Toko";"Toko Pak Dul";"Kedung Jamban, Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 085230593180";"";"";"-7.8600128";"113.2016255";"https://maps.google.com/?cid=0x0:0x79761afbbf38210f";""
"mall";"Toko Aksesori Ponsel";"ASIFAN.CELL  VAPE STORE";"Jl. Raya Bantaran, Krajan, Patokan, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Krajan, Patokan, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082330426802";"";"";"-7.8506519";"113.1832442";"https://maps.google.com/?cid=0x0:0x85f1e3372a3027d4";""
"mall";"Toko";"Home industri Rengginang ibu Nasari";"46MC+H56, Tugu, Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Tugu, Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082318363839";"";"";"-7.8660966";"113.2204051";"https://maps.google.com/?cid=0x0:0xfdf020646ed04e9e";""
"mall";"Pusat Perbelanjaan";"Slamet Pedagang Ikan";"46G7+5CX, Sumur Dalem, Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Sumur Dalem, Kedungrejo, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";"";"";"";"-7.87452";"113.2136135";"https://maps.google.com/?cid=0x0:0xa1ba9d881f4079db";""
"mall";"Toko bahan makanan";"Toko hamidah";"45JH+RCP, Beberan, Bantaran, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Beberan, Bantaran, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 085204095909";"";"";"-7.8679156";"113.1785666";"https://maps.google.com/?cid=0x0:0xacad122f75864757";""
"mall";"Pusat Perbelanjaan";"TOKO AMANAH 1";"45F7+9XP, Jl. Raya Kuripan, Macam, Karanganyar, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur";"Kabupaten Probolinggo, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.8765324";"113.1649525";"https://maps.google.com/?cid=0x0:0x5f16c61538db777d";""
"mall";"Toko";"Toko B Sunm";"5682+37Q, Dusun Tengah A, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Dusun Tengah A, Kramatagung, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082338631503";"";"";"-7.8347947";"113.2007354";"https://maps.google.com/?cid=0x0:0x62427b844f1da38a";""
"mall";"Pemasok Telur";"Telur Asin MJA";"45WM+X5X, Kaporan, Patokan, Kec. Bantaran, Kabupaten Probolinggo, Jawa Timur 67261";"Kaporan, Patokan, Kec. Bantaran, Kabupaten Probolinggo";"JAWA TIMUR";"67261";"Indonesia";" 082117212812";"";"";"-7.8525125";"113.1829844";"https://maps.google.com/?cid=0x0:0xa0eaa5635e5c3e88";""
"mall";"mall";"Toko BAROKAH 489";"56P2+3HW, Jl. Raya Bantaran, Krajan, Kedungsupit, Kec. Wonomerto, Kabupaten Probolinggo, Jawa Timur 67253";"Jl. Raya Bantaran, Krajan, Kedungsupit, Kec. Wonomerto, Kabupaten Probolinggo";"JAWA TIMUR";"67253";"Indonesia";" 087776145830";"";"";"-7.8147331";"113.2013974";"https://maps.google.com/?cid=0x0:0x117abbd1894b87ec";""
