Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x3423aa08b4631437%7C/g/11b6dpczfr%7Cen-ID";""
"hotel";"hotel";"Amaris Hotel Ponorogo";"Jl. Ir. H Juanda No.19, Tonatan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63413";"Tonatan, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63413";"Indonesia";" 03523510388";"";"/url?q>>u003dhttps://mysantika.com/indonesia/ponorogo/amaris-hotel-ponorogo>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiI9sS-ttiLAxUXyzgGHXuQJxcQ61gIFigS>>u0026usg>>u003dAOvVaw090ib_EkK8Oyfr7juWhNHI";"-7.870673";"111.483966";"https://maps.google.com/?cid=0x0:0x3423aa08b4631437";""
"hotel";"hotel";"Ndalem Katong (Ponorogo Hotel)";"Jl. Batoro Katong No.134, Ronowijayan, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63491";"Ronowijayan, Kec. Siman, Kabupaten Ponorogo";"JAWA TIMUR";"63491";"Indonesia";" 08113301338";"";"";"-7.8572597";"111.4832898";"https://maps.google.com/?cid=0x0:0xdcd2323c287d8ba4";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xb807abda31ac66e1%7C/g/1xgc0_cb%7Cen-ID";""
"hotel";"hotel";"Hotel Galaksi";"Jl. Arif Rahman Hakim No.27, Perumda, Keniten, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63412";"Perumda, Keniten, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63412";"Indonesia";" 081232070001";"";"";"-7.8379993";"111.482984";"https://maps.google.com/?cid=0x0:0xee10d9cb6f0c13c9";""
"hotel";"hotel";"Hotel Kencana Dewi 2 d/h Hotel Juanda";"Jl. Ir. H Juanda No.13, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63419";"Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63419";"Indonesia";" 0352483509";"";"";"-7.8711758";"111.4764356";"https://maps.google.com/?cid=0x0:0xa5b06b99d7f022";""
"hotel";"hotel";"Hotel La-Tiban - ꦭꦠꦶꦧꦤ꧀";"Nologaten, Jl. Kh. Ahmad Dahlan No.62, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63582";"Jl. Kh. Ahmad Dahlan No.62, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63582";"Indonesia";" 0352481102";"";"";"-7.8640945";"111.472325";"https://maps.google.com/?cid=0x0:0xcc7f9e67e062d5f5";""
"hotel";"hotel";"Hotel Sankita";"Majasem, Jl. Laksamana Yos Sudarso No.9, Madusari, Kec. Siman, Kabupaten Ponorogo, Jawa Timur 63471";"Jl. Laksamana Yos Sudarso No.9, Madusari, Kec. Siman, Kabupaten Ponorogo";"JAWA TIMUR";"63471";"Indonesia";" 0352488338";"";"";"-7.9045525";"111.4612663";"https://maps.google.com/?cid=0x0:0xa82fbc22d7224baa";""
"hotel";"hotel";"OYO 90105 Sparkle";"Jl. Tirtotedjo No.Gg, Krajan, Cokromenggalan, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63741";"Krajan, Cokromenggalan, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63741";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/hotels-in-Ponorogo/%3Futm_source%3DGMB_ID_SO%26utm_medium%3DOrganic%26utm_campaign%3DID_MLG188%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiHpb7AttiLAxV9n2MGHQeXMTYQ61gIFigS>>u0026usg>>u003dAOvVaw0EhNmkqLRmdTvEAu7I1TME";"-7.8579609";"111.4778247";"https://maps.google.com/?cid=0x0:0xf02749eee9f0f461";""
"hotel";"hotel";"Hotel syariah";"4FJF+W7G, Jl. Dr. Sutomo, RW.GG:2 No:8, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo, Jawa Timur 63419";"Jl. Dr. Sutomo, RW.GG:2 No:8, Bangunsari, Kec. Ponorogo, Kabupaten Ponorogo";"JAWA TIMUR";"63419";"Indonesia";"";"";"";"-7.8676959";"111.4731905";"https://maps.google.com/?cid=0x0:0x4a928d195ce9977e";""
"hotel";"hotel";"Hotel Ratu";"Jalan Raya Lintas Selatan, Karang, Wonocoyo, Kec. Panggul, Kabupaten Trenggalek, Jawa Timur 66364";"Karang, Wonocoyo, Kec. Panggul, Kabupaten Trenggalek";"JAWA TIMUR";"66364";"Indonesia";" 082335929065";"";"";"-8.2496028";"111.45056";"https://maps.google.com/?cid=0x0:0x9d2edcb5989c9aca";""
"hotel";"hotel";"SPOT ON 93611 Kost Pak Suyatno Syariah 2";"Jawa, Indonesia Pasar Legi, 109, Nologaten, Ponorogo, Ponorogo Regency, East Java 63411";"Indonesia Pasar Legi, 109, Nologaten, Ponorogo, Ponorogo Regency";"JAWA TIMUR";"63411";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/229711/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjK9sfBttiLAxUCR2wGHUT6OiYQ61gIFigS>>u0026usg>>u003dAOvVaw2uTGNVpNwnLHg13yJkb995";"-7.858688";"111.4768477";"https://maps.google.com/?cid=0x0:0x1b276e43ca808c79";""
