Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Jasa Konstruksi dan Bangunan";"Material House";"Jl. Panglima Sudirman, Manyarejo, Manyaran, Kec. Banyakan, Kabupaten Kediri, Jawa Timur 64157";"Manyarejo, Manyaran, Kec. Banyakan, Kabupaten Kediri";"JAWA TIMUR";"64157";"Indonesia";"";"";"";"-7.779245";"111.9632265";"https://maps.google.com/?cid=0x0:0xb64ba71e101919af";""
"building materials";"Toko Perlengkapan Rumah";"Building Material Construction Cv";"Jl. Sukomanunggal Jaya No.5, Sukomanunggal, Kec. Sukomanunggal, Surabaya, Jawa Timur 60188";"Sukomanunggal, Kec. Sukomanunggal, Surabaya";"JAWA TIMUR";"60188";"Indonesia";"";"";"";"-7.272383";"112.698274";"https://maps.google.com/?cid=0x0:0x922ecefac1497c51";""
"building materials";"Toko Bahan Bangunan";"Building Material Store";"Jl. Raya Sukodono No.5, Sawo, Sukodono, Kec. Sukodono, Kabupaten Sidoarjo, Jawa Timur 61258";"Sawo, Sukodono, Kec. Sukodono, Kabupaten Sidoarjo";"JAWA TIMUR";"61258";"Indonesia";" 03158834031";"";"";"-7.3996572";"112.6746494";"https://maps.google.com/?cid=0x0:0x89e7a322bb9b0c3a";""
"building materials";"Toko Bahan Bangunan";"Cv Bricon";"PMPW+7WW, Sukomanunggal, Kec. Sukomanunggal, Surabaya, Jawa Timur 60188";"Sukomanunggal, Kec. Sukomanunggal, Surabaya";"JAWA TIMUR";"60188";"Indonesia";"";"";"/url?q>>u003dhttps://bataringanbricon.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjrldDumOWLAxVwwjgGHc5FAC0Q61gIESgN>>u0026usg>>u003dAOvVaw31fYLQ_JpiEkQeIGKxhXa_";"-7.2642642";"112.6973355";"https://maps.google.com/?cid=0x0:0x2e579a28c7c9ec8a";""
"building materials";"";"Bata Ringan BRICON (PT. Material Konstruksi Bangunan)";"Jl. Raya Darmo Permai II No.23, Pradahkalikendal, Kec. Dukuhpakis, Surabaya, Jawa Timur 60226";"Pradahkalikendal, Kec. Dukuhpakis, Surabaya";"JAWA TIMUR";"60226";"Indonesia";" 0317319880";"";"/url?q>>u003dhttp://www.bataringanbricon.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiY9pDvmOWLAxWYSmwGHYI2PMQQ61gIFigS>>u0026usg>>u003dAOvVaw2rqGwnUW3Qbp3dFKbcPlJ9";"-7.2789219";"112.6879419";"https://maps.google.com/?cid=0x0:0x748b37d718a0d8f1";""
"building materials";"Pemasok pasir dan kerikil";"SAV Building products";"Jl. Ploso Timur IV No.4, Ploso, Kec. Tambaksari, Surabaya, Jawa Timur 60133";"Ploso, Kec. Tambaksari, Surabaya";"JAWA TIMUR";"60133";"Indonesia";"";"";"";"-7.257823";"112.7730177";"https://maps.google.com/?cid=0x0:0x5cf3bd6bcdf02729";""
"building materials";"Toko Bahan Bangunan";"Material bangunan";"Jl. Bulak Rukem, Wonokusumo, Kec. Semampir, Surabaya, Jawa Timur 60154";"Wonokusumo, Kec. Semampir, Surabaya";"JAWA TIMUR";"60154";"Indonesia";" 0882009554486";"";"/url?q>>u003dhttp://www.materialbangunan.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwio_bHvmOWLAxWAxjgGHVCXD6oQ61gIFigS>>u0026usg>>u003dAOvVaw0SS0Q8hXZOW8MfyrHt0tBM";"-7.2162931";"112.7590951";"https://maps.google.com/?cid=0x0:0x366c19b108d57c45";""
"building materials";"building materials";"Supplier Material Konstruksi";"";"";"JAWA TIMUR";"";"Indonesia";" 081166666666";"";"";"-6.914709";"113.5832404";"https://maps.google.com/?cid=0x0:0x4fb71f092683488f";""
"building materials";"building materials";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"-6.914709";"113.5832404";"https://maps.google.com/?cid=0x0:0x934bc5969d193a31";""
"building materials";"building materials";"Jawa Timur";"";"Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.5360639";"112.2384017";"https://maps.google.com/?cid=0x0:0x1030bfbca7cb850";""
"building materials";"Kontraktor";"Raineri Building Materials";"6342 Knox Industrial Dr, St. Louis, MO 63139, Amerika Serikat";"St. Louis, MO";"JAWA TIMUR";"63139";"Indonesia";" +13147811573";"";"/url?q>>u003dhttp://raineri-materials.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi359HwmOWLAxUvT2wGHZPxJjQQ61gIFCgQ>>u0026usg>>u003dAOvVaw1ub4Z1Iescn31jDLBuzkTi";"38.6182772";"-90.2958341";"https://maps.google.com/?cid=0x0:0x9aeb18f1f2e296bc";""
"building materials";"Toko Bahan Bangunan";"Brentwood Building Supply";"3103 S Brentwood Blvd, St. Louis, MO 63144, Amerika Serikat";"St. Louis, MO";"JAWA TIMUR";"63144";"Indonesia";" +13149622102";"";"/url?q>>u003dhttp://brentwoodbuildingsupply.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjB_dfwmOWLAxXO1DgGHZI3C4AQ61gIFCgQ>>u0026usg>>u003dAOvVaw2m548cF1MMPaFp46UToiPV";"38.6067095";"-90.3506756";"https://maps.google.com/?cid=0x0:0x8827635c9f518cad";""
"building materials";"building materials";"ABC Supply Co. Inc.";"1492 Kin-Ark Ct, St. Louis, MO 63132, Amerika Serikat";"St. Louis, MO";"JAWA TIMUR";"63132";"Indonesia";" +13144293050";"";"/url?q>>u003dhttps://www.abcsupply.com/locations/location%3FBranchNumber%3D391>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjF4PTwmOWLAxUNwjgGHeafInEQ61gIFCgQ>>u0026usg>>u003dAOvVaw04-TFkw70NpR4rGBynogR3";"38.6866846";"-90.381698";"https://maps.google.com/?cid=0x0:0xdcc70a9de3296975";""
"building materials";"building materials";"Beacon Building Products";"1441 N Warson Rd, St. Louis, MO 63132, Amerika Serikat";"St. Louis, MO";"JAWA TIMUR";"63132";"Indonesia";" +13144731904";"";"";"38.6875669";"-90.3960914";"https://maps.google.com/?cid=0x0:0x6d386f0ae9eb7f8d";""
"building materials";"Pemasok Jendela";"XL Building Products";"10707 Midwest Industrial Blvd, St. Louis, MO 63132, Amerika Serikat";"Midwest Industrial Blvd";"JAWA TIMUR";"10707";"Indonesia";" +13144292919";"";"/url?q>>u003dhttp://www.xlbpco.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj4wL7xmOWLAxXU-TgGHZUKLwIQ61gIFCgQ>>u0026usg>>u003dAOvVaw3SevnwOrNez2MuJ6C1Z39Z";"38.6884689";"-90.3961486";"https://maps.google.com/?cid=0x0:0x7b92caf3a6ef6aeb";""
"building materials";"Pemasok Bahan Bangunan";"Forest Products Supply Co.";"9264 Manchester Rd, St. Louis, MO 63144, Amerika Serikat";"St. Louis, MO";"JAWA TIMUR";"63144";"Indonesia";" +13149681700";"";"/url?q>>u003dhttp://www.fp-supply.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi7mNzxmOWLAxVsR2wGHYDDMG4Q61gIFCgQ>>u0026usg>>u003dAOvVaw1v-QiPY5ldaIzrfexCgwLU";"38.6106658";"-90.3595444";"https://maps.google.com/?cid=0x0:0x113b74060535df30";""
