Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Perlengkapan Rumah";"MSB (Manual Sumberwuluh Bersatu)";"Kebonagung, Sumberwuluh, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Sumberwuluh, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 082142474087";"";"";"-8.1816503";"113.0394135";"https://maps.google.com/?cid=0x0:0x45e8b3bc6ea9aa68";""
"building materials";"Toko Bahan Bangunan";"TB VIOLET";"R32F+5GC, Jl. Panggung Lombok, Krajan, Candipuro, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Jl. Panggung Lombok, Krajan, Candipuro, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 082245000304";"";"";"-8.199569";"113.0737554";"https://maps.google.com/?cid=0x0:0xc88d2e1f2b47f6c";""
"building materials";"Toko Bahan Bangunan";"UD. Mandiri Jaya";"R36F+VXP, Jl. Raya Dampit-Lumajang, RT.01/RW.02, Krajan, Candipuro, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Jl. Raya Dampit-Lumajang, RT.01/RW.02, Krajan, Candipuro, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 082333828321";"";"";"-8.1877895";"113.0749572";"https://maps.google.com/?cid=0x0:0xeb38ae521c214989";""
"building materials";"Toko Bahan Bangunan";"Mandiri Joyo";"Jl. Anjani No.146, Sumbersari, Penanggal, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Sumbersari, Penanggal, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 085809738577";"";"";"-8.1406354";"113.0439795";"https://maps.google.com/?cid=0x0:0xa1ef25321d81f611";""
"building materials";"Toko Bahan Bangunan";"Imam Gamping (HASIL KARYA)";"Q3RW+X64, Krajan, Jarit, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Krajan, Jarit, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";"";"";"";"-8.2076151";"113.0955852";"https://maps.google.com/?cid=0x0:0x14393aeb2da9fd6d";""
"building materials";"Toko bahan makanan";"Toko Bangunan  Listrik Makro";"R37F+HR4, Jl. Raya Dampit-Lumajang, RT.02/RW.01, Candi Lor, Candipuro, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Jl. Raya Dampit-Lumajang, RT.02/RW.01, Candi Lor, Candipuro, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 081233860902";"";"";"-8.1861161";"113.0745844";"https://maps.google.com/?cid=0x0:0xc236d6db93163f32";""
"building materials";"Toko Bahan Bangunan";"Arik batako";"R3RR+F5M, Rojobalen, Kloposawit, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Rojobalen, Kloposawit, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";"";"";"";"-8.1587783";"113.09051";"https://maps.google.com/?cid=0x0:0x38ba0cd76a289d5f";""
"building materials";"Toko Bahan Bangunan";"Material dan batako";"V24R+PJW, Unnamed Road, Krajan, Penanggal, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Unnamed Road, Krajan, Penanggal, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 085749704485";"";"";"-8.1431472";"113.041573";"https://maps.google.com/?cid=0x0:0x729b550ac2f5e8c3";""
"building materials";"Toko Bahan Bangunan";"Toko Sampurno";"Q3H5+QRV, Jl. Sumber Kajar, Karang Rejo, Jugosari, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Jl. Sumber Kajar, Karang Rejo, Jugosari, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";"";"";"";"-8.2205031";"113.0595464";"https://maps.google.com/?cid=0x0:0x3e249812cf945084";""
"building materials";"Toko Bahan Bangunan";"UD. NINGRAT JAYA";"R27W+R3W, Jl. Raya Dampit-Lumajang, RT.3/RW.2, Sumberwuluh Tengah, Sumberwuluh, Kec. Candipuro, Kabupaten Lumajang, Jawa Timur 67373";"Jl. Raya Dampit-Lumajang, RT.3/RW.2, Sumberwuluh Tengah, Sumberwuluh, Kec. Candipuro, Kabupaten Lumajang";"JAWA TIMUR";"67373";"Indonesia";" 085735864127";"";"";"-8.1853985";"113.045216";"https://maps.google.com/?cid=0x0:0x1c58d50da639d58a";""
