Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"UD. ASTANA BANGUN";"M9FR+GC5, Karangmelati, Balong Panggang, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Karangmelati, Balong Panggang, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 082230561773";"";"";"-7.3262298";"112.3911115";"https://maps.google.com/?cid=0x0:0x19293cba5bb9ac15";""
"building materials";"Toko Bahan Bangunan";"TB.Cipta Graha (Jual Bahan bangunan)";"Jl. Raya Balongpanggang No.9, Kalianyar, Balong Panggang, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Kalianyar, Balong Panggang, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 0317923322";"";"/url?q>>u003dhttps://g.page/Ciptagraha%3Fgm>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiTseHKs8SLAxXh-jgGHeIRBBUQ61gIFigS>>u0026usg>>u003dAOvVaw1u39K9IGsUztsvcfwpeXTH";"-7.2668162";"112.4554911";"https://maps.google.com/?cid=0x0:0xad3b41347a672de5";""
"building materials";"Toko Bahan Bangunan";"RJ Steel Balongpanggang (Alat teknik Baut  Galvalum)";"Jl. Raya Ploso, Tamping, Pucung, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61172";"Tamping, Pucung, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61172";"Indonesia";" 082291974001";"";"";"-7.2666413";"112.458524";"https://maps.google.com/?cid=0x0:0x46e2e9cbd68c36b6";""
"building materials";"building materials";"Jawa Timur 61173";"Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur";"Kabupaten Gresik, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.2725931";"112.4410671";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53eee0";""
"building materials";"Toko Bahan Bangunan";"UD. CIPTA MANDIRI 3";"Jl. Raya Pilangrejo, Area Sawah, Wahas, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Area Sawah, Wahas, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";"";"";"";"-7.279103";"112.4404426";"https://maps.google.com/?cid=0x0:0xd8f744050aa41f0c";""
"building materials";"Toko Bahan Bangunan";"Toko Sinar Jaya Pacuh / IH";"Jl. Raya Pacuh, RT.1/RW.1, Balongpanggang, Pacuh, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"RT.1/RW.1, Balongpanggang, Pacuh, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 082245636319";"";"";"-7.2600361";"112.4471896";"https://maps.google.com/?cid=0x0:0x3a416ab9eb7b36fd";""
"building materials";"Toko Bahan Bangunan";"Toko bangunan dwi putri jaya";"Dereng, Ngasin, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Ngasin, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 081239483520";"";"";"-7.226093";"112.4578273";"https://maps.google.com/?cid=0x0:0x4845028dd0764858";""
"building materials";"Toko Mebel";"TOKO BANGUNAN JATI INDAH PUTRA 1";"Jl. Raya Wates No.43, Kedungpiring, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Kedungpiring, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";"";"";"";"-7.2720318";"112.4426188";"https://maps.google.com/?cid=0x0:0x57085fddf08432f8";""
"building materials";"Toko Bahan Bangunan";"Toko Maju Jaya bangunan teknik elektronik 57";"01 Balongpanggang, Jl. Raya Dapet No.2, Lengkong, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Jl. Raya Dapet No.2, Lengkong, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 085649403399";"";"";"-7.3101097";"112.4283351";"https://maps.google.com/?cid=0x0:0x61ee448903f65815";""
"building materials";"Toko Bahan Bangunan";"Ud.Rachmad 1";"Jl. Raya Wonorejo No.99, Tanah, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Tanah, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 08113703376";"";"";"-7.298348";"112.4328637";"https://maps.google.com/?cid=0x0:0xcf0f5ba49c786d5a";""
"building materials";"Toko Bahan Bangunan";"Tb rizky jaya";"QC3X+7F6, Jl. Raya Ngasin, Area Sawah/Kebun, Klotok, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Jl. Raya Ngasin, Area Sawah/Kebun, Klotok, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";"";"";"";"-7.2468435";"112.448636";"https://maps.google.com/?cid=0x0:0xe05407d34a7f9697";""
"building materials";"Toko Bahan Bangunan";"UD. Sekar Nunggal Semono";"Jl. Dusun Tanah, RT.001/RW.001, Bajulan, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"RT.001/RW.001, Bajulan, Tanah Landean, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 081332214683";"";"";"-7.3040274";"112.421769";"https://maps.google.com/?cid=0x0:0x5cf4918035f1a3be";""
"building materials";"Toko Bahan Bangunan";"UD. SUMBER AYEM";"QC6W+R7P, Juwet, Pinggir, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Juwet, Pinggir, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 085733130654";"";"";"-7.2378277";"112.4456051";"https://maps.google.com/?cid=0x0:0xe1f2a8e45d43c1ca";""
"building materials";"Toko Bahan Bangunan";"Toko Andika";"Jalan Raya Stand Pasar No. 12, Wates, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Wates, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 082228588526";"";"";"-7.267896";"112.446776";"https://maps.google.com/?cid=0x0:0x934442b2d0dc692f";""
"building materials";"Toko bahan makanan";"Enggal Jaya";"MCXJ+XQ8, Jl. Raya Wonorejo, Area Sawah/Kebun, Dapet, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Jl. Raya Wonorejo, Area Sawah/Kebun, Dapet, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 082140100445";"";"";"-7.3000752";"112.4319487";"https://maps.google.com/?cid=0x0:0x344adc6cb8a40e15";""
"building materials";"Toko Bahan Bangunan";"TB.JOYO UTOMO 1";"QC7X+9QW, Ngablak, Pinggir, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Ngablak, Pinggir, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 081235192718";"";"";"-7.2366421";"112.4493936";"https://maps.google.com/?cid=0x0:0xbc0c9c9b2b4738";""
"building materials";"Toko Bahan Bangunan";"UD. SUMBER AYEM (Toko Bahan Bangunan)";"Kalipang, Wahas, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Wahas, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 085707902088";"";"";"-7.285215";"112.4383213";"https://maps.google.com/?cid=0x0:0x1edb54fdd8bf9d30";""
"building materials";"Toko Perlengkapan Rumah";"ZAHRAZACKY";"Desa bandungsekaran, Balongpanggang, RT.05/RW.03, Sekaran, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Balongpanggang, RT.05/RW.03, Sekaran, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 082132326930";"";"";"-7.287764";"112.4118072";"https://maps.google.com/?cid=0x0:0xd83705ac7c83a006";""
"building materials";"Toko Perlengkapan Rumah";"Toko Bagas";"Jl. Raya Dapet No.45, Lengkong, Dapet, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Lengkong, Dapet, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";"";"";"";"-7.3082581";"112.4291518";"https://maps.google.com/?cid=0x0:0xc72e8a5620fa23d2";""
"building materials";"Toko Bahan Bangunan";"Sam Jaya Indah";"Sblm pom, Ploso RT.12 RW.10 Jalan Raya Ploso kalipadang Benjeng, Pulorejo, Balong Panggang, Gresik, Kabupaten Gresik, Jawa Timur 61151";"Ploso RT.12 RW.10 Jalan Raya Ploso kalipadang Benjeng, Pulorejo, Balong Panggang, Gresik, Kabupaten Gresik";"JAWA TIMUR";"61151";"Indonesia";" 082188590203";"";"";"-7.2665604";"112.4594453";"https://maps.google.com/?cid=0x0:0x35b2bae2c2e6560e";""
"building materials";"Toko Bahan Bangunan";"UD.DWI CAHYONO";"PCXX+XGX, Pacuh, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Pacuh, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";"";"";"";"-7.2500028";"112.4488643";"https://maps.google.com/?cid=0x0:0xbb0a76a5d3e1b476";""
"building materials";"Toko Bahan Bangunan";"UD. Cahaya Terang";"PFMC+M22, Pulorejo, Pucung, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61172";"Pulorejo, Pucung, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61172";"Indonesia";" 085100112989";"";"";"-7.2658557";"112.4700045";"https://maps.google.com/?cid=0x0:0xce03cd2ee8382331";""
"building materials";"Pasar bahan bangunan";"Hasil Bersama. UD";"PCMR+2F9, Wates, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik, Jawa Timur 61173";"Wates, Kedungpring, Kec. Balongpanggang, Kabupaten Gresik";"JAWA TIMUR";"61173";"Indonesia";" 0317923984";"";"";"-7.2674589";"112.4412455";"https://maps.google.com/?cid=0x0:0xc44079844b8e4b4c";""
