Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"Toko Bangunan UD. RULLY JAYA";"Plaosan, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 081332977429";"";"";"-7.0988613";"112.1862662";"https://maps.google.com/?cid=0x0:0xb29b00646e00a2d1";""
"building materials";"Toko Bahan Bangunan";"Depo Sahabat";"Jl. Babat - Caruban No.235, Gedu, Banaran, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Gedu, Banaran, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 0322456789";"";"";"-7.103032";"112.1654736";"https://maps.google.com/?cid=0x0:0x3f2364e52d8e1632";""
"building materials";"Toko Bahan Bangunan";"PT. Bintang Arut Jaya Group";"Jl. Babat - Jombang No.5, Podang, Karangkembang, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Podang, Karangkembang, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 082337059757";"";"";"-7.1135341";"112.1651174";"https://maps.google.com/?cid=0x0:0xb2449cab11d7bbbc";""
"building materials";"Toko Bahan Bangunan";"Suplayer Bahan Bangunan";"Jl.jend Ahmad Yani Gerdu Rt01Rw07, Roworejo, Banaran, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Roworejo, Banaran, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1138909";"112.1562773";"https://maps.google.com/?cid=0x0:0x1e5285ed1f949c6b";""
"building materials";"Kantor Perusahaan";"TB. Bambe";"Jl. Babat - Jombang No.22, Gedu, Babat, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Gedu, Babat, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 081252505469";"";"";"-7.1064783";"112.1658803";"https://maps.google.com/?cid=0x0:0x3f57f43679ddf49e";""
"building materials";"Toko Bahan Bangunan";"Agung Putra Perkasa";"W725+P58, Jl. Nasional 1, Grogol, Tritunggal, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Jl. Nasional 1, Grogol, Tritunggal, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.098221";"112.2579615";"https://maps.google.com/?cid=0x0:0x34ad9fe73f100aed";""
"building materials";"Toko Perlengkapan Rumah";"UD ELYYNA JUAL BAHAN BANGUNAN";"W62Q+5P7, Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.0995871";"112.2393107";"https://maps.google.com/?cid=0x0:0xaa2ee182a3b655dd";""
"building materials";"Toko Bahan Bangunan";"TB SUMO/LUMINTU";"V6JM+FGJ, Patihan, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Patihan, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1187898";"112.2337596";"https://maps.google.com/?cid=0x0:0xc44b687fff68ae19";""
"building materials";"Toko Bahan Bangunan";"TB.FELLYSIA";"Dati, Datinawong, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Datinawong, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 05648025148";"";"";"-7.1055278";"112.228598";"https://maps.google.com/?cid=0x0:0xbe22f88234be471d";""
"building materials";"Toko Bahan Bangunan";"Toko bangunan";"W62R+3HJ, Jl. Nasional 1, Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Jl. Nasional 1, Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 085753918796";"";"";"-7.0997867";"112.2414042";"https://maps.google.com/?cid=0x0:0xf4692a7054ca1c17";""
"building materials";"Toko Bahan Bangunan";"UD. Niagara";"Jl. Sumowiharjo, Sawo, Babat, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Sawo, Babat, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1091164";"112.1656933";"https://maps.google.com/?cid=0x0:0xe08efc963d70098d";""
"building materials";"Toko Bahan Bangunan";"TB Griya Makmur Lamongan";"V5P5+W3F, Jl. Bojonegoro, Kalongan, Banaran, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Jl. Bojonegoro, Kalongan, Banaran, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 085232368866";"";"";"-7.1126782";"112.1576827";"https://maps.google.com/?cid=0x0:0x8df0fd1bfa61fb3f";""
"building materials";"Toko Bahan Bangunan";"Toko Besi AJLS";"Jl. Raya Babat - Bojonegoro, Kalongan, Banaran, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Kalongan, Banaran, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 081333357111";"";"";"-7.113494";"112.1562407";"https://maps.google.com/?cid=0x0:0xd3c292ed21300631";""
"building materials";"Toko Bahan Bangunan";"Toko Buana Putra";"Jalan Raya Kebalan Dono No.35 Dono, Dono, Kebalandono, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Dono, Kebalandono, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 08563027991";"";"";"-7.1003065";"112.2370163";"https://maps.google.com/?cid=0x0:0xc0becd21a2cbfdd4";""
"building materials";"Toko Bahan Bangunan";"Putra Sumber Mahkota";"Jl. Gotong Royong No.208, Sawo, Babat, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Sawo, Babat, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 082142556855";"";"";"-7.1024641";"112.1762239";"https://maps.google.com/?cid=0x0:0x481afaa52ae58c10";""
"building materials";"Toko Bahan Bangunan";"Toko AZKA KARYA";"Jl. Babat - Jombang No.72, Santren, Banaran, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Santren, Banaran, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 082244449010";"";"/url?q>>u003dhttp://wa.me/6282244449010>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiQ98rSuOiLAxVoS2wGHc3DDAQQ61gIFigS>>u0026usg>>u003dAOvVaw24GnPCW-FnbdoeoODqX01r";"-7.1112683";"112.1654555";"https://maps.google.com/?cid=0x0:0xfb76cf3a6fa51e9a";""
"building materials";"Toko Bahan Bangunan";"TOKO SUMBER MAKMUR";"V5GW+M5J, Unnamed Road, Kuripan, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Unnamed Road, Kuripan, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1232867";"112.1953966";"https://maps.google.com/?cid=0x0:0x80224aee32b6cf34";""
"building materials";"Toko Bahan Bangunan";"KWSG LAMONGAN";"Kebalan Pelang, Kebalanpelang, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Kebalanpelang, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1007719";"112.2014949";"https://maps.google.com/?cid=0x0:0xe7ac247180383a96";""
"building materials";"Toko Bahan Bangunan";"Ud Karya Mandiri";"V6XQ+X63, AH2, Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"AH2, Balan, Kebalandono, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1001175";"112.238037";"https://maps.google.com/?cid=0x0:0xb548a685971cfe77";""
"building materials";"Toko Bahan Bangunan";"TB.NAFIS";"V5JP+X7, Dusun Gendong Kulon, Gendong Kulon, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Dusun Gendong Kulon, Gendong Kulon, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1175285";"112.1858979";"https://maps.google.com/?cid=0x0:0xbfadaffa1998b279";""
"building materials";"Toko";"Gendong Joyo";"Jl. Bulaksari, Dusun Gendong Kulon, Sogo, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Dusun Gendong Kulon, Sogo, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 082156000116";"";"";"-7.1088987";"112.1878038";"https://maps.google.com/?cid=0x0:0xe8aee527ed89c465";""
"building materials";"Toko Bahan Bangunan";"Family SB";"Jl. Gotong Royong No.112, Sawo, Babat, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Sawo, Babat, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";" 0322452375";"";"";"-7.1042571";"112.170892";"https://maps.google.com/?cid=0x0:0xb43f25d86c0cf65c";""
"building materials";"Toko Bahan Bangunan";"Maju Jaya, TB";"V6X3+9PX, Bulu Trate, Sumurgenuk, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Bulu Trate, Sumurgenuk, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.1015189";"112.2043495";"https://maps.google.com/?cid=0x0:0x5f6071d02b2e197d";""
"building materials";"Toko Bahan Bangunan";"TB Babat";"MGHV+WPM, Jl. Lkr. Selatan Desa, Babat, Kec. Legok, Kabupaten Tangerang, Banten 15820";"Jl. Lkr. Selatan Desa, Babat, Kec. Legok, Kabupaten Tangerang";"JAWA TIMUR";"15820";"Indonesia";" 087780288319";"";"";"-6.3201718";"106.5443047";"https://maps.google.com/?cid=0x0:0x340ee4a6eb90b401";""
"building materials";"Pasar bahan bangunan";"Anugrah";"V5G7+C73, Karang Asem, Karangkembang, Kec. Babat, Kabupaten Lamongan, Jawa Timur 62271";"Karang Asem, Karangkembang, Kec. Babat, Kabupaten Lamongan";"JAWA TIMUR";"62271";"Indonesia";"";"";"";"-7.123988";"112.1631738";"https://maps.google.com/?cid=0x0:0x139192f2b1122c2";""
