Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Komplek perumahan";"Ocha";"66R4+CVR, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";" 082251393917";"";"";"-7.7589051";"112.2071239";"https://maps.google.com/?cid=0x0:0x6f4668912ae2b56f";""
"komplek housing";"Pembangunan Perumahan";"Faza house";"7646+92V, Jl. Candi Surowono, Surowono, Canggu, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Jl. Candi Surowono, Surowono, Canggu, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";"";"";"";"-7.7440141";"112.2100566";"https://maps.google.com/?cid=0x0:0x42e1b8f87b136ced";""
"komplek housing";"komplek housing";"Family";"66V8+P79, Jl. Angsa, Canggu, Kec. Badas, Kabupaten Kediri, Jawa Timur 64217";"Jl. Angsa, Canggu, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64217";"Indonesia";"";"";"";"-7.7555266";"112.2156144";"https://maps.google.com/?cid=0x0:0x27e50a34eb45aff6";""
"komplek housing";"Komplek perumahan";"Omah ku";"Jln Wahithasim mangiran rt12rw9, Mangiran, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Mangiran, Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";"";"";"";"-7.7470333";"112.2073925";"https://maps.google.com/?cid=0x0:0xc403b941bc123aee";""
"komplek housing";"Komplek perumahan";"EDI SUSANTO HELMET";"66W4+M59, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";" 085720333666";"";"";"-7.7532607";"112.2053029";"https://maps.google.com/?cid=0x0:0x3bdc8b7fe6606aea";""
"komplek housing";"Pembangunan Perumahan";"Risma home";"66R6+26X, Jl. Lovebird, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Jl. Lovebird, Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";"";"";"";"-7.759758";"112.2101286";"https://maps.google.com/?cid=0x0:0xfaf24843ae959a05";""
"komplek housing";"Pembangunan Perumahan";"Diganada";"7638+J9C, Jl. Candi Surowono, Canggu, Kec. Badas, Kabupaten Kediri, Jawa Timur 64217";"Jl. Candi Surowono, Canggu, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64217";"Indonesia";"";"";"";"-7.745948";"112.2158753";"https://maps.google.com/?cid=0x0:0xaa181e3e23157e86";""
"komplek housing";"komplek housing";"Handayani";"66R6+P47, Jl. Rajawali, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Jl. Rajawali, Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";"";"";"";"-7.7582864";"112.2103218";"https://maps.google.com/?cid=0x0:0x4f23db2a09e0bd89";""
"komplek housing";"komplek housing";"rumah lia";"66X6+QJQ, Mangiran, Lamong, Kec. Badas, Kabupaten Kediri, Jawa Timur 64216";"Mangiran, Lamong, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64216";"Indonesia";"";"";"";"-7.7505425";"112.2116086";"https://maps.google.com/?cid=0x0:0xf9f14a323581b88e";""
"komplek housing";"komplek housing";"Rumah Mbah Lasinah";"66XF+Q3V, Bloran, Canggu, Kec. Badas, Kabupaten Kediri, Jawa Timur 64217";"Bloran, Canggu, Kec. Badas, Kabupaten Kediri";"JAWA TIMUR";"64217";"Indonesia";"";"";"";"-7.7505139";"112.2226793";"https://maps.google.com/?cid=0x0:0x59bbe75e8379c0fd";""
