Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Hotel Yusro Jombang";"Jl. Soekarno - Hatta No.25, Nglungge, Keplaksari, Kec. Peterongan, Kabupaten Jombang, Jawa Timur 61481";"Nglungge, Keplaksari, Kec. Peterongan, Kabupaten Jombang";"JAWA TIMUR";"61481";"Indonesia";" 0321878800";"";"/url?q>>u003dhttp://www.hotelyusrojombang.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjP3ovfxOyLAxUU6zgGHYcZJZgQ61gIFigS>>u0026usg>>u003dAOvVaw3uECU2zvLaeWpvjobsWi1N";"-7.537766";"112.2652681";"https://maps.google.com/?cid=0x0:0x7a2067d1669452e";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x7a2067d1669452e%7C/g/12vr10j7d%7Cen-ID";""
"hotel";"hotel";"Hotel Shinta 1 near Stasiun Kertosono";"Jl. Supriadi No.48, Kudu, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64312";"Kudu, Kec. Kertosono, Kabupaten Nganjuk";"JAWA TIMUR";"64312";"Indonesia";" 0895417300072";"";"";"-7.5869743";"112.1095482";"https://maps.google.com/?cid=0x0:0xe421de0a2c1e4822";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x6567b78a9a328847%7C/g/11b7cg8f_b%7Cen-ID";""
"hotel";"hotel";"Hotel Pondok Wisata Aura";"Jl. Anggrek No.10, Candi Mulyo, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419";"Candi Mulyo, Kec. Jombang, Kabupaten Jombang";"JAWA TIMUR";"61419";"Indonesia";" 0321872185";"";"";"-7.5367151";"112.2458312";"https://maps.google.com/?cid=0x0:0x5cb533f6a1e25d48";""
"hotel";"hotel";"Jawa Timur 61462";"Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur";"Kabupaten Jombang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.5668129";"112.1370601";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53f530";""
"hotel";"hotel";"Hotel Netral Jombang";"Jl. RE. Martadinata No.124, Tugu, Kepatihan, Kec. Jombang, Jawa Timur, 61419";"Tugu, Kepatihan, Kec. Jombang";"JAWA TIMUR";"61419";"Indonesia";" 081252290253";"";"/url?q>>u003dhttp://www.hotelnetraljombang.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjuhfDgxOyLAxUbTGwGHdsRAJoQ61gIFigS>>u0026usg>>u003dAOvVaw0bQsPfRllUmgVgbFSy0mGA";"-7.5434265";"112.2323292";"https://maps.google.com/?cid=0x0:0xa4830e311c5a9ef2";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xa4830e311c5a9ef2%7C/g/1q5ccgnwk%7Cen-ID";""
"hotel";"hotel";"Roemah Djadoel Family Guest House Jombang - Jawa Timur";"Jl. KH. A. Dahlan No.4, Jombatan, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419";"Jombatan, Kec. Jombang, Kabupaten Jombang";"JAWA TIMUR";"61419";"Indonesia";" 085606912933";"";"";"-7.55349";"112.2321033";"https://maps.google.com/?cid=0x0:0x69c9a6173d600511";""
"hotel";"hotel";"Hotel Dewi RedPartner near Gor Merdeka Jombang";"Jl. Cemp. No.20, Babatan, Kepuhkembeng, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61413";"Babatan, Kepuhkembeng, Kec. Jombang, Kabupaten Jombang";"JAWA TIMUR";"61413";"Indonesia";" 0895417300072";"";"";"-7.5342017";"112.2509838";"https://maps.google.com/?cid=0x0:0x3e5002494832638c";""
"hotel";"hotel";"Selaras Kost Jombang";"Kavling Jl. Pajaran Timur No.03, RT.23/RW.03, Peterongan, Mancar, Kec. Peterongan, Kabupaten Jombang, Jawa Timur 61481";"RT.23/RW.03, Peterongan, Mancar, Kec. Peterongan, Kabupaten Jombang";"JAWA TIMUR";"61481";"Indonesia";" 085708645306";"";"/url?q>>u003dhttps://selaraskost.wordpress.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjo9JjixOyLAxW4SmwGHSk5A4oQ61gIFigS>>u0026usg>>u003dAOvVaw3nQZCRzP5h5o6cKsik7Tj8";"-7.5396396";"112.2735212";"https://maps.google.com/?cid=0x0:0x3d9b3ac68f0c4743";""
"hotel";"hotel";"Budi Rahayu Hotel";"Jl. Anusopati No.20, Banaran, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64311";"Banaran, Kec. Kertosono, Kabupaten Nganjuk";"JAWA TIMUR";"64311";"Indonesia";"";"";"";"-7.589747";"112.1040862";"https://maps.google.com/?cid=0x0:0x7b081d9c1e791221";""
"hotel";"hotel";"Hotel Fatma";"Jl. Urip Sumoharjo No.22-24, Tugu, Kepatihan, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61417";"Tugu, Kepatihan, Kec. Jombang, Kabupaten Jombang";"JAWA TIMUR";"61417";"Indonesia";" 085609928365";"";"";"-7.5439091";"112.2347731";"https://maps.google.com/?cid=0x0:0x6f5d5ad624f489b4";""
