Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"TB Karya Bersama";"C4QH+8Q9, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 085645110961";"";"";"-7.56172";"112.1294837";"https://maps.google.com/?cid=0x0:0x9818bd45ccd1d47c";""
"building materials";"Toko Bahan Bangunan";"Mekar Jaya";"94XX+7QJ, Jl. Dusun Jayan, RT.2/RW.7, Barong Sawahan, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jl. Dusun Jayan, RT.2/RW.7, Barong Sawahan, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 08523664812";"";"";"-7.6017794";"112.1493894";"https://maps.google.com/?cid=0x0:0x90644229ddabd85d";""
"building materials";"Toko Bahan Bangunan";"TB.Setia Usaha";"Brangkal, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 085645560034";"";"";"-7.5522121";"112.1408784";"https://maps.google.com/?cid=0x0:0x564487cfbac3fc65";""
"building materials";"Toko Bahan Bangunan";"TB. Selamet";"C5V8+CRR, Jalan Sudimoro - Perak, Jl. Rejosari, RT.2/RW.5, Tinggar, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jalan Sudimoro - Perak, Jl. Rejosari, RT.2/RW.5, Tinggar, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 082132087654";"";"";"-7.5563812";"112.1670113";"https://maps.google.com/?cid=0x0:0x236c28640bc286d2";""
"building materials";"Toko Bahan Bangunan";"UD.MORO DADI";"C4MG+3QH, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081335445925";"";"";"-7.5673186";"112.1269738";"https://maps.google.com/?cid=0x0:0xc53d499bbbb9eabb";""
"building materials";"Toko Bahan Bangunan";"TB Sumber Makmur Plosogenuk Perak";"Plosogenuk, Kec. Perak, Kabupaten Jombang, Jawa Timur 61461";"Kec. Perak, Kabupaten Jombang";"JAWA TIMUR";"61461";"Indonesia";"";"";"";"-7.5582734";"112.1745325";"https://maps.google.com/?cid=0x0:0xd32dfc8550442290";""
"building materials";"Toko Bahan Bangunan";"Toko Wali Gypsum";"Jl. Dusun Pucangsimo RT. 01 / RW. 01, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081331512506";"";"";"-7.566095";"112.12312";"https://maps.google.com/?cid=0x0:0xddcc426d06d29198";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan "CAHAYA ABADI"";"F5GF+HXQ, Jl. Sudimoro - Perak, RT.8/RW.4, Kedungsari, Balongsari, Kec. Megaluh, Kabupaten Jombang, Jawa Timur 61457";"Jl. Sudimoro - Perak, RT.8/RW.4, Kedungsari, Balongsari, Kec. Megaluh, Kabupaten Jombang";"JAWA TIMUR";"61457";"Indonesia";" 085755495056";"";"";"-7.5235423";"112.1749748";"https://maps.google.com/?cid=0x0:0x4b51c9c023613473";""
"building materials";"Toko Bahan Bangunan";"Zahrotul";"C45P+WC3, Jl. Dusun Kayen, Jl. Nasional 1, RW.1, Kayen, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jl. Dusun Kayen, Jl. Nasional 1, RW.1, Kayen, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081332549443";"";"";"-7.5902414";"112.1360457";"https://maps.google.com/?cid=0x0:0x5a8e9aa742fd0e55";""
"building materials";"Toko Bahan Bangunan";"Toko Maju Jaya";"F538+VV5, Jl. Sudimoro - Perak, RT.3/RW.1, Karang Dagangan, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jl. Sudimoro - Perak, RT.3/RW.1, Karang Dagangan, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081935080196";"";"";"-7.5453607";"112.1672455";"https://maps.google.com/?cid=0x0:0xa26075d24d776a5b";""
"building materials";"Toko Bahan Bangunan";"TB Al fazza";"Simo, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur";"Kabupaten Jombang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";" 085855839020";"";"";"-7.570361";"112.1294445";"https://maps.google.com/?cid=0x0:0x60242024548258fd";""
"building materials";"Toko Bahan Bangunan";"Toko Lancar Jaya II";"C4HJ+V24, Jl. Desa Pucangsimo, RT.02/RW.12, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jl. Desa Pucangsimo, RT.02/RW.12, Pucang Simo, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081234190829";"";"";"-7.570353";"112.1300888";"https://maps.google.com/?cid=0x0:0xf42a8225ac2b74aa";""
"building materials";"Toko Bahan Bangunan";"Toko Murah Meriah";"C5W6+49P, Jl. Desa Tinggar, RT.05/RW.02, Tinggar, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Jl. Desa Tinggar, RT.05/RW.02, Tinggar, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 085607293129";"";"";"-7.5546743";"112.1609599";"https://maps.google.com/?cid=0x0:0xaa37e99f3b0cde60";""
"building materials";"Kontraktor";"PT. Varia Usaha Unit Jombang";"JL. Raya Pagerwojo No.9, Pagerwojo, Kec. Perak, Kabupaten Jombang, Jawa Timur 61461";"Pagerwojo, Kec. Perak, Kabupaten Jombang";"JAWA TIMUR";"61461";"Indonesia";" 08283287436";"";"";"-7.5784643";"112.1479078";"https://maps.google.com/?cid=0x0:0xe9707fd52d33eabc";""
"building materials";"Toko Bahan Bangunan";"Kalsifloor kertosono";"Jl. Semeru No.59, Kudu, Kec. Kertosono, Kabupaten Nganjuk, Jawa Timur 64315";"Kudu, Kec. Kertosono, Kabupaten Nganjuk";"JAWA TIMUR";"64315";"Indonesia";" 08999417272";"";"";"-7.588079";"112.1124144";"https://maps.google.com/?cid=0x0:0x2cb47df3efb8188d";""
"building materials";"Toko Bahan Bangunan";"Podo Hasil";"C5C3+G4F, Jalan Raya, RT.2/RW.2, Perak, Jombang Regency, East Java 61461";"Jalan Raya, RT.2/RW.2, Perak, Jombang Regency";"JAWA TIMUR";"61461";"Indonesia";" 081227167777";"";"";"-7.578676";"112.1528083";"https://maps.google.com/?cid=0x0:0x15507ec7ae860ea4";""
"building materials";"Toko Bahan Bangunan";"Yudi Keramik";"C595+CQ3, Jalan Raya, Perak, Jombang Regency, East Java 61461";"Jalan Raya, Perak, Jombang Regency";"JAWA TIMUR";"61461";"Indonesia";"";"";"";"-7.5814917";"112.1594225";"https://maps.google.com/?cid=0x0:0x798f744143ea62e0";""
"building materials";"Toko Bahan Bangunan";"toko bangunan lancar";"C5QJ+XW2, Jl. Raya Pedes, Pelem, Sukorejo, Kec. Perak, Kabupaten Jombang, Jawa Timur 61461";"Jl. Raya Pedes, Pelem, Sukorejo, Kec. Perak, Kabupaten Jombang";"JAWA TIMUR";"61461";"Indonesia";" 081237151915";"";"";"-7.5601207";"112.1822734";"https://maps.google.com/?cid=0x0:0x647bf2fb0eaa444f";""
"building materials";"Toko Bahan Bangunan";"Toko Mujur/IW";"95PG+8R3, Jl. Totok Kerot, RT.04/RW.02, Keturus, Plumbon Gambang, Kec. Gudo, Kabupaten Jombang, Jawa Timur 61463";"Jl. Totok Kerot, RT.04/RW.02, Keturus, Plumbon Gambang, Kec. Gudo, Kabupaten Jombang";"JAWA TIMUR";"61463";"Indonesia";" 081217802627";"";"";"-7.6142338";"112.1770339";"https://maps.google.com/?cid=0x0:0xcaccefd3a0093af";""
"building materials";"building materials";"Jawa Timur 61462";"Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur";"Kabupaten Jombang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.5668129";"112.1370601";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b53f530";""
"building materials";"building materials";"Toko bangunan cak brodin";"C4GR+747, Semelo, Kayen, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Semelo, Kayen, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";"";"";"";"-7.5739055";"112.1396368";"https://maps.google.com/?cid=0x0:0x8083976184d3ee71";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Putra Mandiri";"95XC+JXH, Kepuhkajang, Kec. Perak, Kabupaten Jombang, Jawa Timur 61461";"Kepuhkajang, Kec. Perak, Kabupaten Jombang";"JAWA TIMUR";"61461";"Indonesia";" 082330422134";"";"";"-7.6009485";"112.1724949";"https://maps.google.com/?cid=0x0:0xe06b248435fa17f7";""
"building materials";"Toko Bahan Bangunan";"Toko Tabuk Jaya";"Jl. Ps. Jeruk, RT.03/RW.03, Perak, Kec. Perak, Kabupaten Jombang, Jawa Timur 61461";"RT.03/RW.03, Perak, Kec. Perak, Kabupaten Jombang";"JAWA TIMUR";"61461";"Indonesia";" 081235151354";"";"";"-7.5757415";"112.1594506";"https://maps.google.com/?cid=0x0:0x17f4db36d3fbe7c";""
"building materials";"building materials";"Kec. Bandarkedungmulyo";"Kabupaten Jombang, Jawa Timur";"Kabupaten Jombang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.5682375";"112.1260439";"https://maps.google.com/?cid=0x0:0x4027a76e3530f70";""
"building materials";"Toko Bahan Bangunan";"YF Depo Galvalum Jombang";"Dusun Krembung, Toko Galvalum, Desa, Kemendung, Mojokambang, Kec. Bandarkedungmulyo, Kabupaten Jombang, Jawa Timur 61462";"Toko Galvalum, Desa, Kemendung, Mojokambang, Kec. Bandarkedungmulyo, Kabupaten Jombang";"JAWA TIMUR";"61462";"Indonesia";" 081358786399";"";"/url?q>>u003dhttp://www.yfdepogalvalumjombang.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjbuOGupOyLAxUEw6ACHWCXFW8Q61gIFigS>>u0026usg>>u003dAOvVaw1QtyBMvrOgFgcdwlpMeBZs";"-7.6100738";"112.1365137";"https://maps.google.com/?cid=0x0:0xecc612838463674d";""
"building materials";"Toko Bahan Bangunan";"TB Maju Jaya Abadi";"87WW+C4R, Jl. Soekarno Hatta, Mojotengah, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. Soekarno Hatta, Mojotengah, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6538853";"112.2952773";"https://maps.google.com/?cid=0x0:0x61b4204419e7f49d";""
"building materials";"Pasar bahan bangunan";"Cak.Man Matrial bangunan";"87GW+QPW, Kedungpring, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Kedungpring, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 082234177847";"";"";"-7.6730192";"112.2968393";"https://maps.google.com/?cid=0x0:0xd7d0c9054a0ef8d5";""
"building materials";"Toko";"Toko Bangunan Kurnia Jaya";"Jalan Dokter Soetomo No.107, RT.1-RW2, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"RT.1-RW2, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6810758";"112.3007812";"https://maps.google.com/?cid=0x0:0x28c7619c3fc17918";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Sumber Mili 1";"G63M+W2W, Jalan, Kedung Banteng, Pesantren, Tembelang, Jombang Regency, East Java 61452";"Jalan, Kedung Banteng, Pesantren, Tembelang, Jombang Regency";"JAWA TIMUR";"61452";"Indonesia";" 085607015621";"";"";"-7.4951314";"112.2325777";"https://maps.google.com/?cid=0x0:0x4a5a8382aabd57e5";""
"building materials";"Toko Bahan Bangunan";"UD Yaqin Jaya batako hidrolis dan aneka beton dan supliyer material alam";"Jl. Raya Blimbing, RT.02/RW.02, Kedondong, Blimbing, Kec. Kesamben, Kabupaten Jombang, Jawa Timur 61484";"RT.02/RW.02, Kedondong, Blimbing, Kec. Kesamben, Kabupaten Jombang";"JAWA TIMUR";"61484";"Indonesia";" 085731343069";"";"";"-7.4613456";"112.3808482";"https://maps.google.com/?cid=0x0:0xbc62e03b354daa6b";""
"building materials";"Toko";"UD. SUMBER REJEKI";"9887+RC3, Jl. Anjasmoro, RT.04/RW.01, Area Sawah/Kebun, Mojoduwur, Kec. Mojowarno, Kabupaten Jombang, Jawa Timur 61475";"Jl. Anjasmoro, RT.04/RW.01, Area Sawah/Kebun, Mojoduwur, Kec. Mojowarno, Kabupaten Jombang";"JAWA TIMUR";"61475";"Indonesia";" 085331963642";"";"";"-7.6329847";"112.3135562";"https://maps.google.com/?cid=0x0:0xa034cb3f545f0944";""
"building materials";"Toko Bahan Bangunan";"Tb lumintu ,bareng";"88R4+XR5, Jalan Dokter Soetomo, RT.25/RW.10, Serning, Banjaragung, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jalan Dokter Soetomo, RT.25/RW.10, Serning, Banjaragung, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6576165";"112.3070945";"https://maps.google.com/?cid=0x0:0xc1ff87594099b518";""
"building materials";"Toko Bahan Bangunan";"Rejo Makmur";"88CW+XJ6, Jalan Raya Wonosalam Jalan Raya, Pulosari Dua, Pulosari, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jalan Raya Wonosalam Jalan Raya, Pulosari Dua, Pulosari, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 081249123313";"";"";"-7.6775795";"112.3465197";"https://maps.google.com/?cid=0x0:0x9f143bfbb4f09764";""
"building materials";"Toko Bahan Bangunan";"UD. MITRA KARYA BERSAMA";"Pulosari Satu, Pulosari, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Pulosari, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6762082";"112.3452549";"https://maps.google.com/?cid=0x0:0x66d6c47df89c6f73";""
"building materials";"Toko Bahan Bangunan";"UD Tentrem";"88V5+655, Serning, Banjaragung, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Serning, Banjaragung, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.656969";"112.3079169";"https://maps.google.com/?cid=0x0:0x482e4ecc38653f40";""
"building materials";"";"Toko Kencana";"Jl. Ampera RT. 2 RW. 4, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 082142864089";"";"";"-7.684476";"112.3004103";"https://maps.google.com/?cid=0x0:0xb8b197456af1e606";""
"building materials";"Toko Bahan Bangunan";"Toko Besi BOLANG STEEL";"87XR+FMH, Jl. Raya Kayen, Kayen, Mojotengah, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. Raya Kayen, Kayen, Mojotengah, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 082339383355";"";"";"-7.6513188";"112.2917318";"https://maps.google.com/?cid=0x0:0xf3b14e774aab972c";""
"building materials";"Toko";"TB Lancar Abadi";"Jl. An Jasmoro No.7, Jemparing, Pakel, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jemparing, Pakel, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.7021622";"112.3056441";"https://maps.google.com/?cid=0x0:0x2d9a7cd2bf5d4497";""
"building materials";"Toko Bahan Bangunan";"Toko Dadi Mulyo";"Jalan Dokter Soetomo No.58, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6810192";"112.3007235";"https://maps.google.com/?cid=0x0:0x60beab1127561ade";""
"building materials";"Toko Bahan Bangunan";"TB. MANDIRI JAYA";"878W+MMR, Jl. A. Yani, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. A. Yani, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.6832569";"112.2966411";"https://maps.google.com/?cid=0x0:0xec8c5d39ec68dec4";""
"building materials";"Toko Bahan Bangunan";"UD GUNA JAYA";"77VH+9HJ, Jl. Gubernur Suryo, Area Sawah/Kebun, Kebondalem, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. Gubernur Suryo, Area Sawah/Kebun, Kebondalem, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";"";"";"";"-7.7065454";"112.2788759";"https://maps.google.com/?cid=0x0:0x75cb228858c612ca";""
"building materials";"building materials";"UD MITRA TANI";"877W+9GH, Jl. Jeruk Kuwik, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. Jeruk Kuwik, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 081330337643";"";"";"-7.6859809";"112.2955895";"https://maps.google.com/?cid=0x0:0x89ae115ecfb7e43b";""
"building materials";"Toko Perlengkapan Rumah";"Toko bangunan sumber rejeki";"Jl Desa, Mundusewu, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Mundusewu, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 081332015504";"";"";"-7.6946484";"112.2825644";"https://maps.google.com/?cid=0x0:0xeba26f6050af93b4";""
"building materials";"building materials";"TB. PUTRI TANJUNG";"Jl. Ampera No.42, RT.03/RW.06, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"RT.03/RW.06, Mojounggul, Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 085335331894";"";"";"-7.6890693";"112.3034876";"https://maps.google.com/?cid=0x0:0x2013a884ff3b0a67";""
"building materials";"Toko Alat-Alat";"Toko Ratu Mur Baut";"Jalan Doktor Sutomo RTL01 RW.02, Bareng, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Bareng, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 085355551000";"";"";"-7.6809042";"112.3007775";"https://maps.google.com/?cid=0x0:0xa005d2a8abf43e3b";""
"building materials";"Toko Bahan Bangunan";"Toko Harapan Baru";"8853+7P7, Jl. Raya Sumberdadi, RT.02/RW.04, Wangunrejo, Ngampungan, Kec. Bareng, Kabupaten Jombang, Jawa Timur 61474";"Jl. Raya Sumberdadi, RT.02/RW.04, Wangunrejo, Ngampungan, Kec. Bareng, Kabupaten Jombang";"JAWA TIMUR";"61474";"Indonesia";" 082301852933";"";"";"-7.6918336";"112.3042997";"https://maps.google.com/?cid=0x0:0x2e0cfe192344dc42";""
