Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;Komplek perumahan;AJUNG RESIDENCE ( Perumahan);Limbung Sari, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Ajung, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;82334112044;;;-82.128.709;1.136.755.403;https://maps.google.com/?cid=0x0:0x3a94008496dbfc35;
komplek housing;Pembangunan Perumahan;Ajung Permai Residence;QJWV+RVW, Jl. Cendrawasih, Kresek, Pancakarya, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Jl. Cendrawasih, Kresek, Pancakarya, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.028.989;113.644.699;https://maps.google.com/?cid=0x0:0x7bc93ab1ee2b921d;
komplek housing;Komplek perumahan;Rumah;Jl. MH. Thamrin No.147, RT.20 RW/RW.4, Ajung Kulon, gumuk bago, Tegal besar, Kabupaten Jember, Jawa Timur 68175;RT.20 RW/RW.4, Ajung Kulon, gumuk bago, Tegal besar, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.122.128;1.136.687.372;https://maps.google.com/?cid=0x0:0x8167ef76a96328ba;
komplek housing;Pembangunan Perumahan;Ajung Residence blok Rumah D1;QMPG+Q6M, Limbung Sari, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Limbung Sari, Ajung, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.128.608;1.136.756.447;https://maps.google.com/?cid=0x0:0xe090f1c5e76996a1;
komplek housing;Gedung Apartemen;Rumah I'ick;Jl. Cendrawasih No.99, Kresek, Pancakarya, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Kresek, Pancakarya, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;85236364141;;;-82.036.831;1.136.476.079;https://maps.google.com/?cid=0x0:0x8ee207ee5154e704;
komplek housing;komplek housing;Rumah Ghoni;QMV4+J27, Jl. Anjasmara, Krajan, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Jl. Anjasmara, Krajan, Ajung, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.059.599;1.136.550.769;https://maps.google.com/?cid=0x0:0x548bfd0609cdb549;
komplek housing;komplek housing;Rumah Pak Galih;QMM9+VMW, Ajung Kulon, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Ajung Kulon, Ajung, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-8.215.259;113.669.199;https://maps.google.com/?cid=0x0:0xaf92c8f9ebbf4268;
komplek housing;Komplek perumahan;Rumah Dinda (Adinda Novita Yuliatin);PJRV+CGX, Renteng, Mangaran, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Renteng, Mangaran, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.588.422;1.136.440.017;https://maps.google.com/?cid=0x0:0x15b7b170d9e941b8;
komplek housing;komplek housing;Rumah Pak RT;QM8M+J62, Durenan, Klompangan, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Durenan, Klompangan, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-8.233.476;1.136.830.103;https://maps.google.com/?cid=0x0:0x1ae932334daf9cd2;
komplek housing;Komplek perumahan;Rumah Capunk;QPJ2+MHH, Besuk, Wirowongso, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175;Besuk, Wirowongso, Kec. Ajung, Kabupaten Jember;JAWA TIMUR;68175;Indonesia;;;;-82.183.019;1.137.014.972;https://maps.google.com/?cid=0x0:0x7f7375d2d624ea6c;
