Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"TB YUDI PUTRA";"4Q3C+5RJ, Unnamed Road, Krajan, Binakal, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251";"Unnamed Road, Krajan, Binakal, Kec. Binakal, Kabupaten Bondowoso";"JAWA TIMUR";"68251";"Indonesia";" 085233830791";"";"";"-7.8970369";"113.7720268";"https://maps.google.com/?cid=0x0:0x46e8233f3f27096e";""
"building materials";"Toko Bahan Bangunan";"UD BUDI BARATAN";"4Q38+M75, Unnamed Road, Krajan, Baratan, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251";"Unnamed Road, Krajan, Baratan, Kec. Binakal, Kabupaten Bondowoso";"JAWA TIMUR";"68251";"Indonesia";" 085259697212";"";"";"-7.8958533";"113.7657262";"https://maps.google.com/?cid=0x0:0x1c024ca0df93abf4";""
"building materials";"Toko Bahan Bangunan";"TB. Belli Jaya / Muni Jaya";"3QXX+RH4, Jl. Diponegoro, Kreneng, Selolembu, Kec. Curah Dami, Kabupaten Bondowoso, Jawa Timur 68251";"Jl. Diponegoro, Kreneng, Selolembu, Kec. Curah Dami, Kabupaten Bondowoso";"JAWA TIMUR";"68251";"Indonesia";" 085259874445";"";"";"-7.9004882";"113.7989541";"https://maps.google.com/?cid=0x0:0xc04a30c7b2c04d61";""
"building materials";"Toko Kayu";"Antok Jaya";"2QHX+2CJ, Utara Sungai, Dadapan, Kec. Grujugan, Kabupaten Bondowoso, Jawa Timur 68261";"Utara Sungai, Dadapan, Kec. Grujugan, Kabupaten Bondowoso";"JAWA TIMUR";"68261";"Indonesia";" 085259158986";"";"";"-7.9724046";"113.7985311";"https://maps.google.com/?cid=0x0:0xd1bcb63121ba8e74";""
"building materials";"Bantuan Rumah";"WJB gudang batako";"Wringintapung, Pancoran, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68219";"Pancoran, Kec. Bondowoso, Kabupaten Bondowoso";"JAWA TIMUR";"68219";"Indonesia";" 085204048704";"";"";"-7.9591053";"113.8062422";"https://maps.google.com/?cid=0x0:0xfc42c4e714749714";""
"building materials";"building materials";"UD. PAL 9 JAYA";"4QH8+RM9, Pal Sembilan, Bendelan, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251";"Pal Sembilan, Bendelan, Kec. Binakal, Kabupaten Bondowoso";"JAWA TIMUR";"68251";"Indonesia";"";"";"";"-7.8704686";"113.7667473";"https://maps.google.com/?cid=0x0:0x5e0495674ae6d771";""
"building materials";"building materials";"Jawa Timur 68251";"Kec. Binakal, Kabupaten Bondowoso, Jawa Timur";"Kabupaten Bondowoso, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.9262302";"113.7513827";"https://maps.google.com/?cid=0x0:0x1c00c5eb5b542be0";""
"building materials";"Toko Kerajinan Tangan";"Pande Besi Binakal";"Nasjid, Binakal, Kec. Binakal, Kabupaten Bondowoso, Jawa Timur 68251";"Binakal, Kec. Binakal, Kabupaten Bondowoso";"JAWA TIMUR";"68251";"Indonesia";"";"";"";"-7.8999771";"113.7771312";"https://maps.google.com/?cid=0x0:0xfa8ef4f0c3db98b4";""
"building materials";"Toko Bahan Bangunan";"Toko Bahan Bangunan Manggis Bondowoso";"Dabasah, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68211";"Kec. Bondowoso, Kabupaten Bondowoso";"JAWA TIMUR";"68211";"Indonesia";" 082122122114";"";"";"-7.9234045";"113.8225181";"https://maps.google.com/?cid=0x0:0x6937c3b63422ffc";""
"building materials";"Toko Bahan Bangunan";"BUMI SURYA ABADI";"Jl. Diponegoro, Kotakulon, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68219";"Kotakulon, Kec. Bondowoso, Kabupaten Bondowoso";"JAWA TIMUR";"68219";"Indonesia";" 082352380882";"";"";"-7.9096389";"113.8174344";"https://maps.google.com/?cid=0x0:0x20d751c62577474b";""
"building materials";"Toko Bahan Bangunan";"TB. Pangestu MAS";"Jl. RE Martadinata No.398, Kali Nangkaan, Dabasah, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68211";"Kali Nangkaan, Dabasah, Kec. Bondowoso, Kabupaten Bondowoso";"JAWA TIMUR";"68211";"Indonesia";" 0332421140";"";"";"-7.9151779";"113.827538";"https://maps.google.com/?cid=0x0:0x64facca652a33e00";""
