Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;Asosiasi/organisasi;POSKO KKN Sumberdadi 2;Jl. Trisula, Krajan, Sumberdadi, Kec. Bakung, Kabupaten Blitar, Jawa Timur;Kabupaten Blitar, Jawa Timur;JAWA TIMUR;;Indonesia;;;;-82.655.316;1.120.599.554;https://maps.google.com/?cid=0x0:0xadbd44e1f2785fab;
hotel;hotel;DP SPEED;Q386+FWM, Unnamed Road, Krisik, Ngrejo, Kec. Bakung, Kabupaten Blitar, Jawa Timur 66163;Unnamed Road, Krisik, Ngrejo, Kec. Bakung, Kabupaten Blitar;JAWA TIMUR;66163;Indonesia;;;;-82.337.684;1.120.623.195;https://maps.google.com/?cid=0x0:0xbe83db3a0cbbd089;
hotel;Motel;baim;P38V+H8W, Kalimeneng, Sidomulyo, Kec. Bakung, Kabupaten Blitar, Jawa Timur 66163;Kalimeneng, Sidomulyo, Kec. Bakung, Kabupaten Blitar;JAWA TIMUR;66163;Indonesia;;;;-82.835.308;11.209.325;https://maps.google.com/?cid=0x0:0xc0bd825c35ead5fd;
hotel;Guest house;GUEST HOUSE MITRA BAHARI;Krajan, Tambakrejo, Kec. Wonotirto, Kabupaten Blitar, Jawa Timur 66173;Tambakrejo, Kec. Wonotirto, Kabupaten Blitar;JAWA TIMUR;66173;Indonesia;85232409714;;/url?q>>u003dhttps://www.instagram.com/ippp_tambakrejo_blitar/%3Fhl%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiL8Nzk4PKLAxVlyDgGHRmVGj8Q61gIFigS>>u0026usg>>u003dAOvVaw0Xw6c0cWxqrHewCxXVLlp_;-83.153.603;1.121.418.476;https://maps.google.com/?cid=0x0:0x4db2acac9fc746db;
hotel;Rumah wisata;Sendie’s Home;P4GH+5MJ, depan balaidesa, Krajan, Kaligrenjeng, Kec. Wonotirto, Kabupaten Blitar, Jawa Timur 66173;depan balaidesa, Krajan, Kaligrenjeng, Kec. Wonotirto, Kabupaten Blitar;JAWA TIMUR;66173;Indonesia;;;;-82.745.483;1.121.291.313;https://maps.google.com/?cid=0x0:0x79ee0648a774ec9f;
hotel;hotel;Kec. Bakung;Kabupaten Blitar, Jawa Timur;Kabupaten Blitar, Jawa Timur;JAWA TIMUR;;Indonesia;;;;-82.913.824;1.121.090.413;https://maps.google.com/?cid=0x0:0x5c73ea72cdafd525;
hotel;hotel;Hotel;3J7G+QW8, Jln.ngangkruk Lantai, Mojolangu, Sudimoro, Kota Malang, Jawa Timur 55889;Jln.ngangkruk Lantai, Mojolangu, Sudimoro, Kota Malang;JAWA TIMUR;55889;Indonesia;8882545322;;;-79.355.872;1.126.273.231;https://maps.google.com/?cid=0x0:0x1b27051766e2c8d2;
hotel;hotel;Hotel Wibisiono;HGWQ+JMC, Balaikambang, Sumberbening, Kec. Bantur, Kabupaten Malang, Jawa Timur 65179;Balaikambang, Sumberbening, Kec. Bantur, Kabupaten Malang;JAWA TIMUR;65179;Indonesia;;;;-84.034.458;1.125.391.259;https://maps.google.com/?cid=0x0:0x38cf4c25476b9136;
hotel;Organisasi Pemuda;Posko KKN Sumberdadi 1;P3P7+89J, Krajan, Sumberdadi, Kec. Bakung, Kabupaten Blitar, Jawa Timur;Kabupaten Blitar, Jawa Timur;JAWA TIMUR;;Indonesia;;;;-82.641.649;112.063.382;https://maps.google.com/?cid=0x0:0xd655a15f92740d50;
hotel;hotel;Hotel Yusro Jombang;Jl. Soekarno - Hatta No.25, Nglungge, Keplaksari, Kec. Peterongan, Kabupaten Jombang, Jawa Timur 61481;Nglungge, Keplaksari, Kec. Peterongan, Kabupaten Jombang;JAWA TIMUR;61481;Indonesia;321878800;;/url?q>>u003dhttp://www.hotelyusrojombang.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiR9MLs4PKLAxXJRWcHHa0gBooQ61gIFigS>>u0026usg>>u003dAOvVaw3UGZS2g9g95W22QLzmna-s;-7.537.766;1.122.652.681;https://maps.google.com/?cid=0x0:0x7a2067d1669452e;
hotel;hotel;N/A;;;JAWA TIMUR;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x7a2067d1669452e%7C/g/12vr10j7d%7Cen-ID;
hotel;hotel;Swiss-Belinn Tunjungan, Surabaya;Jl. Tunjungan No.101, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271;Embong Kaliasin, Kec. Genteng, Surabaya;JAWA TIMUR;60271;Indonesia;3199001999;;/url?q>>u003dhttps://www.swiss-belhotel.com/en-gb/swiss-belinn-tunjungan/special-offers>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi20e_s4PKLAxWrSGwGHR0KEWcQ61gIFigS>>u0026usg>>u003dAOvVaw36sOqjUELjcZBHisuUUO9w;-7.262.125;112.740.721;https://maps.google.com/?cid=0x0:0xd6d43e7b67c5de11;
hotel;hotel;N/A;;;JAWA TIMUR;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x337c8a1b43a6a84%7C/g/1tfdvzg1%7Cen-ID;
