Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"Toko Bahan Bangunan";"Jaya Harapan 3";"pandiyan, Sekolahan, pandiyan, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Sekolahan, pandiyan, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 081333555502";"";"";"-6.9473836";"112.8399127";"https://maps.google.com/?cid=0x0:0xac3de0287a03a577";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan Arosbaya";"XQ8Q+738, Area Sawah/Kebun, Tunjung, Kec. Burneh, Kabupaten Bangkalan, Jawa Timur 69121";"Area Sawah/Kebun, Tunjung, Kec. Burneh, Kabupaten Bangkalan";"JAWA TIMUR";"69121";"Indonesia";" 08133504129";"";"";"-7.034339";"112.787709";"https://maps.google.com/?cid=0x0:0x59e35d3bfa0828a5";""
"building materials";"Toko Bahan Bangunan";"TOKO IMRON";"2R9X+77H, Unnamed Road, Karang Duwak, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Unnamed Road, Karang Duwak, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 087705675777";"";"";"-6.9818062";"112.848228";"https://maps.google.com/?cid=0x0:0xe64d3ec2a0105f24";""
"building materials";"Toko Bahan Bangunan";"Toko Bangunan H. Badrih";"2RQ9+V7P, Lajing, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Lajing, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 081553377404";"";"";"-6.960284";"112.8182174";"https://maps.google.com/?cid=0x0:0x6343cdc653fdffbf";""
"building materials";"Toko Bahan Bangunan";"TKO H.MOHD.SAMO H.M.S";"2RVF+X6J, Jl Tengket lancang, Arosbaya, Krampo, Tengket, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Jl Tengket lancang, Arosbaya, Krampo, Tengket, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";"";"";"";"-6.9550277";"112.823005";"https://maps.google.com/?cid=0x0:0x11384bdd5357f88d";""
"building materials";"Toko Bahan Bangunan";"Serasi art glass";"Jl. Raya Arosbaya No.Km. 7, Janglor I, Lajing, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Janglor I, Lajing, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 081330127735";"";"";"-6.9622406";"112.8169191";"https://maps.google.com/?cid=0x0:0xebea7fc0d2adc688";""
"building materials";"Toko Bahan Bangunan";"Jaya Harapan 2";"3R3Q+3X4, Sekolahan, pandiyan, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Sekolahan, pandiyan, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 087750111199";"";"";"-6.947352";"112.8399715";"https://maps.google.com/?cid=0x0:0xdf8d6a6fc5e02b5";""
"building materials";"Toko Bahan Bangunan";"UD.FARHAT JAYA";"janlor.1 No.1, Janglor I, Lajing, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Janglor I, Lajing, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 087750954166";"";"";"-6.9652584";"112.8122695";"https://maps.google.com/?cid=0x0:0xeabfa9fca35373b5";""
"building materials";"Toko Cat";"SRA";"3R9V+HH2, Jalan Desa, Tolbuk Laok, Tolbuk, Klampis, Bangkalan Regency, East Java 69153";"Jalan Desa, Tolbuk Laok, Tolbuk, Klampis, Bangkalan Regency";"JAWA TIMUR";"69153";"Indonesia";"";"";"";"-6.931121";"112.8438944";"https://maps.google.com/?cid=0x0:0xbeb6b0d55620685f";""
"building materials";"Toko Bahan Bangunan";"Toko matrial SINAR INTAN";"2VM5+RV6, jln glagga mursaba, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"jln glagga mursaba, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 085708790692";"";"";"-6.9654625";"112.8596406";"https://maps.google.com/?cid=0x0:0x6f4b8449611ab300";""
"building materials";"Toko Bahan Bangunan";"Toko Mulya Agung";"Jl. Rongkemasan No.88, Karang Duwak, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Karang Duwak, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 087878165649";"";"";"-6.9704332";"112.8463007";"https://maps.google.com/?cid=0x0:0x31b93446428ac64f";""
"building materials";"Toko Bahan Bangunan";"RESTU PRATANU";"3R3J+J5C, Jalan Raya, Binteng, Tengket, Arosbaya, Bangkalan Regency, East Java 69151";"Jalan Raya, Binteng, Tengket, Arosbaya, Bangkalan Regency";"JAWA TIMUR";"69151";"Indonesia";"";"";"";"-6.9459309";"112.8303858";"https://maps.google.com/?cid=0x0:0x3cd0caf630fb8989";""
"building materials";"Toko Cat";"SRA 2";"Jl. Raya Timur Ps. Bunten No.Depan, Tambegan Barat, Tambegan, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151";"Tambegan Barat, Tambegan, Kec. Arosbaya, Kabupaten Bangkalan";"JAWA TIMUR";"69151";"Indonesia";" 087755093939";"";"";"-6.9551712";"112.8549891";"https://maps.google.com/?cid=0x0:0xe6be38f774a52352";""
