Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Gita Puri RedPartner Blitar";"V5C2+5PQ, Jl. Cemara, Cangkring, Plosoarang, Kec. Sanankulon, Kabupaten Blitar, Jawa Timur 66125";"Jl. Cemara, Cangkring, Plosoarang, Kec. Sanankulon, Kabupaten Blitar";"JAWA TIMUR";"66125";"Indonesia";" 0895417300072";"";"";"-8.1280618";"112.1523931";"https://maps.google.com/?cid=0x0:0x66432120349fb782";""
"hotel";"hotel";"Angler Family Guest House and Kost";"Jatisari, Jatinom, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66100";"Jatinom, Kec. Kanigoro, Kabupaten Blitar";"JAWA TIMUR";"66100";"Indonesia";" 082232410750";"";"";"-8.1284427";"112.1713466";"https://maps.google.com/?cid=0x0:0x3c15566299d4c1ee";""
"hotel";"hotel";"Irma'Residence";"Jl. Bali No.109, Karangtengah, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137";"Karangtengah, Kec. Sananwetan, Kota Blitar";"JAWA TIMUR";"66137";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/94199/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_BTR003%26latitude%3D-8.11142224553643%26longitude%3D112.172096092254%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjd4Zbr3sWLAxVUzjgGHYcvB64Q61gIFigS>>u0026usg>>u003dAOvVaw14ktu8G2JEqmz-3LeUNpY1";"-8.1114306";"112.1721174";"https://maps.google.com/?cid=0x0:0x40a90a41c6a2dffd";""
"hotel";"hotel";"OYO 93976 Maluku Guest House";"Jawa, Indonesia Alun Alun, Jl. Maluku No.36a, Karangtengah, Sananwetan, Blitar Regency, East Java 66113";"Indonesia Alun Alun, Jl. Maluku No.36a, Karangtengah, Sananwetan, Blitar Regency";"JAWA TIMUR";"66113";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/241196/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQnsXr3sWLAxXhzDgGHfuxNwsQ61gIFigS>>u0026usg>>u003dAOvVaw2RXAGlLELVsYTVaWMTqqvb";"-8.1169283";"112.1772178";"https://maps.google.com/?cid=0x0:0x10665759008632bf";""
"hotel";"hotel";"Panderman Kost";"Jl. Beliton No.50, Karangtengah, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137";"Karangtengah, Kec. Sananwetan, Kota Blitar";"JAWA TIMUR";"66137";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/hotels-in-Blitar/%3Futm_source%3DGMB_ID_SO%26utm_medium%3DOrganic%26utm_campaign%3DID_BTR004%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjyv9vr3sWLAxVWzDgGHZT1OqkQ61gIFigS>>u0026usg>>u003dAOvVaw3hX38XRR2R0uEgNTOsriVR";"-8.1102922";"112.176418";"https://maps.google.com/?cid=0x0:0xc7f955a66548f2e5";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc7f955a66548f2e5%7C/g/11fxcd9dg3%7Cen-ID";""
"hotel";"hotel";"Ermahadi Homestay Syariah";"Jl. Maluku, Jatinom, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66171";"Jatinom, Kec. Kanigoro, Kabupaten Blitar";"JAWA TIMUR";"66171";"Indonesia";"";"";"/url?q>>u003dhttps://m.traveloka.com/hotel/indonesia/ermahadi-homestay-syariah-3000010032525%3Fspec%3D3-5-2017.4-5-2017.1.1.HOTEL.3000010032525.Ermahadi%2520Homestay%2520Syariah.1>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjuzbLs3sWLAxUEzjgGHfjPNBwQ61gIEigO>>u0026usg>>u003dAOvVaw0577ycmhvSnMi6qlPZGOuC";"-8.1293196";"112.1737951";"https://maps.google.com/?cid=0x0:0xf8bbb76eec7b54aa";""
"hotel";"hotel";"OYO 92359 Kost Maluku 36 Family Residence";"Minggirsari, Kec. Sananwetan, Kabupaten Blitar, Jawa Timur 66113";"Kec. Sananwetan, Kabupaten Blitar";"JAWA TIMUR";"66113";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/206469/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_BTR011%26latitude%3D-8.11677544590119%26longitude%3D112.17715574428439%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjgycbs3sWLAxVPyDgGHSw4JIoQ61gIFigS>>u0026usg>>u003dAOvVaw1nes51IyQztfd5IWuoOXt8";"-8.1167754";"112.1771557";"https://maps.google.com/?cid=0x0:0x586e8f363fd4ef69";""
"hotel";"hotel";"Kademangan";"Kec. Kademangan, Kabupaten Blitar, Jawa Timur";"Kabupaten Blitar, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-8.1995552";"112.1060214";"https://maps.google.com/?cid=0x0:0x4027a76e3530b50";""
"hotel";"hotel";"SUPER OYO 91618 Hotel Nawangwulan";"Jl. Mastrip No.93, Purwerejo, Kepanjen Kidul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 60000";"Purwerejo, Kepanjen Kidul, Kec. Kepanjenkidul, Kota Blitar";"JAWA TIMUR";"60000";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/190959/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_BTR009%26latitude%3D-8.1004569%26longitude%3D112.1622995%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjQ96Pt3sWLAxUl3jgGHT6_ANgQ61gIFigS>>u0026usg>>u003dAOvVaw2W5-gsuvdyoNxLizLUwx3r";"-8.1004918";"112.1622597";"https://maps.google.com/?cid=0x0:0x35382646aac959a6";""
"hotel";"hotel";"OYO 3128 Hotel Lahor Indah";"18 Jalan Kembar No.18 Ngaglik, Ngreco, Kec. Selorejo, Kabupaten Blitar, Jawa Timur 50226";"Ngreco, Kec. Selorejo, Kabupaten Blitar";"JAWA TIMUR";"50226";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/hotels-in-Blitar/%3Futm_source%3DGMB_ID_SO%26utm_medium%3DOrganic%26utm_campaign%3DID_BTR005%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjs8Mbt3sWLAxV5yzgGHViULe8Q61gIFigS>>u0026usg>>u003dAOvVaw0Gy2nHJuC9yvDmBIhb3Mdm";"-8.1401094";"112.4516755";"https://maps.google.com/?cid=0x0:0x485f01191d8f1df8";""
"hotel";"hotel";"Hotel Ilhami";"W4P3+4M8, Jl. Raya, Jatilengger, Kec. Ponggok, Kabupaten Blitar, Jawa Timur 66153";"Jl. Raya, Jatilengger, Kec. Ponggok, Kabupaten Blitar";"JAWA TIMUR";"66153";"Indonesia";" 03425650258";"";"";"-8.0647106";"112.1041949";"https://maps.google.com/?cid=0x0:0xa0f490bb6a52c405";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xa0f490bb6a52c405%7C/g/11c45tdxdr%7Cen-ID";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x8c502e1280de36c5%7C/g/11cm0lsyq4%7Cen-ID";""
"hotel";"hotel";"Bromo Park Hotel";"Jl. Dr.Sutomo No.70, Tisnonegaran, Kec. Kanigaran, Kota Probolinggo, Jawa Timur 67217";"Tisnonegaran, Kec. Kanigaran, Kota Probolinggo";"JAWA TIMUR";"67217";"Indonesia";" 03354493777";"";"/url?q>>u003dhttp://www.bromoparkhotel.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiLr_b03sWLAxUucWwGHeFpNm8Q61gIFigS>>u0026usg>>u003dAOvVaw2su6-67R56GmhL3cF2Rkb4";"-7.7485888";"113.21726";"https://maps.google.com/?cid=0x0:0x8c502e1280de36c5";""
"hotel";"hotel";"Goya Hotel";"Jl. Raya Panglima Sudirman, Bibes, Lemahkembar, Kec. Sumberasih, Kabupaten Probolinggo, Jawa Timur 67251";"Bibes, Lemahkembar, Kec. Sumberasih, Kabupaten Probolinggo";"JAWA TIMUR";"67251";"Indonesia";" 03354494239";"";"/url?q>>u003dhttps://goyahotelprobolinggo.wordpress.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj58ar13sWLAxXl-TgGHXsYJVUQ61gIFigS>>u0026usg>>u003dAOvVaw2x9e73VY_I946_-2wiHwPX";"-7.7477655";"113.1559756";"https://maps.google.com/?cid=0x0:0x6c93e8398122deb3";""
"hotel";"hotel";"Bromo View Hotel";"Jl. Raya Bromo No.Km, RW.05, Triwung Lor, Kec. Kademangan, Kota Probolinggo, Jawa Timur 67223";"RW.05, Triwung Lor, Kec. Kademangan, Kota Probolinggo";"JAWA TIMUR";"67223";"Indonesia";" 0335434000";"";"/url?q>>u003dhttps://www.bromoviewhotel.blogspot.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjBiYz23sWLAxX9wzgGHZKMGLsQ61gIFigS>>u0026usg>>u003dAOvVaw07G3kdLXo1W70uGEjDiJ4Z";"-7.7609379";"113.1752016";"https://maps.google.com/?cid=0x0:0x37d1a6e8e320f624";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x37d1a6e8e320f624%7C/g/1td6vjp8%7Cen-ID";""
"hotel";"hotel";"BEE JAY BAKAU RESORT";"Pelabuhan PPP Mayangan, Wisata Primadona, Mangunharjo, Mayangan, Mangunharjo, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67217";"Wisata Primadona, Mangunharjo, Mayangan, Mangunharjo, Kec. Mayangan, Kota Probolinggo";"JAWA TIMUR";"67217";"Indonesia";" 03355892001";"";"";"-7.7340755";"113.2222048";"https://maps.google.com/?cid=0x0:0x18092ee5fa469dd";""
"hotel";"hotel";"Paseban Sena (Ballroom, Hotel  Restaurant)";"Jl. Suroyo No.50 -52, Sukabumi, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67219";"Sukabumi, Kec. Mayangan, Kota Probolinggo";"JAWA TIMUR";"67219";"Indonesia";" 08113373354";"";"/url?q>>u003dhttps://pasebansenacatering.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwia8Iv33sWLAxUH3TgGHeThC-UQ61gIFigS>>u0026usg>>u003dAOvVaw0CTc8-tAbggMQ9iPcOeG4L";"-7.746554";"113.2156404";"https://maps.google.com/?cid=0x0:0xb8398970027fff9";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xb8398970027fff9%7C/g/11b6c_fr7l%7Cen-ID";""
"hotel";"hotel";"Hotel Ratna";"Jl. Raya Panglima Sudirman No.118, Sukabumi, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67219";"Sukabumi, Kec. Mayangan, Kota Probolinggo";"JAWA TIMUR";"67219";"Indonesia";" 02129707601";"";"/url?q>>u003dhttps://www.oyorooms.com/ID/78524/%3Futm_source%3DGMB_ID%26utm_medium%3DOrganic%26utm_campaign%3DID_PLO008%26latitude%3D-7.75315236035799%26longitude%3D113.212740719318%26locale%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiE0sf33sWLAxXLsK8BHSBRPAsQ61gIFigS>>u0026usg>>u003dAOvVaw0HF3jkbc4lhzilmdvLc4uB";"-7.7532693";"113.2122462";"https://maps.google.com/?cid=0x0:0xeed3f64476a7f29";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xeed3f64476a7f29%7C/g/1hm1q5cs1%7Cen-ID";""
"hotel";"hotel";"Bromo Venture";"Jl. Gubernur Suryo Utara No.2 Blok D, Tisnonegaran, Kec. Kanigaran, Kota Probolinggo, Jawa Timur 67211";"Tisnonegaran, Kec. Kanigaran, Kota Probolinggo";"JAWA TIMUR";"67211";"Indonesia";" 082228526860";"";"";"-7.7595014";"113.2069726";"https://maps.google.com/?cid=0x0:0x8696a0914c80b385";""
"hotel";"hotel";"RedDoorz Syariah @ Jalan Panglima Sudirman Probolinggo";"65VR+V7W RedDoorz Syariah @, Jl. Tangkuban Prahu Jl. Raya Panglima Sudirman No.3 No. 36, Pilang, Kec. Kademangan, Kota Probolinggo, Jawa Timur 67221";"Jl. Tangkuban Prahu Jl. Raya Panglima Sudirman No.3 No. 36, Pilang, Kec. Kademangan, Kota Probolinggo";"JAWA TIMUR";"67221";"Indonesia";" 0895417300072";"";"";"-7.755267";"113.1907117";"https://maps.google.com/?cid=0x0:0x1f7533580c761df1";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x1f7533580c761df1%7C/g/11h8j4ggbr%7Cen-ID";""
"hotel";"hotel";"Clover Home Stay";"Jl. Mawar Merah No.8, Sukabumi, Kec. Mayangan, Kota Probolinggo, Jawa Timur 67219";"Sukabumi, Kec. Mayangan, Kota Probolinggo";"JAWA TIMUR";"67219";"Indonesia";" 081330496663";"";"";"-7.7516984";"113.2059022";"https://maps.google.com/?cid=0x0:0x449347278ba81427";""
