Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Ascent Premiere Pasuruan";"Jl. Jend. A. Yani No.45-47, Gadingrejo, Kec. Gadingrejo, Kota Pasuruan, Jawa Timur 67135";"Gadingrejo, Kec. Gadingrejo, Kota Pasuruan";"JAWA TIMUR";"67135";"Indonesia";" 082139523812";"";"/url?q>>u003dhttp://www.ascenthospitalitygroup.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwisxOXv08aLAxVmcGwGHTMsO5sQ61gIFigS>>u0026usg>>u003dAOvVaw06N3QvVRJoKPWS_Fl8y7np";"-7.6364021";"112.8960476";"https://maps.google.com/?cid=0x0:0xe00db3426d0a46b9";""
"hotel";"hotel";"BJ. Perdana Hotel  Resorts";"Jl. Sultan Agung No.21, Purutrejo, Kec. Purworejo, Kota Pasuruan, Jawa Timur 67127";"Purutrejo, Kec. Purworejo, Kota Pasuruan";"JAWA TIMUR";"67127";"Indonesia";" 0816550055";"";"";"-7.6618492";"112.9020172";"https://maps.google.com/?cid=0x0:0x49159bcec047a715";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x49159bcec047a715%7C/g/1tdv2_04%7Cen-ID";""
"hotel";"hotel";"Hotel Pasuruan";"Jl. Kh. Wachid Hasyim No.46, Bangilan, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur 67153";"Bangilan, Kec. Panggungrejo, Kota Pasuruan";"JAWA TIMUR";"67153";"Indonesia";" 085768133419";"";"";"-7.6446446";"112.9042146";"https://maps.google.com/?cid=0x0:0x83d2af80d1541020";""
"hotel";"hotel";"Daroessalam Syariah Heritage Hotel";"No Jl. Soekarno Hatta No.41-43, Trajeng, Kec. Gadingrejo, Kota Pasuruan, Jawa Timur 67131";"Trajeng, Kec. Gadingrejo, Kota Pasuruan";"JAWA TIMUR";"67131";"Indonesia";" 03435616000";"";"/url?q>>u003dhttp://www.daroessalamhotel.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwj7penw08aLAxUoRmcHHXLBDWsQ61gIFigS>>u0026usg>>u003dAOvVaw17WSxG9LlXtBcl-dkqmt-m";"-7.6373544";"112.9044719";"https://maps.google.com/?cid=0x0:0x1b89f08c708b5659";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x1b89f08c708b5659%7C/g/11c76qfd9p%7Cen-ID";""
"hotel";"hotel";"Hotel Transit Pasuruan";"Jl. Jend. A. Yani No.55, Gadingrejo, Kec. Gadingrejo, Kota Pasuruan, Jawa Timur 67134";"Gadingrejo, Kec. Gadingrejo, Kota Pasuruan";"JAWA TIMUR";"67134";"Indonesia";" 03435643990";"";"";"-7.6343188";"112.8927195";"https://maps.google.com/?cid=0x0:0xeee5c9417cdd4ac5";""
"hotel";"hotel";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xeee5c9417cdd4ac5%7C/g/11b6bsdgd5%7Cen-ID";""
"hotel";"hotel";"Rauda Living Space";"Jl. KH. Mansyur No.95, Sekargadung, Kec. Bugul Kidul, Kota Pasuruan, Jawa Timur 67127";"Sekargadung, Kec. Bugul Kidul, Kota Pasuruan";"JAWA TIMUR";"67127";"Indonesia";" 081217092990";"";"/url?q>>u003dhttps://www.booking.com/Share-ouSbmj>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjF69jx08aLAxVxTWcHHTD1G9YQ61gIFigS>>u0026usg>>u003dAOvVaw2wxKLD1JzU8KfhUk_mqbcZ";"-7.670556";"112.9041001";"https://maps.google.com/?cid=0x0:0x437bc55c73bfb35c";""
"hotel";"hotel";"Hotel Semeru Park - Pasuruan";"Jl. Veteran No.3, Kandangsapi, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur 67116";"Kandangsapi, Kec. Panggungrejo, Kota Pasuruan";"JAWA TIMUR";"67116";"Indonesia";" 0343423555";"";"";"-7.6437227";"112.9113109";"https://maps.google.com/?cid=0x0:0x2ba0dfdfa513d675";""
"hotel";"hotel";"kost pasuruan, exclusive 808";"Jl. Griya Sultan Agung VII No.14, Purutrejo, Kec. Purworejo, Kota Pasuruan, Jawa Timur 67117";"Purutrejo, Kec. Purworejo, Kota Pasuruan";"JAWA TIMUR";"67117";"Indonesia";"";"";"";"-7.6618363";"112.9066634";"https://maps.google.com/?cid=0x0:0xd791dbe369ada206";""
"hotel";"hotel";"Tengger Guesthouse";"Jalan Raya Pasuruan - Probolinggo KM.5 No.1A Sambirejo Rejoso, Sambirejo, Kec. Rejoso, Pasuruan, Jawa Timur 67181";"Sambirejo, Kec. Rejoso, Pasuruan";"JAWA TIMUR";"67181";"Indonesia";" 081325642562";"";"/url?q>>u003dhttps://tenggerguesthouse-pasuruan.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi8lb3y08aLAxX_xzgGHSOkNZEQ61gIFigS>>u0026usg>>u003dAOvVaw2iXXBi6sCYUeNYIdCHrtBF";"-7.6661708";"112.9340054";"https://maps.google.com/?cid=0x0:0x318ec675b49aa8d2";""
"hotel";"hotel";"Java Mulia Homestay Syariah";"Perum Graha Indah Jl. Venus No.1, RW.No. 35, Krapyakrejo, Kec. Gadingrejo, Kota Pasuruan, Jawa Timur 67137";"RW.No. 35, Krapyakrejo, Kec. Gadingrejo, Kota Pasuruan";"JAWA TIMUR";"67137";"Indonesia";" 082131962609";"";"/url?q>>u003dhttps://muliatransjawa.com/mulia-homestay-pasuruan/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiD9oHz08aLAxXdwjgGHSVxMo0Q61gIFigS>>u0026usg>>u003dAOvVaw1bn2mIWPYq3Ehm0k6zLtF1";"-7.6457213";"112.8735319";"https://maps.google.com/?cid=0x0:0x564b4db1d3446828";""
