Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Sunrise Mall";"Jl. Benteng Pancasila No.9, Mergelo, Balongsari, Kec. Magersari, Kota Mojokerto, Jawa Timur 61314";"Mergelo, Balongsari, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61314";"Indonesia";" 03215283888";"";"/url?q>>u003dhttp://sunrisemall.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiqxrqfrMeLAxXiRmcHHatKHKsQ61gIFigS>>u0026usg>>u003dAOvVaw2SBIQLNxSE_tEV_v7EkYZ5";"-7.4716778";"112.4434698";"https://maps.google.com/?cid=0x0:0x6beae969386a16a3";""
"mall";"mall";"SAMSUNG OFFICIAL STORE";"Jl. Gajah Mada No.135, Mergelo, Balongsari, Kec. Magersari, Kota Mojokerto, Jawa Timur 61314";"Mergelo, Balongsari, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61314";"Indonesia";" 085646682621";"";"/url?q>>u003dhttps://wa.me/6285646682621>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjyytqfrMeLAxXjwjgGHVT1HE0Q61gIFigS>>u0026usg>>u003dAOvVaw1tLXfmtrWPjFgIdAl7lOoM";"-7.468257";"112.439819";"https://maps.google.com/?cid=0x0:0xf3a7c98a1bf4e61f";""
"mall";"Pusat Perbelanjaan";"NICESO MOJOKERTO";"Jl. Residen Pamuji No.61, Mergelo, Jagalan, Kec. Magersari, Kota Mojokerto, Jawa Timur 61311";"Mergelo, Jagalan, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61311";"Indonesia";"";"";"";"-7.4662738";"112.437235";"https://maps.google.com/?cid=0x0:0x6fa9d5cd4292576d";""
"mall";"Pusat Perbelanjaan";"kios abah tris";"Unnamed Road, Mergelo, Jagalan, Kec. Magersari, Kota Mojokerto, Jawa Timur 61313";"Mergelo, Jagalan, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61313";"Indonesia";" 085706034253";"";"";"-7.4667827";"112.4367743";"https://maps.google.com/?cid=0x0:0xd957d616ad1a3e91";""
"mall";"Pusat Perbelanjaan";"iZaura MOJOKERTO #1";"GPM Blok A4 / A5 iZaura, Mergelo, Meri, Kec. Magersari, Kota Mojokerto, Jawa Timur 61315";"Mergelo, Meri, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61315";"Indonesia";" 081333507274";"";"";"-7.4755525";"112.4453203";"https://maps.google.com/?cid=0x0:0xa4cbd07aad17328f";""
"mall";"Pusat Perbelanjaan";"All Perfect Mojokerto";"GCWW+56F, Unnamed Road, Mergelo, Wates, Magersari, Mojokerto City, East Java 61317";"Unnamed Road, Mergelo, Wates, Magersari, Mojokerto City";"JAWA TIMUR";"61317";"Indonesia";" 089529812665";"";"";"-7.4545561";"112.4455508";"https://maps.google.com/?cid=0x0:0x8df0398ba4765cc8";""
"mall";"Pusat Perbelanjaan";"Martha Distributor Nasa Mojokerto";"Magersari Gg. I, Mergelo, Magersari, Kec. Magersari, Kota Mojokerto, Jawa Timur 61318";"Mergelo, Magersari, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61318";"Indonesia";" 085732633160";"";"";"-7.4621252";"112.4333099";"https://maps.google.com/?cid=0x0:0xe9448f39851cede7";""
"mall";"Toko Pakaian";"RAM Shop B'Hijab";"Jl. Prajuritkulon Gg. 6 No.72, Mergelo, Prajurit Kulon, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61326";"Mergelo, Prajurit Kulon, Kec. Prajurit Kulon, Kota Mojokerto";"JAWA TIMUR";"61326";"Indonesia";" 085730981198";"";"";"-7.4708588";"112.4257019";"https://maps.google.com/?cid=0x0:0xbfedfd3838ff2a2d";""
"mall";"Arena Bermain Anak-Anak";"Kidz Station Sunrise Mall";"Mergelo, Balongsari, Kec. Magersari, Kota Mojokerto, Jawa Timur 61314";"Balongsari, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61314";"Indonesia";"";"";"";"-7.4704163";"112.4436401";"https://maps.google.com/?cid=0x0:0x4cb5223538817ad5";""
"mall";"Minimarket";"Semangat Baru Grosir";"Jl. Kawi Raya No.32, Mergelo, Wates, Kec. Magersari, Kota Mojokerto, Jawa Timur 61317";"Mergelo, Wates, Kec. Magersari, Kota Mojokerto";"JAWA TIMUR";"61317";"Indonesia";" 085231366669";"";"";"-7.4593237";"112.4493942";"https://maps.google.com/?cid=0x0:0x95e097a483a8df34";""
