Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Perumahan";"pimpongan";"2J7Q+82H, Jl. Zaenal Zakse Gg. 2, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jl. Zaenal Zakse Gg. 2, Jodipan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";" 089654606372";"";"";"-7.9866812";"112.6376";"https://maps.google.com/?cid=0x0:0x822e50602d964dc2";""
"komplek housing";"Komplek perumahan";"Home";"Jl. Ontoseno II No.66, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9836051";"112.6449058";"https://maps.google.com/?cid=0x0:0x1764ae824347b664";""
"komplek housing";"Komplek perumahan";"Rumah filano";"Jl. Permadi no.35b rt/rw 09/04, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9883635";"112.6421301";"https://maps.google.com/?cid=0x0:0xff90c20c59f6bd28";""
"komplek housing";"komplek housing";"Malang";"Jl. Permadi No.28, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9879422";"112.6438994";"https://maps.google.com/?cid=0x0:0x330dd0d59f7aad9a";""
"komplek housing";"Inspektur Tempat Tinggal";"Rumah Keluarga Kecil Bpk. Arif";"2J6W+7QW, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9892627";"112.6469495";"https://maps.google.com/?cid=0x0:0x79511d9781722df8";""
"komplek housing";"Komplek perumahan";"Rumah andis";"2J6V+9CP, Jl. Permadi, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jl. Permadi, Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9890313";"112.6435672";"https://maps.google.com/?cid=0x0:0x3efacc26a51d5e15";""
"komplek housing";"Toko";"RUMAH CIK WA";"2J7Q+683, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jodipan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9869757";"112.6382891";"https://maps.google.com/?cid=0x0:0x36491062731e1a51";""
"komplek housing";"Komplek perumahan";"Home";"Jl. Panglima Sudirman No.H27, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65111";"Kesatrian, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65111";"Indonesia";"";"";"";"-7.9760105";"112.638353";"https://maps.google.com/?cid=0x0:0x1328c213858943e8";""
"komplek housing";"Komplek perumahan";"Johandana's Garden";"Jl. Puntodewo VIII No.47, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9847597";"112.6485981";"https://maps.google.com/?cid=0x0:0xa3c93f461683657c";""
"komplek housing";"Komplek perumahan";"Blok c. 14";"2JFV+6FG, Jl. Terusan Kesatrian No.C.14, Keduyo, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jl. Terusan Kesatrian No.C.14, Keduyo, Kesatrian, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9777356";"112.6434173";"https://maps.google.com/?cid=0x0:0xa2f9ca5a86ff5162";""
"komplek housing";"Komplek perumahan";"Budodo";"no 21, Jl. Kalimosodo No.3, Polehan, Blimbing, Malang City, East Java";"Kota Malang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.9806592";"112.6501232";"https://maps.google.com/?cid=0x0:0xdef449d4fb2d5af1";""
"komplek housing";"Komplek perumahan";"Rumah Daffa";"2J6V+V7R, Jl. Permadi, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jl. Permadi, Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9877614";"112.64313";"https://maps.google.com/?cid=0x0:0x9e9dd1072919ebd4";""
"komplek housing";"";"Rumah P. Mahmudi";"Gg. Garuda No.16, RT.08/RW.01, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"RT.08/RW.01, Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9867627";"112.6429693";"https://maps.google.com/?cid=0x0:0x64368a210d4021be";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Abah Djuwari - Surnalis";"Jl. Permadi No.16-60, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.986467";"112.6432732";"https://maps.google.com/?cid=0x0:0x4af49547b1d8871b";""
"komplek housing";"Pangkalan Militer";"Asrama Skodam V Brawijaya";"2JFV+6FG, Jl. Terusan Kesatrian, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Jl. Terusan Kesatrian, Kesatrian, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9769326";"112.6437175";"https://maps.google.com/?cid=0x0:0x9fa6197bf13b6ca6";""
"komplek housing";"Komplek perumahan";"Yesika home";"Jl. Permadi No.36b, RT.09/RW.04, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"RT.09/RW.04, Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";" 08883331399";"";"";"-7.9882666";"112.6420645";"https://maps.google.com/?cid=0x0:0xc41797ba87597fea";""
"komplek housing";"komplek housing";"GANG KOMPLEK ASRAMA HUBDAM";"2JCW+FGR, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9787576";"112.6462591";"https://maps.google.com/?cid=0x0:0xdcfd60a3ee1ee764";""
"komplek housing";"komplek housing";"mustofa's family";"Jl. Pemandian No.1, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Kesatrian, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9758403";"112.6395589";"https://maps.google.com/?cid=0x0:0xbdb6204df2121b6c";""
"komplek housing";"Pembangunan Perumahan";"Rumah P David";"Jl. Puntodewo II No.12, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9854527";"112.6472687";"https://maps.google.com/?cid=0x0:0x281a9a4a3aafc768";""
"komplek housing";"komplek housing";"Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang, Jawa Timur";"Kota Malang, Jawa Timur";"JAWA TIMUR";"";"Indonesia";"";"";"";"-7.9844217";"112.6440378";"https://maps.google.com/?cid=0x0:0x34993674fc880969";""
"komplek housing";"Komplek perumahan";"REYVAN REINA PALACE";"Jl. Ontoseno 9 IX No.mor 7, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur 65121";"Polehan, Kec. Blimbing, Kota Malang";"JAWA TIMUR";"65121";"Indonesia";"";"";"";"-7.9826255";"112.6449295";"https://maps.google.com/?cid=0x0:0x2b8866d38a3378c2";""
