Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"Pusat Perbelanjaan";"Suncity Mall Madiun";"Jl. S. Parman No.8, Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63119";"Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63119";"Indonesia";" 0351457147";"";"/url?q>>u003dhttps://www.suncitymall.co.id/sun-city-mall-madiun-tenant-promotion/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi3vqzur8mLAxXzhGMGHSVfMk0Q61gIFigS>>u0026usg>>u003dAOvVaw2jTc8gb5X2bDTdPwbStS7i";"-7.6225443";"111.5361767";"https://maps.google.com/?cid=0x0:0x1e9ae6e9c47136e0";""
"mall";"Pusat Perbelanjaan";"Plaza Madiun";"Jl. Pahlawan No.38-40, Pangongangan, Kec. Manguharjo, Kota Madiun, Jawa Timur 63121";"Pangongangan, Kec. Manguharjo, Kota Madiun";"JAWA TIMUR";"63121";"Indonesia";" 0351499944";"";"";"-7.625678";"111.5199124";"https://maps.google.com/?cid=0x0:0xac4f936efc36d462";""
"mall";"Pusat Perbelanjaan";"Lawu Plaza Madiun";"Jl. Pahlawan No.47, Kartoharjo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63121";"Kartoharjo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63121";"Indonesia";" 0351494461";"";"";"-7.6267298";"111.5203101";"https://maps.google.com/?cid=0x0:0x8ce990cc0ead65e6";""
"mall";"Toko";"Anerstore";"Perumnas Asabri Selo, Jl. Suta Bhakti No.2/191, Kanigoro, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63118";"Jl. Suta Bhakti No.2/191, Kanigoro, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63118";"Indonesia";" 081230863722";"";"/url?q>>u003dhttps://www.tokopedia.com/anerstore%3Fnref%3Dshphead>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi3w5fvr8mLAxXtTmwGHdaZJigQ61gIFigS>>u0026usg>>u003dAOvVaw0XIY1_2SViqTqciXz17JVY";"-7.6286089";"111.5473744";"https://maps.google.com/?cid=0x0:0xd06a13140f703d67";""
"mall";"Toko Pakaian";"Matahari Sun City Madiun";"Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63119";"Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63119";"Indonesia";" 03514472100";"";"/url?q>>u003dhttp://www.matahari.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjoz7vvr8mLAxVWWGwGHU1EIzUQ61gIFigS>>u0026usg>>u003dAOvVaw1TVAOnK6H7yPO8OexqSIzQ";"-7.622488";"111.5363523";"https://maps.google.com/?cid=0x0:0xb0c39d4f1e137829";""
"mall";"Pusat Perbelanjaan";"MADIUNSTORE";"II no. 29, Jl. Tri Jaya, Kanigoro, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63117";"Jl. Tri Jaya, Kanigoro, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63117";"Indonesia";" 089699709095";"";"";"-7.6297943";"111.5409135";"https://maps.google.com/?cid=0x0:0x1efd7ebf0cfe3a57";""
"mall";"Bubble Tea";"Xi Bo Ba Suncity Mall Madiun";"Jl. S. Parman, Nongkobener, Tempursari, Kec. Wungu, Kota Madiun, Jawa Timur 63119";"Nongkobener, Tempursari, Kec. Wungu, Kota Madiun";"JAWA TIMUR";"63119";"Indonesia";" 082225939399";"";"";"-7.6219063";"111.5344557";"https://maps.google.com/?cid=0x0:0xc35705dde1b8f708";""
"mall";"Pusat Perbelanjaan";"Maseru Shop Madiun";"Jl. Nusantara No.9, Klegen, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63117";"Klegen, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63117";"Indonesia";" 085777963024";"";"";"-7.6278092";"111.5333334";"https://maps.google.com/?cid=0x0:0xc7414e872df0f45d";""
"mall";"Pusat Perbelanjaan";"Alyashop";"Jl. Bina Jaya No.35, Rejomulyo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63111";"Rejomulyo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63111";"Indonesia";" 0895395092664";"";"";"-7.6158339";"111.5431816";"https://maps.google.com/?cid=0x0:0x81055a465bce1920";""
"mall";"Pusat Perbelanjaan";"Galeri OS madiun";"Jl. Wiyata Jaya No.9a, Klegen, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63117";"Klegen, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63117";"Indonesia";" 085732412428";"";"";"-7.6273072";"111.5364397";"https://maps.google.com/?cid=0x0:0xb595fe546e5a824a";""
"mall";"mall";"OH!SOME - Suncity Mall Madiun";"Suncity Mall, Jalan Letjen Jl. S. Parman No.8, Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63115";"Jalan Letjen Jl. S. Parman No.8, Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63115";"Indonesia";" 089671448737";"";"";"-7.6226865";"111.5354668";"https://maps.google.com/?cid=0x0:0xdbfcba5e71c85b96";""
"mall";"Toko Elektronik";"Informa Suncity Mall Madiun";"9GGP+W4Q, Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63119";"Oro-oro Ombo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63119";"Indonesia";"";"";"/url?q>>u003dhttps://informa.co.id/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwiUl7Hxr8mLAxVtyDgGHeiEBr8Q61gIESgN>>u0026usg>>u003dAOvVaw2qwpQVRSrO3KOhSvmzUotO";"-7.6226566";"111.5353707";"https://maps.google.com/?cid=0x0:0x33eb210326df2d4c";""
"mall";"Toko Barang Peralatan Bekas";"Pasar Joyo Kota Madiun";"Jl. Imam Bonjol No.60, Rejomulyo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63111";"Rejomulyo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63111";"Indonesia";"";"";"";"-7.6246986";"111.5368141";"https://maps.google.com/?cid=0x0:0x9f54757743c4e6ac";""
"mall";"mall";"The Sun Hotel Madiun";"Kawasan Bisnis dan Rekreasi Suncity Festival, Jl. Let. Jend Jl. S. Parman No.8, Rejomulyo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63111";"Jl. Let. Jend Jl. S. Parman No.8, Rejomulyo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63111";"Indonesia";" 03514472121";"";"/url?q>>u003dhttps://www.instagram.com/thesunhotelmadiun/%3Fhl%3Did>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjLkYLyr8mLAxX-xDgGHZfKKzoQ61gIFigS>>u0026usg>>u003dAOvVaw0dodbRqC2SfOM-f0C5DVp3";"-7.6227261";"111.5370903";"https://maps.google.com/?cid=0x0:0x1017b5ea0bc1392f";""
"mall";"mall";"N/A";"";"";"JAWA TIMUR";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x1017b5ea0bc1392f%7C/g/11bwyxr7s5%7Cen-ID";""
"mall";"mall";"Amaris Hotel Madiun";"Jl. Kalimantan No.30, Kartoharjo, Kec. Kartoharjo, Kota Madiun, Jawa Timur 63116";"Kartoharjo, Kec. Kartoharjo, Kota Madiun";"JAWA TIMUR";"63116";"Indonesia";" 03514472525";"";"/url?q>>u003dhttps://mysantika.com/indonesia/madiun/amaris-hotel-madiun>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwi73tHyr8mLAxXBRmwGHeIoJ3oQ61gIFigS>>u0026usg>>u003dAOvVaw3hrFAcoZs5-PuvkbALKXQV";"-7.6264855";"111.521382";"https://maps.google.com/?cid=0x0:0x46be30a3fec61117";""
"mall";"mall";"Hotel Merdeka Madiun";"Jl. Pahlawan No.42, Pangongangan, Kec. Manguharjo, Kota Madiun, Jawa Timur 63121";"Pangongangan, Kec. Manguharjo, Kota Madiun";"JAWA TIMUR";"63121";"Indonesia";" 0351463636";"";"";"-7.6266677";"111.5198118";"https://maps.google.com/?cid=0x0:0x92151c9d2cfde038";""
