Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"yyuzZ5qsFPC_vr0P8IvFEQ";"";"";"JAWA TIMUR";"";"Indonesia";" 081775208960";"";"";"-8.131606";"112.2172665";"https://maps.google.com/?cid=0x0:0x2fa40f6164cb6c3d";""
"building materials";"Toko Bahan Bangunan";"Graha Bangunan";"Jl. Cemara No.238, Tlumpu, Kec. Sukorejo, Kota Blitar, Jawa Timur 66124";"Tlumpu, Kec. Sukorejo, Kota Blitar";"JAWA TIMUR";"66124";"Indonesia";" 081355945587";"";"/url?q>>u003dhttps://www.grahabangunan.com/>>u0026opi>>u003d79508299>>u0026sa>>u003dU>>u0026ved>>u003d0ahUKEwjs4pr42sqLAxU3T2wGHQumIfYQ61gIFigS>>u0026usg>>u003dAOvVaw1cA_ckdXd2SHw1LEQyCE2N";"-8.1160666";"112.1544785";"https://maps.google.com/?cid=0x0:0x5225aee3bab83095";""
"building materials";"Toko Bahan Bangunan";"Semoga Jaya";"Jl. Mastrip No.50, Kepanjen Kidul, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117";"Kepanjen Kidul, Kec. Kepanjenkidul, Kota Blitar";"JAWA TIMUR";"66117";"Indonesia";" 0342551061";"";"";"-8.100933";"112.165858";"https://maps.google.com/?cid=0x0:0xfe92a4f6b6224777";""
"building materials";"Toko Bahan Bangunan";"Material HD ABADI";"V59W+F45, Jl. Sumber Japlak, Karangsono, Kec. Kanigoro, Kabupaten Blitar, Jawa Timur 66171";"Jl. Sumber Japlak, Karangsono, Kec. Kanigoro, Kabupaten Blitar";"JAWA TIMUR";"66171";"Indonesia";" 089508867400";"";"";"-8.1313673";"112.1953525";"https://maps.google.com/?cid=0x0:0xaf161a11aaefead6";""
"building materials";"Toko Bahan Bangunan";"TBSG";"Jl. Brigjen Katamso No.61, Gedog, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137";"Gedog, Kec. Sananwetan, Kota Blitar";"JAWA TIMUR";"66137";"Indonesia";" 081252212456";"";"";"-8.0857769";"112.1864114";"https://maps.google.com/?cid=0x0:0x6e56ac07b6561b26";""
"building materials";"Toko Bahan Bangunan";"PATRIOT";"Jl. Ciliwung No.190, Tanggung, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66115";"Tanggung, Kec. Kepanjenkidul, Kota Blitar";"JAWA TIMUR";"66115";"Indonesia";" 082230526397";"";"";"-8.0763191";"112.1727682";"https://maps.google.com/?cid=0x0:0x3991c7048eb6fa5e";""
"building materials";"Pemasok Bahan Bangunan";"Mail material";"W65Q+R38, Tulungsari Wetan, Tingal, Kec. Garum, Kabupaten Blitar, Jawa Timur 66182";"Tulungsari Wetan, Tingal, Kec. Garum, Kabupaten Blitar";"JAWA TIMUR";"66182";"Indonesia";"";"";"";"-8.0904573";"112.2377001";"https://maps.google.com/?cid=0x0:0xf6c47040c4e4aabb";""
"building materials";"Toko Bahan Bangunan";"Penataran, Cv";"Jl. Kelud No.69, Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 60252";"Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar";"JAWA TIMUR";"60252";"Indonesia";"";"";"";"-8.0961615";"112.1676015";"https://maps.google.com/?cid=0x0:0x18b0838ed12aa195";""
"building materials";"Toko Bahan Bangunan";"Arochman Material";"W58Q+5G8, Jl. Karya, RT.02/RW.10, Gedog, Kec. Sananwetan, Kota Blitar, Jawa Timur 66133";"Jl. Karya, RT.02/RW.10, Gedog, Kec. Sananwetan, Kota Blitar";"JAWA TIMUR";"66133";"Indonesia";" 08155017213";"";"";"-8.0845932";"112.1888195";"https://maps.google.com/?cid=0x0:0x4fe5307d3ac1b7b6";""
"building materials";"Toko Bahan Bangunan";"Sumber Alam Jaya";"Jl. Brigjen Katamso No.174b, RT.01/RW.11, Gedog, Kec. Sananwetan, Kota Blitar, Jawa Timur 66132";"RT.01/RW.11, Gedog, Kec. Sananwetan, Kota Blitar";"JAWA TIMUR";"66132";"Indonesia";" 081252443121";"";"";"-8.0772874";"112.1887231";"https://maps.google.com/?cid=0x0:0xa0ffe17ae85fe964";""
