Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Barat 78563,"Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1052489,110.0926112,https://maps.google.com/?cid=0x0:0xf0faa5e4c6677ac8,
komplek housing,Komplek perumahan,Inti 3,"574M+77, Balai Ingin, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.155696,110.28319,https://maps.google.com/?cid=0x0:0x12fa2d66ffaaaed7,
komplek housing,Komplek perumahan,Bakung,"43VW+8PC, Jalan bakung, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Jalan bakung, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1421516,110.0971806,https://maps.google.com/?cid=0x0:0x1acb44dfd4695f7c,
komplek housing,Komplek perumahan,Dusun Manang,"34PM+VG3, Dusun Manang, Cowet, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Dusun Manang, Cowet, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.0871375,110.1337969,https://maps.google.com/?cid=0x0:0x79c8e117ee2fd77c,
komplek housing,Komplek perumahan,rumah katriel,"43HQ+MGC, Jl. Tayan - Sosok, Mak Kawing, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Jl. Tayan - Sosok, Mak Kawing, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1284544,110.0890036,https://maps.google.com/?cid=0x0:0x7dea77098b43c1c9,
komplek housing,Komplek perumahan,Dusun Beruak,"Dusun Beruak No.Desa, Temiang Mali, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Temiang Mali, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1799929,110.0866554,https://maps.google.com/?cid=0x0:0x2ee573f7b4fd4f0c,
komplek housing,Komplek perumahan,Rumah PAK TACIN,"44V6+JJ7, kebadu.beruei, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","kebadu.beruei, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1444928,110.1129892,https://maps.google.com/?cid=0x0:0xaa9ae87729d7a229,
komplek housing,Komplek perumahan,Dusun Empalong,"542M+FH9, Hilir, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Hilir, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1511624,110.1339936,https://maps.google.com/?cid=0x0:0x5684633be3662bfa,
komplek housing,Komplek perumahan,Ponsel77,"43PW+5HJ, Hilir, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Hilir, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1354702,110.0964201,https://maps.google.com/?cid=0x0:0x4db30ebdb2a780f8,
komplek housing,Komplek perumahan,Dusun Keranjik,"54C2+PF8, Kebadu, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Kebadu, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1707773,110.1001545,https://maps.google.com/?cid=0x0:0xf683562413dc88a8,
komplek housing,Perhimpunan Pengembang Perumahan,Camp,"Balai nanga, Mak Kawing, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1348336,110.0978773,https://maps.google.com/?cid=0x0:0x3b3f0c260e151aab,
komplek housing,Perhimpunan Pengembang Perumahan,Simpang kapuk,"43PV+X95, Mak Kawing, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Mak Kawing, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1373836,110.0934872,https://maps.google.com/?cid=0x0:0x3f231de842ab7801,
komplek housing,Kantor Pemerintah,Balai ingin,"565P+C7F, Balai Ingin, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1585611,110.2356781,https://maps.google.com/?cid=0x0:0xdcb9c271ec92a30b,
komplek housing,Komplek perumahan,Rumah tus,"43M5+F4, Semoncol, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1337026,110.0578135,https://maps.google.com/?cid=0x0:0x8d86e85068588d27,
komplek housing,Komplek perumahan,Sebual,"33XR+XR, Tebang Benua, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.099913,110.092091,https://maps.google.com/?cid=0x0:0x3590de2b57832813,
komplek housing,Perhimpunan Pengembang Perumahan,Tenggalong,"557P+CPF, Senyabang, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat 78563","Senyabang, Kec. Balai, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1635652,110.1867981,https://maps.google.com/?cid=0x0:0x95bd231f4e6cba47,
komplek housing,Komplek perumahan,Kobong,"5745+PF, Balai Ingin, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1567702,110.2586422,https://maps.google.com/?cid=0x0:0xdbf3c605ea5f1bc2,
komplek housing,Komplek perumahan,Dusun Kobong,"5748+R4F, Balai Ingin, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat 78563","Balai Ingin, Kec. Tayan Hilir, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.1570662,110.2652815,https://maps.google.com/?cid=0x0:0x6c096fc2764ef841,
komplek housing,Komplek perumahan,Kampung Petangah Tae,"4XGR+98, Subah, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1259407,109.9908002,https://maps.google.com/?cid=0x0:0x2c6a9ea553c9189b,
komplek housing,Komplek perumahan,"Kampung pelaman sekajang,Dusun Periyu","37PF+F4, Balai Ingin, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.0861311,110.2728475,https://maps.google.com/?cid=0x0:0x296467a4282a7b6d,
komplek housing,Komplek perumahan,Mitra Fastlinknet 05,"46C6+HVP, Mak Kawing, Kec. Balai, Kabupaten Sanggau, Kalimantan Barat","Kabupaten Sanggau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.1214748,110.2122014,https://maps.google.com/?cid=0x0:0x5b056298eaa63009,
komplek housing,Komplek perumahan,rumahh koleta,"3W6F+FMX, Jl. Ahmad Yani, Subah, Kec. Tayan Hilir, Kabupaten Sanggau, Kalimantan Barat 78563","Jl. Ahmad Yani, Subah, Kec. Tayan Hilir, Kabupaten Sanggau",KALIMANTAN BARAT,78563.0,Indonesia,,,,0.0600835,109.924017,https://maps.google.com/?cid=0x0:0xa66147d4c4498a5d,
komplek housing,Pembangunan Perumahan,Gardenia City 3 Muktiwari Cibitung blok gc 24 no 10,"Jl. Kp. Bulak Kunyit, Muktiwari, Kec. Cibitung, Kabupaten Bekasi, Jawa Barat 17520","Muktiwari, Kec. Cibitung, Kabupaten Bekasi",KALIMANTAN BARAT,17520.0,Indonesia,,,,-6.2182911,107.1004182,https://maps.google.com/?cid=0x0:0x32bd4bb03767400e,
komplek housing,komplek housing,Komplek Housing,"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414","Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks",KALIMANTAN BARAT,17414.0,Indonesia,,,,-6.293724,106.9165114,https://maps.google.com/?cid=0x0:0x9c50464976dee674,
