Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,Komplek perumahan,"Belitang satu, Belitang,kab Sekadau","46HR+5JJ, Belitang Satu, Kec. Belitang, Kabupaten Sekadau, Kalimantan Barat","Kabupaten Sekadau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.12797,111.241501,https://maps.google.com/?cid=0x0:0xe2823b6f58fab7c5,
mall,mall,Belitang,"Belitang Satu, Kec. Belitang, Kabupaten Sekadau, Kalimantan Barat","Kabupaten Sekadau, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.12797,111.241501,https://maps.google.com/?cid=0x0:0x21926f63d903f773,
mall,Minimarket,Toko william,"55MQ+2MV, Jalan Poros, Padak, Kec. Belitang, Kabupaten Sekadau, Kalimantan Barat 79586","Jalan Poros, Padak, Kec. Belitang, Kabupaten Sekadau",KALIMANTAN BARAT,79586.0,Indonesia,85751063257.0,,,0.1831677,111.1892584,https://maps.google.com/?cid=0x0:0x9199edbde25296b8,
mall,Tujuan Wisata,Pasar Belitang,"46JV+G47, Belitang Dua, Kec. Belitang, Kabupaten Sekadau, Kalimantan Barat 79588","Belitang Dua, Kec. Belitang, Kabupaten Sekadau",KALIMANTAN BARAT,79588.0,Indonesia,,,,0.131293,111.242797,https://maps.google.com/?cid=0x0:0xc1b359154dd788f1,
mall,Pusat Perbelanjaan,TOKO BUNDA,"55RG+VWH, Belitang Dua, Kec. Belitang, Kabupaten Sekadau, Kalimantan Barat 79586","Belitang Dua, Kec. Belitang, Kabupaten Sekadau",KALIMANTAN BARAT,79586.0,Indonesia,82255147065.0,,,0.1921771,111.1773549,https://maps.google.com/?cid=0x0:0x9852a5b6987a26a5,
mall,mall,Kec. Belitang,"Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan","Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan",KALIMANTAN BARAT,,Indonesia,,,,-4.1402273,104.6278606,https://maps.google.com/?cid=0x0:0xbffde04fd06442eb,
mall,Toko Pakaian Wanita,MM STORE BELITANG,"VJPP+HQ5, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382","Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur",KALIMANTAN BARAT,32382.0,Indonesia,82246136966.0,,,-4.1136102,104.636983,https://maps.google.com/?cid=0x0:0x51d6b4b31c50b31d,
mall,Komplek perumahan,Puncak 4,"VJPV+X39, Jln menur Jl. Puncak IV, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382","Jln menur Jl. Puncak IV, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur",KALIMANTAN BARAT,32382.0,Indonesia,85766834305.0,,,-4.1125808,104.6427441,https://maps.google.com/?cid=0x0:0xd5a5a779c8767ef4,
mall,Pusat Perbelanjaan,MALL PELAYANAN PUBLIK,"VJQV+QG2, Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382","Gumawang, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur",KALIMANTAN BARAT,32382.0,Indonesia,,,,-4.1106232,104.6437738,https://maps.google.com/?cid=0x0:0x6b9bcb20c1f8a0a3,
mall,Toko Swalayan,Pasar Tawang Rejo,"RJ4M+2PR, Tawang Rejo, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan 32382","Tawang Rejo, Kec. Belitang, Kabupaten Ogan Komering Ulu Timur",KALIMANTAN BARAT,32382.0,Indonesia,81368467456.0,,,-4.1948934,104.6342645,https://maps.google.com/?cid=0x0:0x7ebff7f0096e70d7,
