Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Toko Swalayan,Toko RIYANES JAYA,"QP36+RVC, Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.2450117,112.7123904,https://maps.google.com/?cid=0x0:0x24618f977f346dde,
building materials,Toko bahan makanan,Toko RIKI JAYA BANGUNAN,"QP47+52F, Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang, Kalimantan Barat 78684","Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang",KALIMANTAN BARAT,78684.0,Indonesia,,,,-0.2449875,112.7121926,https://maps.google.com/?cid=0x0:0xafb20d85d160280,
building materials,Toko bahan makanan,Toko RIKI JAYA BANGUNAN,"QP47+52F, Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang, Kalimantan Barat 78684","Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang",KALIMANTAN BARAT,78684.0,Indonesia,,,,-0.2449875,112.7121926,https://maps.google.com/?cid=0x0:0xafb20d85d160280,
building materials,Toko Swalayan,Toko RIYANES JAYA,"QP36+RVC, Nanga Kemangai, Kec. Ambalau, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.2450117,112.7123904,https://maps.google.com/?cid=0x0:0x24618f977f346dde,
building materials,Toko Bahan Bangunan,UD. Makmur Jaya Balikpapan,"Jl. Ahmad Yani No.20, Gunungsari Ilir, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113","Gunungsari Ilir, Kec. Balikpapan Tengah, Kota Balikpapan",KALIMANTAN BARAT,76113.0,Indonesia,87790952235.0,,,-1.2684074,116.8374255,https://maps.google.com/?cid=0x0:0x73813adcf3e8709d,
building materials,building materials,Binjai Hulu,"Kec. Binjai Hulu, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.2175949,111.4872092,https://maps.google.com/?cid=0x0:0x41cf2684a59000cb,
building materials,building materials,Sinar Berkat (Binjai),"5FGM+FH3, Dak Jaya, Kec. Binjai Hulu, Kabupaten Sintang, Kalimantan Barat 78663","Dak Jaya, Kec. Binjai Hulu, Kabupaten Sintang",KALIMANTAN BARAT,78663.0,Indonesia,,,,0.1755812,111.4841858,https://maps.google.com/?cid=0x0:0xc23df1311057fade,
building materials,Toko Bahan Bangunan,Niaga Material,"Jl. MT. Haryono No.29a, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613","Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78613.0,Indonesia,,,,0.069525,111.4800925,https://maps.google.com/?cid=0x0:0xfaefa44af7ccc5bc,
building materials,Toko Bahan Bangunan,Toko Bangunan Bintang Nusantara,"Jl. YC. Oevang Oeray No.5A, Sungai Ana, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78618","Sungai Ana, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78618.0,Indonesia,85117209951.0,,,0.0657912,111.5187479,https://maps.google.com/?cid=0x0:0x4444025fae626f25,
building materials,building materials,Kalimantan Barat 78611,"Kec. Sintang, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.065105,111.5647165,https://maps.google.com/?cid=0x0:0x4ca2b578e88390f,
building materials,Toko Bahan Bangunan,TB. Arta Tech,"3G74+84J, Baning Kota, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614","Baning Kota, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78614.0,Indonesia,82112427393.0,,,0.0633492,111.505255,https://maps.google.com/?cid=0x0:0x3122bc8c3fff1a84,
building materials,Toko Bahan Bangunan,Gudang Niaga Bangunan,"Tj. Puri, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,81257908939.0,,,0.0798754,111.4985163,https://maps.google.com/?cid=0x0:0xcaa4df0bef4d4114,
building materials,Toko Bahan Bangunan,Toko Bangunan Roda Gemilang,"Jl. Kolonel Sugiono No.107, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614","Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78614.0,Indonesia,81258175965.0,,,0.0799613,111.4832268,https://maps.google.com/?cid=0x0:0x4b3f97f6811c7d89,
building materials,Kantor Perusahaan,Pertambangan Andesit,"Jln. Raya Sintang-Putussibau, Desa Jerora 1, 300 meter setelah jembatan, jemelak, Tj. Puri, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78611","Desa Jerora 1, 300 meter setelah jembatan, jemelak, Tj. Puri, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78611.0,Indonesia,81233205550.0,,,0.090699,111.53821,https://maps.google.com/?cid=0x0:0x3142b9cac352af01,
building materials,Toko Perlengkapan Rumah,TB. MEGA JAYA,"akcaya, Jl. Kelam 1 No.Kel, Akcaya, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78615","Jl. Kelam 1 No.Kel, Akcaya, Kec. Sintang, Kabupaten Sintang",KALIMANTAN BARAT,78615.0,Indonesia,82112427393.0,,,0.0802959,111.5309923,https://maps.google.com/?cid=0x0:0xf69d2d54023daf2e,
