Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kalimantan Barat 78684,"Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.0687881,112.9058802,https://maps.google.com/?cid=0x0:0xc818bb777c60929,
mall,Toko,Toko Naupal,"C854+JX9, Bugang, Kec. Hulu Gurung, Kabupaten Kapuas Hulu, Kalimantan Barat 78764","Bugang, Kec. Hulu Gurung, Kabupaten Kapuas Hulu",KALIMANTAN BARAT,78764.0,Indonesia,,,,0.4090322,112.3074696,https://maps.google.com/?cid=0x0:0x1cdf1dfce9aa4c2b,
mall,Pusat Perbelanjaan,Singkawang Grand Mall,"Jl. Alianyang, Pasiran, Kec. Singkawang Bar., Kota Singkawang, Kalimantan Barat 79123","Pasiran, Kec. Singkawang Bar., Kota Singkawang",KALIMANTAN BARAT,79123.0,Indonesia,5626300000.0,,,0.8984081,108.9696898,https://maps.google.com/?cid=0x0:0x121838ff9066df40,
mall,Pusat Perbelanjaan,CITY MALL SAMBAS,"9872+39G, Jalan poros utara, Durian, Kec. Sambas, Kabupaten Sambas, Kalimantan Barat","Kabupaten Sambas, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,1.3626937,109.3009462,https://maps.google.com/?cid=0x0:0x4084c650e356a877,
mall,Toko,Ar Center,"GF8P+MQM, Karya maju, Kec. Boyan Tj., Kabupaten Kapuas Hulu, Kalimantan Barat 78758","Karya maju, Kec. Boyan Tj., Kabupaten Kapuas Hulu",KALIMANTAN BARAT,78758.0,Indonesia,82253661798.0,,,0.5167243,112.4869336,https://maps.google.com/?cid=0x0:0x2d0201259e8c8ffc,
mall,Toko Pakaian,Toko Semako,"MC9Q+693, Unnamed Road, Nanga Serawai, Kec. Serawai, Kabupaten Sintang, Kalimantan Barat 78683","Unnamed Road, Nanga Serawai, Kec. Serawai, Kabupaten Sintang",KALIMANTAN BARAT,78683.0,Indonesia,,,,-0.3319962,112.4384249,https://maps.google.com/?cid=0x0:0x5054cb1dff29a4b1,
mall,mall,Emie Salon,"VR66+V6F, Jl. Majapahit, kapuas kana, hulu, Kabupaten Sintang, Kalimantan Barat 78684","Jl. Majapahit, kapuas kana, hulu, Kabupaten Sintang",KALIMANTAN BARAT,78684.0,Indonesia,,,,-0.1378067,112.8105512,https://maps.google.com/?cid=0x0:0xb5ecb9942e005f1d,
mall,mall,"Warung Sembako"" Jual Pulsa Data Dan Token""""","Sungai Jaung, Desa engkitan, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.1378068,112.8105512,https://maps.google.com/?cid=0x0:0x9f76461eb3ea2449,
mall,mall,Toko Gita,"PHHW+RPR, Dusun Rabang Bahen, Tontang","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.2703875,112.5967624,https://maps.google.com/?cid=0x0:0xfe9c896825c6377e,
mall,Restoran,Toko sembako sederhana,"MC9H+7HW, Jl. Lintas, Nanga Serawai, Kec. Serawai, Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.3317525,112.4289453,https://maps.google.com/?cid=0x0:0x9b8ed87640e38aff,
mall,mall,Kec. Ambalau,"Kabupaten Sintang, Kalimantan Barat","Kabupaten Sintang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.0687881,112.9058802,https://maps.google.com/?cid=0x0:0x86d94e4d82e52026,
mall,Pusat Perbelanjaan,Singkawang Grand Mall,"Jl. Alianyang, Pasiran, Kec. Singkawang Bar., Kota Singkawang, Kalimantan Barat 79123","Pasiran, Kec. Singkawang Bar., Kota Singkawang",KALIMANTAN BARAT,79123.0,Indonesia,5626300000.0,,,0.8984081,108.9696898,https://maps.google.com/?cid=0x0:0x121838ff9066df40,
mall,mall,BTM MART,"CXMX+FH3, Sejiram, Kec. Seberuang, Kabupaten Kapuas Hulu, Kalimantan Barat 78772","Sejiram, Kec. Seberuang, Kabupaten Kapuas Hulu",KALIMANTAN BARAT,78772.0,Indonesia,,,,0.4336286,111.9989211,https://maps.google.com/?cid=0x0:0x4262baeef16d431c,
mall,Toko,Toko Naupal,"C854+JX9, Bugang, Kec. Hulu Gurung, Kabupaten Kapuas Hulu, Kalimantan Barat 78764","Bugang, Kec. Hulu Gurung, Kabupaten Kapuas Hulu",KALIMANTAN BARAT,78764.0,Indonesia,,,,0.4090322,112.3074696,https://maps.google.com/?cid=0x0:0x1cdf1dfce9aa4c2b,
mall,Mal outlet,Ayani Megamall,"Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113","Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak",KALIMANTAN BARAT,78113.0,Indonesia,561763888.0,,,-0.051244,109.345662,https://maps.google.com/?cid=0x0:0x5217d4caea80b3d0,
