Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Air Upas,"Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863",Kabupaten Ketapang,KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3108829,110.8102834,https://maps.google.com/?cid=0x0:0x54607cdacd948604,
mall,Pusat Perbelanjaan,JN,"MRM8+P9F, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3156764,110.815908,https://maps.google.com/?cid=0x0:0xdefd7da22a5f95b2,
mall,Toko Swalayan,Pasar air upas,"MRMC+W3J, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3151709,110.8201788,https://maps.google.com/?cid=0x0:0x4afcaa97169be77f,
mall,Pusat Perbelanjaan,Javamart,"MRP8+9R6, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3140989,110.8170178,https://maps.google.com/?cid=0x0:0x77111a9e1d6e3215,
mall,Toko Swalayan,Alfamart Simpang 3 Air Upas,"Air Upas No.1, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3161597,110.8242378,https://maps.google.com/?cid=0x0:0x54fdac78a34f871f,
mall,Pusat Perbelanjaan,pasar rakyat,"MRP9+W89, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,82331248773.0,,,-2.3128269,110.8183699,https://maps.google.com/?cid=0x0:0x174f7ed1bd6c324e,
mall,Pusat Perbelanjaan,TOKO SETIA ABADI,"MRP8+8P6, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3142119,110.8167599,https://maps.google.com/?cid=0x0:0xfac50264f52cc2de,
mall,Pusat Perbelanjaan,Toko sido mumbol,"MRP8+JX5, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,82310184712.0,,,-2.3134858,110.8174808,https://maps.google.com/?cid=0x0:0xc7a1613f5e8fa3a4,
mall,Bangunan Bersejarah,Bundaran Air Upas,"MRP8+9QG, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.313997,110.8169283,https://maps.google.com/?cid=0x0:0xb30b41c2560b1569,
mall,Pusat Perbelanjaan,Toko Sembako 3BARAT H.Amir,"MQMW+MG8, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3158473,110.7963353,https://maps.google.com/?cid=0x0:0xb149ec9b5fc915bf,
mall,mall,Kalimantan Barat 78863,"Kabupaten Ketapang, Kalimantan Barat","Kabupaten Ketapang, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-2.1913676,110.6645683,https://maps.google.com/?cid=0x0:0x810901fe37de44a5,
mall,Pusat Perbelanjaan,"Toko Permata Simpang Ibul, Air Upas, Ketapang","MQCX+RM, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3279719,110.7991293,https://maps.google.com/?cid=0x0:0xbcd4d73dd46614a4,
mall,Pusat Perbelanjaan,Toko VALLIN,"HR9C+9M5, PKS Pakujuang, Unnamed Road, Air Durian Jaya, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","PKS Pakujuang, Unnamed Road, Air Durian Jaya, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,81649018799.0,,,-2.4316045,110.8217346,https://maps.google.com/?cid=0x0:0x58e1bec144d1ec4c,
mall,Toko Pakaian,Fauzy fashion,"Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,81549616392.0,,,-2.3921842,110.7981015,https://maps.google.com/?cid=0x0:0x4b7ba40561a07341,
mall,Pusat Perbelanjaan,Member NASA Air Upas,"JVF7+W3C, Unnamed Road, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78864","Unnamed Road, Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78864.0,Indonesia,85849269766.0,,,-2.3751794,110.8626359,https://maps.google.com/?cid=0x0:0xc898af680a4ad3b2,
mall,Pusat Perbelanjaan,Toko Dita,"Sp 1, Suka Ria, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Suka Ria, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.285849,110.742571,https://maps.google.com/?cid=0x0:0xe6acb33c9173321a,
mall,Komplek perumahan,Pasar Desa sari bekayas,"PR3Q+V47, Sari Bekayas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Sari Bekayas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.29534,110.8378119,https://maps.google.com/?cid=0x0:0x5c22b0300d0268c8,
mall,Toko,TOKO sembako,"JQ5X+6G9, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,,,,-2.3919693,110.7988518,https://maps.google.com/?cid=0x0:0xd3a79d7feb4b75d5,
mall,Toko Swalayan,Family Mart,"MJ6V+JMF, Sukamulya, Kec. Singkup, Kabupaten Ketapang, Kalimantan Barat 78863","Sukamulya, Kec. Singkup, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,82171898491.0,,,-2.3386088,110.6443764,https://maps.google.com/?cid=0x0:0xfeb41506f0173579,
mall,Toko grosir buah dan sayur,Sayur Pak Marsan,"JR53+QC5, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,85654519643.0,,,-2.3906094,110.8035973,https://maps.google.com/?cid=0x0:0x20b071c5d5ca173f,
mall,Gereja,Gereja GMII Makedonia,"Sp 2, Air Upas, Kec. Air Upas, Kabupaten Ketapang, Kalimantan Barat 78863","Air Upas, Kec. Air Upas, Kabupaten Ketapang",KALIMANTAN BARAT,78863.0,Indonesia,82253988884.0,,,-2.3146634,110.7924038,https://maps.google.com/?cid=0x0:0x58bfa630e02f9951,
