Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Barat 79365,"Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.9225877,110.0449662,https://maps.google.com/?cid=0x0:0x8668b83c1ca1ca6f,
komplek housing,Komplek perumahan,Rumah Kaisar,"RW38+QX3, Tenguwe, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Tenguwe, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia, 082253370325,,,0.8041294,109.9184764,https://maps.google.com/?cid=0x0:0xdaeaf2fe0092b112,
komplek housing,Kompleks Apartemen,Saham City,"Q474+G8, Serimbu, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79367","Serimbu, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79367.0,Indonesia,,,,0.7638114,110.1058492,https://maps.google.com/?cid=0x0:0x9375c0eae64527ee,
komplek housing,Komplek perumahan,Rumah iyooo,"P4W8+2QW, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7451178,110.1169461,https://maps.google.com/?cid=0x0:0xe5641a67feb1333c,
komplek housing,Pembangunan Perumahan,Rumah Ketua DAD Kec. Air Besar,"Q427+CRG, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7510611,110.1145657,https://maps.google.com/?cid=0x0:0xa4cdf0ca5ab09ddd,
komplek housing,Pembangunan Perumahan,Rumah kakek yiyin dan dikta,"X2GJ+H39, Tengok Pelaik, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Tengok Pelaik, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9756195,110.0302105,https://maps.google.com/?cid=0x0:0xf358648baa7b88,
komplek housing,Komplek perumahan,Rumah Pak Candra,"RRQR+JG, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.8388934,109.8413186,https://maps.google.com/?cid=0x0:0x337e7d09f8ec54fc,
komplek housing,Komplek perumahan,Sepangah,"P4V9+F92, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7436336,110.1183848,https://maps.google.com/?cid=0x0:0x5e4d82a43f47447d,
komplek housing,Komplek perumahan,Simpang Entikong,"Q4M6+GQ7, Jl. Entikong, Engkangin, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Jl. Entikong, Engkangin, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.7837811,110.1119287,https://maps.google.com/?cid=0x0:0xa9fdb28dc463a93f,
komplek housing,Pembangunan Perumahan,Rudi home stay,"P4W8+6P7, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79367","Sepangah, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79367.0,Indonesia,,,,0.7455337,110.116803,https://maps.google.com/?cid=0x0:0x67164f8bbadc1211,
komplek housing,Komplek perumahan,Parek,"RVR8+GVV, Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.8413595,109.8671633,https://maps.google.com/?cid=0x0:0x14d605d8aa60fb57,
komplek housing,Komplek perumahan,Rumah Andi,"P4WG+PVX, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7468597,110.127221,https://maps.google.com/?cid=0x0:0x5c0e6ab4e9eb0776,
komplek housing,Komplek perumahan,Merayuh,"W55H+5PV, Merayuh, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Merayuh, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9080365,110.1793283,https://maps.google.com/?cid=0x0:0x5ed2f95ea72a0e82,
komplek housing,Komplek perumahan,Kampung Merayuh,"W55J+G4M, Merayuh, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Merayuh, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9088492,110.1802975,https://maps.google.com/?cid=0x0:0x53205c78f951614f,
komplek housing,Komplek perumahan,simpang terap,"QXH2+WMH, Tenguwe, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79367","Tenguwe, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79367.0,Indonesia,,,,0.7798005,109.9517188,https://maps.google.com/?cid=0x0:0x3498775e509d4ee9,
komplek housing,Komplek perumahan,Rumah Della,"RVR9+J5M, Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.8415799,109.8679302,https://maps.google.com/?cid=0x0:0xbf65404c6c4bc927,
komplek housing,Rumah Kayu,MELBERS,"W2FV+2XP, Sempatung Lawek, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.9225877,110.0449662,https://maps.google.com/?cid=0x0:0x63ae84a2fca9b89a,
komplek housing,Komplek perumahan,Rumah pet,"RVR8+GVV, Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Parek, Pare/Sutipadang, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.840195,109.868935,https://maps.google.com/?cid=0x0:0xd185c7acaba33ef2,
komplek housing,Kompleks Apartemen,Rumah chibi,"P4X4+473, Serimbu, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79367","Serimbu, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79367.0,Indonesia,,,,0.7474176,110.1055008,https://maps.google.com/?cid=0x0:0xe7c4678eb65acf94,
komplek housing,Komplek perumahan,Rumah Rizal Boh,"P4W7+X49, Sepangah, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7474075,110.1128589,https://maps.google.com/?cid=0x0:0x6f1aeb1bb5930e09,
komplek housing,komplek housing,Kec. Air Besar,"Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.9225877,110.0449662,https://maps.google.com/?cid=0x0:0x8e851a640fc92cdc,
komplek housing,Komplek perumahan,Antuai,"X52J+VH6, Entikong - Air Besar, Nyari, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Entikong - Air Besar, Nyari, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9521722,110.1813789,https://maps.google.com/?cid=0x0:0x508486488001bb0a,
komplek housing,Pembangunan Perumahan,Desa engkangin,"R4C9+9F9, Engkangin, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.8209203,110.1187238,https://maps.google.com/?cid=0x0:0xd48dbb9baa7b88c3,
komplek housing,Pembangunan Perumahan,Rumah mama Rita,"WW86+7FV, Bentiang Madomang, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Bentiang Madomang, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9156927,109.9105032,https://maps.google.com/?cid=0x0:0xc9aff46eeeef22b6,
komplek housing,Komplek perumahan,"Rumah,Lek/pk Habel","dsn, Rumah Lek/pk Habel, Parek No.ds, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Rumah Lek/pk Habel, Parek No.ds, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.8423938,109.8681897,https://maps.google.com/?cid=0x0:0x39db2d3650840945,
komplek housing,Perhimpunan Pengembang Perumahan,Nyake Entamu,"W5P2+HHJ, Jangkak - Entikong, Tengok Pelaik, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365","Jangkak - Entikong, Tengok Pelaik, Kec. Air Besar, Kabupaten Landak",KALIMANTAN BARAT,79365.0,Indonesia,,,,0.9364734,110.1514011,https://maps.google.com/?cid=0x0:0x92b0040595646fa,
komplek housing,Komplek perumahan,Pondok Gede Housing II,"Housing II, Jl. Raya Hankam, RT.001/RW.004, Jatirahayu, Pondok Gede, Bekasi, West Java","Kota Bks, Jawa Barat",KALIMANTAN BARAT,,Indonesia,,,,-6.2876701,106.9147674,https://maps.google.com/?cid=0x0:0x2a52e601c20d18f2,
komplek housing,Komplek perumahan,Pondok Gede Housing 1,"Jl. Cipta Raya No.45-3, RT.001/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414","RT.001/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks",KALIMANTAN BARAT,17414.0,Indonesia,,,,-6.2852504,106.9163397,https://maps.google.com/?cid=0x0:0x3132afedbf38cd61,
komplek housing,Komplek perumahan,White House,"Jl. Komp. Pd. Gede Housing.II Blok FF. 1A, Jatirahayu, Pondok Melati, Bekasi, West Java 17414","Jatirahayu, Pondok Melati, Bekasi",KALIMANTAN BARAT,17414.0,Indonesia,,,,-6.2883969,106.9160196,https://maps.google.com/?cid=0x0:0x2bf8b8029130581f,
komplek housing,komplek housing,Kalimantan Barat 79364,"Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6737656,109.6163185,https://maps.google.com/?cid=0x0:0x8890c5a7792b01c3,
komplek housing,Komplek perumahan,Dusun Bandol,"MGV7+7RR, Untang, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Untang, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6932349,109.5145192,https://maps.google.com/?cid=0x0:0x850b0974ec8f45cc,
komplek housing,Komplek perumahan,Rumah Jampen,"JGWQ+JVG, Dusun Medang, Kampet, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6465525,109.5396875,https://maps.google.com/?cid=0x0:0xdd820c5ba374c4b2,
komplek housing,Pembangunan Perumahan,Dusun baban,"MG95+5GM, Kampet, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.667971,109.5088097,https://maps.google.com/?cid=0x0:0x44814009740906e5,
komplek housing,Perumahan,Rumah Bang Eso,"MGC9+69, Kampet, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6712051,109.518325,https://maps.google.com/?cid=0x0:0x442853c795d7617f,
komplek housing,Komplek perumahan,"Rumah Enek,Evi (Pak,Lili)","HGVF+HF, Gamang, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Gamang, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.5948845,109.5231972,https://maps.google.com/?cid=0x0:0x13f23fc9b00f031b,
komplek housing,Komplek perumahan,Semade Alam. (Rumah Pak Oktavianus Alot,"PFGM+5WH, Semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Semade, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7255808,109.4854574,https://maps.google.com/?cid=0x0:0x4755cab7678390de,
komplek housing,Perhimpunan Pengembang Perumahan,Kampung Pancik,"JJW3+QQV, Dusun Pancik, Tembawang Bale, Kec. Banyuke Hulu, HuluKabupaten Landak, Kalimantan Barat 79364","Dusun Pancik, Tembawang Bale, Kec. Banyuke Hulu, HuluKabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.646985,109.6044161,https://maps.google.com/?cid=0x0:0x74a202e008a6d3dc,
komplek housing,Komplek perumahan,"Semade Alam, Jalan raya semade","PFGM+5WH, Semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Semade, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7255915,109.4855594,https://maps.google.com/?cid=0x0:0xe44508b3ec230f33,
komplek housing,Taman,Dusun Perigi,"PFCV+G8P, Semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Semade, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7213324,109.4933239,https://maps.google.com/?cid=0x0:0x15a1e8d3f0064f70,
komplek housing,Komplek perumahan,Pondok Babuah74,"JHPM+M2W, Tembawang Bale, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Tembawang Bale, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6367292,109.5825814,https://maps.google.com/?cid=0x0:0xe01bd7c3d5e8ba0f,
komplek housing,Komplek perumahan,Rumah Batas,"PGC7+P99, Semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Semade, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7217902,109.5134786,https://maps.google.com/?cid=0x0:0xd7cb335d3166fef0,
komplek housing,Komplek perumahan,Darrel,"HHQH+8MF, Ringo Lojok, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.5883084,109.579183,https://maps.google.com/?cid=0x0:0x5142a8efcac34487,
komplek housing,Komplek perumahan,DUSUN RINGO LOJOK,"JG9X+47, Ringo Lojok, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6178039,109.5482151,https://maps.google.com/?cid=0x0:0x299cfa497c762f52,
komplek housing,Perhimpunan Pengembang Perumahan,Dusun TELAET,"JM73+Q52, Kayu Ara, Kec. Menyuke, Kabupaten Landak, Kalimantan Barat 79364","Kayu Ara, Kec. Menyuke, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6143934,109.652897,https://maps.google.com/?cid=0x0:0x7eeba64bd640d7d7,
komplek housing,komplek housing,Rumah Pak.Niko,"MGJ8+FQ6, Jl. Bengkayang - Ngabang, Untang, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Jl. Bengkayang - Ngabang, Untang, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6811281,109.5169448,https://maps.google.com/?cid=0x0:0x264cdeb8c3282352,
komplek housing,Komplek perumahan,RAMIN BOBIT,"PFCR+PXR, Tiang Tj., Kec. Mempawah Hulu, Kabupaten Landak, Kalimantan Barat 79364","Tiang Tj., Kec. Mempawah Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7218321,109.4923647,https://maps.google.com/?cid=0x0:0x1faac10d371bf0c0,
komplek housing,Pembangunan Perumahan,Pentek,"PFC3+4MR, Jl. Raya Pontianak - Bengkayang Pentek, Desa, Semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.7203672,109.4541322,https://maps.google.com/?cid=0x0:0xe95647b38739cc8a,
komplek housing,Komplek perumahan,"Kampung temiris,dusun insang.","MFXF+FH5, Dusun insang, desa semade, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79363","Dusun insang, desa semade, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79363.0,Indonesia,,,,0.6986257,109.4739804,https://maps.google.com/?cid=0x0:0x3494222347544404,
komplek housing,Komplek perumahan,rumah rusni,"MG9C+2J3, Kampet, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6675059,109.5215524,https://maps.google.com/?cid=0x0:0xeb649fd4960af175,
komplek housing,Komplek perumahan,Rumah bobit,"PF9V+X24, Tiang Tj., Kec. Mempawah Hulu, Kabupaten Landak, Kalimantan Barat 79364","Tiang Tj., Kec. Mempawah Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.7198998,109.4925684,https://maps.google.com/?cid=0x0:0x1ee8fd0ace66aa9a,
komplek housing,komplek housing,Kec. Banyuke Hulu,"Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.6383251,109.5634363,https://maps.google.com/?cid=0x0:0xa17ddf327a7acf53,
komplek housing,Komplek perumahan,Rumah Pak Remianto,"MGV7+7RR, Untang, Kec. Banyuke Hulu, Kabupaten Landak, Kalimantan Barat 79364","Untang, Kec. Banyuke Hulu, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6932489,109.5145016,https://maps.google.com/?cid=0x0:0x1bb7217698929822,
komplek housing,Komplek perumahan,guna Bukit,"HJC6+C49, Dusun guna, Angkaras, Kec. Menyuke, Kabupaten Landak, Kalimantan Barat 79364","Dusun guna, Angkaras, Kec. Menyuke, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.5710475,109.6103673,https://maps.google.com/?cid=0x0:0x793c476c77b224a0,
komplek housing,Gedung Apartemen,Kampokng Laba,"HHG7+RFP, Ladangan, Kec. Menyuke, Kabupaten Landak, Kalimantan Barat 79364","Ladangan, Kec. Menyuke, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.5771045,109.5637068,https://maps.google.com/?cid=0x0:0x3096dfcd75dd3dd,
komplek housing,Komplek perumahan,Rmh jon,"JJ73+44, Songga, Kec. Menyuke, Kabupaten Landak, Kalimantan Barat 79364","Songga, Kec. Menyuke, Kabupaten Landak",KALIMANTAN BARAT,79364.0,Indonesia,,,,0.6128073,109.6027756,https://maps.google.com/?cid=0x0:0xc5e5e930018ac4b2,
komplek housing,komplek housing,Kec. Jelimpo,"Kabupaten Landak, Kalimantan Barat","Kabupaten Landak, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,0.3150332,110.0885231,https://maps.google.com/?cid=0x0:0x30fd1a6bdb685b75,
komplek housing,Komplek perumahan,JELIMPO,"837Q+XCP, Jl. Lintas Kalimantan Poros Tengah, Jelimpo, Kec. Jelimpo, Kabupaten Landak, Kalimantan Barat 79357","Jl. Lintas Kalimantan Poros Tengah, Jelimpo, Kec. Jelimpo, Kabupaten Landak",KALIMANTAN BARAT,79357.0,Indonesia,,,,0.3149667,110.0885683,https://maps.google.com/?cid=0x0:0xf6fc61140c78d70c,
