Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Nite  Day Hotel Pontianak Nangapinoh,"Jl Provinsi Sintang No 9, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 78672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,78672.0,Indonesia,5682020386.0,,,-0.3460979,111.7112862,https://maps.google.com/?cid=0x0:0x665951374ce1722b,
hotel,hotel,Kalimantan Barat 79671,"Kabupaten Melawi, Kalimantan Barat","Kabupaten Melawi, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.4539656,111.5229817,https://maps.google.com/?cid=0x0:0xfc272e555b0cebaa,
hotel,hotel,Hotel Alimoer,"Sungai Raya, Kec. Sungai Raya, Kabupaten Kubu Raya, Kalimantan Barat","Kabupaten Kubu Raya, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,85169981240.0,,,-0.0750673,109.3660034,https://maps.google.com/?cid=0x0:0x97f93530c6703f69,
hotel,hotel,Hotel Lima Bintang,"MP47+R6, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79671","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79671.0,Indonesia,85117302258.0,,,-0.34294,111.71308,https://maps.google.com/?cid=0x0:0xf040fcc3d7a1f177,
hotel,hotel,"Hotel Amadeus Nanga Pinoh, Melawi","Tj. Niaga, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82155783871.0,,,-0.3359193,111.740344,https://maps.google.com/?cid=0x0:0x9867fd3c3988f259,
hotel,hotel,Hotel Mulia,"MP6C+98F, Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82150000502.0,,,-0.3390658,111.7208032,https://maps.google.com/?cid=0x0:0x9ce5781ca620b30b,
hotel,hotel,Hotel AGUNG,"Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82156881888.0,,,-0.338936,111.7207851,https://maps.google.com/?cid=0x0:0x21fc04d075f01e51,
hotel,hotel,Hotel Pinoh Permai,"MP8Q+5PV, Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi, Kalimantan Barat 79672","Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,,,,-0.3345158,111.739297,https://maps.google.com/?cid=0x0:0x4909b5e2b89e4fb8,
hotel,hotel,Chinba Guest House,"Komplek.Bumi sepakat permai No.10 A, Bansir Darat, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan Barat 78124","Bansir Darat, Kec. Pontianak Tenggara, Kota Pontianak",KALIMANTAN BARAT,78124.0,Indonesia,81254694519.0,,,-0.070414,109.3443781,https://maps.google.com/?cid=0x0:0xf7e911c3f60f3f7d,
hotel,hotel,,,,KALIMANTAN BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xf7e911c3f60f3f7d%7C/g/11p65s9svv%7Cen-ID,
hotel,hotel,Kec. Belimbing Hulu,"Kabupaten Melawi, Kalimantan Barat","Kabupaten Melawi, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.3702887,111.5294943,https://maps.google.com/?cid=0x0:0x26dc94245ead4c2a,
hotel,hotel,Nite  Day Hotel Pontianak Nangapinoh,"Jl Provinsi Sintang No 9, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 78672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,78672.0,Indonesia,5682020386.0,,,-0.3460979,111.7112862,https://maps.google.com/?cid=0x0:0x665951374ce1722b,
hotel,hotel,AMARANTA HOTEL,"Jl. Raya Propinsi No.78692, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,85133339286.0,,,-0.337383,111.7252124,https://maps.google.com/?cid=0x0:0xe03ec963e123b1dc,
hotel,hotel,"Hotel Amadeus Nanga Pinoh, Melawi","Tj. Niaga, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82155783871.0,,,-0.3359193,111.740344,https://maps.google.com/?cid=0x0:0x9867fd3c3988f259,
hotel,hotel,Hotel AGUNG,"Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82156881888.0,,,-0.338936,111.7207851,https://maps.google.com/?cid=0x0:0x21fc04d075f01e51,
hotel,hotel,Hotel Mulia,"MP6C+98F, Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82150000502.0,,,-0.3390658,111.7208032,https://maps.google.com/?cid=0x0:0x9ce5781ca620b30b,
hotel,hotel,Hotel Pinoh Permai,"MP8Q+5PV, Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi, Kalimantan Barat 79672","Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,,,,-0.3345158,111.739297,https://maps.google.com/?cid=0x0:0x4909b5e2b89e4fb8,
hotel,hotel,Kalimantan Barat 79681,"Kabupaten Melawi, Kalimantan Barat","Kabupaten Melawi, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.5928174,111.9999435,https://maps.google.com/?cid=0x0:0x56ab64304e08062b,
hotel,hotel,AMARANTA HOTEL,"Jl. Raya Propinsi No.78692, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,85133339286.0,,,-0.337383,111.7252124,https://maps.google.com/?cid=0x0:0xe03ec963e123b1dc,
hotel,hotel,"Hotel Amadeus Nanga Pinoh, Melawi","Tj. Niaga, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82155783871.0,,,-0.3359193,111.740344,https://maps.google.com/?cid=0x0:0x9867fd3c3988f259,
hotel,hotel,Hotel Mulia,"MP6C+98F, Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Jl. Raya Propinsi, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82150000502.0,,,-0.3390658,111.7208032,https://maps.google.com/?cid=0x0:0x9ce5781ca620b30b,
hotel,hotel,Hotel Pinoh Permai,"MP8Q+5PV, Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi, Kalimantan Barat 79672","Jalan Juang, Tanjung Niaga, Nanga Pinoh, Tj. Niaga, Melawi, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,,,,-0.3345158,111.739297,https://maps.google.com/?cid=0x0:0x4909b5e2b89e4fb8,
hotel,hotel,Nite  Day Hotel Pontianak Nangapinoh,"Jl Provinsi Sintang No 9, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 78672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,78672.0,Indonesia,5682020386.0,,,-0.3460979,111.7112862,https://maps.google.com/?cid=0x0:0x665951374ce1722b,
hotel,hotel,Menukung,"Nanga Ella Hulu, Kec. Menukung, Kabupaten Melawi, Kalimantan Barat","Kabupaten Melawi, Kalimantan Barat",KALIMANTAN BARAT,,Indonesia,,,,-0.395657,112.1717,https://maps.google.com/?cid=0x0:0x8d04b3ff9fa0089c,
hotel,hotel,AMARANTA HOTEL,"Jl. Raya Propinsi No.78692, Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,85133339286.0,,,-0.337383,111.7252124,https://maps.google.com/?cid=0x0:0xe03ec963e123b1dc,
hotel,hotel,"Hotel Amadeus Nanga Pinoh, Melawi","Tj. Niaga, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82155783871.0,,,-0.3359193,111.740344,https://maps.google.com/?cid=0x0:0x9867fd3c3988f259,
hotel,hotel,HOTEL HANURA,"Km. 2, Hilir Ktr., Kec. Ngabang, Kabupaten Landak, Kalimantan Barat 79357","Hilir Ktr., Kec. Ngabang, Kabupaten Landak",KALIMANTAN BARAT,79357.0,Indonesia,82241414170.0,,,0.378806,109.9451064,https://maps.google.com/?cid=0x0:0xc20a3c43f19eec49,
hotel,hotel,Hotel AGUNG,"Sidomulyo, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672","Kec. Nanga Pinoh, Kabupaten Melawi",KALIMANTAN BARAT,79672.0,Indonesia,82156881888.0,,,-0.338936,111.7207851,https://maps.google.com/?cid=0x0:0x21fc04d075f01e51,
