Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kalimantan Timur 75776,"Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.1517231,115.5917918,https://maps.google.com/?cid=0x0:0xcf1c58fc5919e6cf,
hotel,hotel,Hotel Loveta Kutai Barat,"QM2P+6CX, Simpang Raya, Barong Tongkok, Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Simpang Raya, Barong Tongkok, Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia, 081351076118,,,-0.2493914,115.6861141,https://maps.google.com/?cid=0x0:0x355ae08e1810a3d4,
hotel,hotel,Hotel Monita,"Jl. DR. Soetomo No.106, Melak Ulu, Kec. Melak, Kabupaten Kutai Barat, Kalimantan Timur 75775","Melak Ulu, Kec. Melak, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75775.0,Indonesia, 02180629666,,,-0.2355483,115.8168026,https://maps.google.com/?cid=0x0:0xa601c817078ff9af,
hotel,hotel,HOTEL QUEEN SENDAWAR KUTAI BARAT,"Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia, 082253853338,,,-0.2479322,115.6871659,https://maps.google.com/?cid=0x0:0x5f77a1fd26e672f5,
hotel,hotel,Hotel Musdayani 2,"Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia, 082222205805,,,-0.2307736,115.6906646,https://maps.google.com/?cid=0x0:0x7058a15ce8e13e72,
hotel,hotel,Hotel Nanrio,"QPPV+252, Jl. Sendawar Raya, Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75776","Jl. Sendawar Raya, Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75776.0,Indonesia, 081347066744,,,-0.2149827,115.7428976,https://maps.google.com/?cid=0x0:0x5d18615c3754b2db,
hotel,hotel,Kec. Bentian Besar,"Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.7229814,115.7716158,https://maps.google.com/?cid=0x0:0x2635d28bc26bc7df,
hotel,Bed >>u0026 Breakfast,Penginapan Eirene Dilang Puti,"Jl. TMR Lassa No.RT 002, Dilang Puti, Kec. Bentian Besar, Kabupaten Kutai Barat, Kalimantan Timur 75778","Dilang Puti, Kec. Bentian Besar, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75778.0,Indonesia,,,,-0.710732,115.7654671,https://maps.google.com/?cid=0x0:0xfb551c6169e2fa0d,
hotel,Bed >>u0026 Breakfast,Penginapan cosy,"7QMC+8P7, Dilang Puti, Kec. Bentian Besar, Kabupaten Kutai Barat, Kalimantan Timur 75778","Dilang Puti, Kec. Bentian Besar, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75778.0,Indonesia,,,,-0.7167004,115.7718102,https://maps.google.com/?cid=0x0:0xcfd64a8336d341ba,
hotel,hotel,Hotel Monita,"Jl. DR. Soetomo No.106, Melak Ulu, Kec. Melak, Kabupaten Kutai Barat, Kalimantan Timur 75775","Melak Ulu, Kec. Melak, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75775.0,Indonesia, 02180629666,,,-0.2355483,115.8168026,https://maps.google.com/?cid=0x0:0xa601c817078ff9af,
hotel,hotel,HOTEL QUEEN SENDAWAR KUTAI BARAT,"Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia, 082253853338,,,-0.2479322,115.6871659,https://maps.google.com/?cid=0x0:0x5f77a1fd26e672f5,
hotel,hotel,Hotel Nanrio,"QPPV+252, Jl. Sendawar Raya, Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75776","Jl. Sendawar Raya, Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75776.0,Indonesia, 081347066744,,,-0.2149827,115.7428976,https://maps.google.com/?cid=0x0:0x5d18615c3754b2db,
hotel,hotel,Kalimantan Timur 75772,"Kec. Bongan, Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.7433962,116.3249438,https://maps.google.com/?cid=0x0:0x39bd72d85564dcde,
hotel,hotel,Naraya Nusantara Resort  Kafe,"Jl. Negara, Bumi Harapan, Kec. Sepaku, Kabupaten Penajam Paser Utara, Kalimantan Timur 76147","Bumi Harapan, Kec. Sepaku, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76147.0,Indonesia, 081229731917,,,-0.946016,116.7372921,https://maps.google.com/?cid=0x0:0xda8b4537e8f2378c,
hotel,hotel,Penginapan Mulyasari,"Jl. Poros, Gg. Pasar, RT. 015, Kota Bangun III, Darat, Kec. Kota Bangun, Kabupaten Kutai Kartanegara, Kalimantan Timur 75561","Gg. Pasar, RT. 015, Kota Bangun III, Darat, Kec. Kota Bangun, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75561.0,Indonesia, 082244239499,,,-0.4025814,116.5383306,https://maps.google.com/?cid=0x0:0x7fcfff0096230013,
hotel,hotel,Swissôtel Nusantara,"Lot No.1.Co.20, Bumi Harapan, Sepaku, Penajam North Paser Regency, East Kalimantan 76147","Bumi Harapan, Sepaku, Penajam North Paser Regency",KALIMANTAN TIMUR,76147.0,Indonesia, 05428258888,,,-0.970002,116.709842,https://maps.google.com/?cid=0x0:0xf44092a0b8b58487,
hotel,hotel,The Rich Hotel Penajam Township,"Jl. Penajam-Kuaro No.32, Lawe-lawe, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76142","Lawe-lawe, Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76142.0,Indonesia, 05428540022,,,-1.3337205,116.6936727,https://maps.google.com/?cid=0x0:0xa1b736e643485efe,
hotel,hotel,Venus Inn,"Balikpapan - Penajam No.KM, RW.1, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76141","RW.1, Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76141.0,Indonesia, 02180629666,,,-1.252886,116.7715899,https://maps.google.com/?cid=0x0:0xd6618b2be8697bb9,
hotel,hotel,Penginapan Aina,"Lebaho Ulaq, Kec. Muara Kaman, Kabupaten Kutai Kartanegara, Kalimantan Timur 75553","Kec. Muara Kaman, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75553.0,Indonesia, 02129707601,,,-0.3599375,116.7614375,https://maps.google.com/?cid=0x0:0xb04db5140c8f99aa,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xd6618b2be8697bb9%7C/g/11b6jh75s2%7Cen-ID,
hotel,hotel,Hotel Kalimantan,"Jl. Propinsi Nipah No.KM 07, Nenang, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76142","Nenang, Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76142.0,Indonesia, 082244447119,,,-1.2962491,116.7416475,https://maps.google.com/?cid=0x0:0x59b3645e8b820ba3,
hotel,hotel,Hotel Aqila,"Jl. Propinsi No.Km 09, Nipah-Nipah, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76141","Nipah-Nipah, Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76141.0,Indonesia, 08115419788,,,-1.3042172,116.7335964,https://maps.google.com/?cid=0x0:0x524ff3a12b23b3ad,
hotel,hotel,Penginapan ABADI Muara muntai,"Jl. RA. Kartini No. 7, RT.01, Muara Muntai Ilir, Kec. Muara Muntai, Kabupaten Kutai Kartanegara, Kalimantan Timur 75562","RT.01, Muara Muntai Ilir, Kec. Muara Muntai, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75562.0,Indonesia, 085346032899,,,-0.3611027,116.3916731,https://maps.google.com/?cid=0x0:0xc48d494455a29689,
hotel,hotel,3 Be Garden Hotel,"1 Penginapan 3 Be Garden Syariah, Jl. Propinsi Lawe Lawe Pertamina Penajam Paser Utara Hotel near Simpang 3 Silkar 2,9 km, Penajam North Paser Regency, East Kalimantan 76142","Jl. Propinsi Lawe Lawe Pertamina Penajam Paser Utara Hotel near Simpang 3 Silkar 2,9 km, Penajam North Paser Regency",KALIMANTAN TIMUR,76142.0,Indonesia, 02129707601,,,-1.3478263,116.6722324,https://maps.google.com/?cid=0x0:0xb4fc6359c70f9f8,
hotel,hotel,Hotel IKA Petung Syariah ( BRI an PT. IKA JAYA PRATAMA ),"Jl. Propinsi, Giri Mukti, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76143","Giri Mukti, Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76143.0,Indonesia, 081255803160,,,-1.3555589,116.6643126,https://maps.google.com/?cid=0x0:0x8f3b8ca08cd587b8,
hotel,hotel,Hotel Sekumpul,"PQF2+8W7, Penajam, Kabupaten Penajam Paser Utara, Kalimantan Timur 76142","Penajam, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76142.0,Indonesia,,,,-1.2767116,116.7523117,https://maps.google.com/?cid=0x0:0xd4a792d87d2811c6,
hotel,hotel,Bongan,"Kec. Tabanan, Kabupaten Tabanan, Bali","Kabupaten Tabanan, Bali",KALIMANTAN TIMUR,,Indonesia,,,,-8.5611722,115.1118354,https://maps.google.com/?cid=0x0:0x5030bfbca831ca0,
hotel,hotel,Happy Spiritus Guest House Tabanan,"F482+C6W, Jl. Cemp. Putih No.2, Kukuh, Kec. Kerambitan, Kabupaten Tabanan, Bali 82111","Jl. Cemp. Putih No.2, Kukuh, Kec. Kerambitan, Kabupaten Tabanan",KALIMANTAN TIMUR,82111.0,Indonesia, 0857237161471,,,-8.5345002,115.1004154,https://maps.google.com/?cid=0x0:0xea6c49bc43f6b98c,
hotel,hotel,"Swell Hotel, Pool Bar  Restaurant","Jl. Pantai Kedungu No.99, Belalang, Kec. Kediri, Kabupaten Tabanan, Bali 82115","Belalang, Kec. Kediri, Kabupaten Tabanan",KALIMANTAN TIMUR,82115.0,Indonesia,,,,-8.6079983,115.0862299,https://maps.google.com/?cid=0x0:0x155d6b1261edb531,
hotel,hotel,Maganda Villa,"Jl. Anyelir, Bongan, Kec. Tabanan, Kabupaten Tabanan, Bali 82181","Bongan, Kec. Tabanan, Kabupaten Tabanan",KALIMANTAN TIMUR,82181.0,Indonesia, 081239797874,,,-8.5613039,115.1070343,https://maps.google.com/?cid=0x0:0xf842885100e90b07,
hotel,hotel,Kubu D' Teba,"Gg. Anggrek No.11, Banjar Baleran, Pejaten, Kec. Kediri, Kabupaten Tabanan, Bali 82171","Banjar Baleran, Pejaten, Kec. Kediri, Kabupaten Tabanan",KALIMANTAN TIMUR,82171.0,Indonesia, 081916254545,,,-8.5740309,115.1118146,https://maps.google.com/?cid=0x0:0x45ed1aadbed87178,
hotel,hotel,MORROI VILLAS TANAH LOT,"C475+C84, Jl. Nusa Indah, Belalang, Kec. Kediri, Kabupaten Tabanan, Bali 82121","Jl. Nusa Indah, Belalang, Kec. Kediri, Kabupaten Tabanan",KALIMANTAN TIMUR,82121.0,Indonesia,,,,-8.5864955,115.1083201,https://maps.google.com/?cid=0x0:0xc350aaed350525ab,
hotel,hotel,The Sarining Hotel,"Jl. Gelatik Dajan Peken No.18W, Dajan Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82114","Dajan Peken, Kec. Tabanan, Kabupaten Tabanan",KALIMANTAN TIMUR,82114.0,Indonesia,"  kasur yang cukup untuk dua orang, extra bed untuk satu orang, televisi, teko pemanas air beserta teh dan gula, WC duduk, wastafel beserta cermin, dan shower beserta pemanas airnya. Di hotel ini tidak disediakan breakfast. Terkait makanan, pada malam hari terdapat bakul penjual makanan tepat di depan hotel, namun kemarin saya tidak mencoba membeli makanan di sana.>A>ASedikit minus yang saya rasakan selama di sana adalah lahan parkir yang cukup sempit dan lebar jalan masuk menuju area parkir yang sempit juga. Selain itu, untuk masuk ke area parkir maupum keluar dari sana, harus melewati turunan/tanjakan, jadi harap hati-hati untuk yang masih belum mahir dalam menyetir mobil. Jalanan depan hotel dan lebar jalan menuju parkiran yang sempit juga menyulitkan mobil saya saat akan masuk dan keluar.",,,-8.5300521,115.1242659,https://maps.google.com/?cid=0x0:0xf4d97abc3610502f,
