Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Timur 75776,"Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.1517231,115.5917918,https://maps.google.com/?cid=0x0:0xcf1c58fc5919e6cf,
komplek housing,Komplek perumahan,HOME,"Jl. Gajah Mada No.10, Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia,,,,-0.2281836,115.6945431,https://maps.google.com/?cid=0x0:0x7a6b9f1f94387c0,
komplek housing,Komplek perumahan,Home Gusti,"QM7F+8WP, Jl. Sempekat, Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Jl. Sempekat, Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia,,,,-0.236662,115.6748309,https://maps.google.com/?cid=0x0:0xed5690ec1fa31a1e,
komplek housing,Pembangunan Perumahan,Komplek perumahan jln.Lembo,"QM9R+3VJ, Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.232285,115.6921281,https://maps.google.com/?cid=0x0:0x4f87e200208b37ba,
komplek housing,Rumah Kayu,Rumah hesti,"RMJR+3WG, Ongko Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75776","Ongko Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75776.0,Indonesia,,,,-0.1696099,115.6913272,https://maps.google.com/?cid=0x0:0xe2b48667af5187e8,
komplek housing,Komplek perumahan,Constantine,"Jl. Hasanudin No.RT. 6, Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Simpang Raya, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia,,,,-0.2498839,115.707637,https://maps.google.com/?cid=0x0:0x25940ed2078aa265,
komplek housing,Perhimpunan Pengembang Perumahan,Bahtera House,"QPGC+F4, Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Ngenyan Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia,,,,-0.2238459,115.7202692,https://maps.google.com/?cid=0x0:0x3ee3faf796d350d1,
komplek housing,Komplek perumahan,Daniel House,"QMCP+RCX, Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75777","Barong Tongkok, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75777.0,Indonesia,,,,-0.227844,115.6859741,https://maps.google.com/?cid=0x0:0x30fdf293055c5bd6,
komplek housing,Komplek perumahan,Rumah Krisna,"QJQQ+8H5, Balok Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75776","Balok Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75776.0,Indonesia,,,,-0.2117408,115.6389993,https://maps.google.com/?cid=0x0:0xfef0169adf73c131,
komplek housing,Komplek perumahan,Rumah saya,"QMVC+F4V, Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat, Kalimantan Timur 75776","Asa, Kec. Barong Tongkok, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75776.0,Indonesia,,,,-0.2062584,115.6703047,https://maps.google.com/?cid=0x0:0xf27a8944c16733f,
