Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kalimantan Timur 75381,"Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur","Kabupaten Kutai Kartanegara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.5843135,117.4321452,https://maps.google.com/?cid=0x0:0x550490c20414cd93,
hotel,Penginapan Dalam Ruangan,Markass kampung temple,"C7HP+MJM, Unnamed Road, Anggana, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur 75381","Unnamed Road, Anggana, Kec. Anggana, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75381.0,Indonesia,,,,-0.570776,117.2865545,https://maps.google.com/?cid=0x0:0xf818fba48812d137,
hotel,Hotel,Hotel Al barokah bahari,"Jl. Padat Karya, Sungai Meriam, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur 75381","Sungai Meriam, Kec. Anggana, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75381.0,Indonesia, 081347552605,,,-0.5708037,117.2750326,https://maps.google.com/?cid=0x0:0xc8f51e4168f5dceb,
hotel,Penginapan Dalam Ruangan,Mes karama biringkassi,"C6PX+8WX, Sungai Meriam, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur","Kabupaten Kutai Kartanegara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.5641449,117.2498576,https://maps.google.com/?cid=0x0:0xefd86936acb2565d,
hotel,Hostel,NATHARVIN_HOUSE,"C8Q7+6C7, Kutai Lama, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur 75381","Kutai Lama, Kec. Anggana, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75381.0,Indonesia,,,,-0.5632397,117.3128774,https://maps.google.com/?cid=0x0:0xeb9e2cccd1d9a864,
hotel,Hotel,Mr.ayub,"9C85+2F2, Kutai Lama, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur","Kabupaten Kutai Kartanegara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.6349893,117.4086488,https://maps.google.com/?cid=0x0:0x728aab68f370d7a,
hotel,Hotel,Wahyu,"C7HG+J24, Sungai Meriam, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur 75256","Sungai Meriam, Kec. Anggana, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75256.0,Indonesia,,,,-0.5709958,117.2750852,https://maps.google.com/?cid=0x0:0xfbf736d17395172,
hotel,Taman,Anggana park,"C7JP+V83, Anggana, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur 75381","Anggana, Kec. Anggana, Kabupaten Kutai Kartanegara",KALIMANTAN TIMUR,75381.0,Indonesia,,,,-0.5678656,117.2858012,https://maps.google.com/?cid=0x0:0xdd807d585c86cc67,
hotel,Hotel,Penginapan Mariam,"Jl. Manunggal, RT.10/RW.No. 44, Sungai Meriam, Kec. Anggana, Kota Samarinda, Kalimantan Timur 75381","RT.10/RW.No. 44, Sungai Meriam, Kec. Anggana, Kota Samarinda",KALIMANTAN TIMUR,75381.0,Indonesia, 085753558973,,,-0.5705186,117.2734635,https://maps.google.com/?cid=0x0:0x24083d084ea0d7b8,
hotel,Rumah Pondokan,Sungai Julak Bandjar,"FHG8+FF, Tani Baru, Kec. Anggana, Kabupaten Kutai Kartanegara, Kalimantan Timur","Kabupaten Kutai Kartanegara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-0.523775,117.566199,https://maps.google.com/?cid=0x0:0x8f78d6345003d4c8,
