Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,toko bangunan,Laham,"Long Hurai, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,0.364271,115.429398,https://maps.google.com/?cid=0x0:0x41b99f3dcadfc8b3,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Mahakam 2,"Jl. AW. Syachrani, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136","Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan",KALIMANTAN TIMUR,76136.0,Indonesia,83161072795.0,,,-1.218084,116.8420387,https://maps.google.com/?cid=0x0:0x1e5ad15fe5345b7d,
toko bangunan,Grosir bahan konstruksi,Toko Bangunan Mahakam,"Jl. D.I Panjaitan No.12, Karang Rejo, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur","Kota Balikpapan, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,83164628455.0,,,-1.2411143,116.8462966,https://maps.google.com/?cid=0x0:0x95d3326e773be460,
toko bangunan,Toko Bahan Bangunan,Toko Bahan Bangunan Eshan,"Ciherang, Kec. Dramaga, Kabupaten Bogor, Jawa Barat 16680","Kec. Dramaga, Kabupaten Bogor",KALIMANTAN TIMUR,16680.0,Indonesia,811895519.0,,,-6.5879999,106.7423413,https://maps.google.com/?cid=0x0:0x4a31ea2f7163d4a2,
toko bangunan,Toko Bahan Bangunan,TB Karya Bangunan Ciherang,"Ciherang, Kec. Dramaga, Kabupaten Bogor, Jawa Barat 16680","Kec. Dramaga, Kabupaten Bogor",KALIMANTAN TIMUR,16680.0,Indonesia,81219993887.0,,,-6.5795602,106.7422915,https://maps.google.com/?cid=0x0:0xea84264ca46d747b,
toko bangunan,toko bangunan,Kalimantan Timur 75769,"Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,1.0352372,114.2390498,https://maps.google.com/?cid=0x0:0xc1c20922ba42e267,
toko bangunan,toko bangunan,Kalimantan Timur 75767,"Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,0.887309,115.3785719,https://maps.google.com/?cid=0x0:0xbeb09fe3cccebd68,
toko bangunan,Toko Pakaian,RESTU JAYA,"G6X4+7P7, Unnamed Road, Long Bagun Ulu, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur 75767","Unnamed Road, Long Bagun Ulu, Kec. Long Bagun, Mahakam Ulu",KALIMANTAN TIMUR,75767.0,Indonesia,82149496894.0,,,0.5481584,115.2067947,https://maps.google.com/?cid=0x0:0x38b2ee4363181275,
toko bangunan,toko bangunan,Toko pasir dan batu,"CCX3+FW, Long Merah, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,85390938310.0,,,0.4492691,115.4045822,https://maps.google.com/?cid=0x0:0xcf4e1bd2ea9440d4,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Makmur Jaya,"F65X+82, Long Melaham, Kec. Long Bagun, Kabupaten Kutai Barat, Kalimantan Timur","Kabupaten Kutai Barat, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,82358998444.0,,,0.4583125,115.2475625,https://maps.google.com/?cid=0x0:0x65ea021cf94b951b,
toko bangunan,Pemasok peralatan penanganan material,PABRIK BATA MERAH,"G72C+CQR, SEBENAQ, Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,82181875882.0,,,0.5011153,115.2719048,https://maps.google.com/?cid=0x0:0xdc8158490e6e9258,
toko bangunan,Toko Bahan Bangunan,Toko bata merah,"F747+76, Long Melaham, Kec. Long Bagun, Kabupaten Kutai Barat, Kalimantan Timur 75779","Long Melaham, Kec. Long Bagun, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75779.0,Indonesia,82157188821.0,,,0.4556924,115.2630189,https://maps.google.com/?cid=0x0:0x28b171f990eef9f4,
toko bangunan,Toko Ponsel,MELATI CELL,"Jl. Bayoubung, Long Bagun Ulu, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur 75767","Long Bagun Ulu, Kec. Long Bagun, Mahakam Ulu",KALIMANTAN TIMUR,75767.0,Indonesia,81347473434.0,,,0.548233,115.2073982,https://maps.google.com/?cid=0x0:0x9abec136b109b794,
toko bangunan,Toko bahan makanan,BUMK NGERIMAAN JAYAAQ UJOH BILANG,"JL. POROS, Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur 75767","Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu",KALIMANTAN TIMUR,75767.0,Indonesia,85290862345.0,,,0.5011153,115.2719048,https://maps.google.com/?cid=0x0:0x89ef449b9e925620,
toko bangunan,Toko,Toko Surya,"Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur 75767","Kec. Long Bagun, Mahakam Ulu",KALIMANTAN TIMUR,75767.0,Indonesia,85389010978.0,,,0.5235943,115.2400045,https://maps.google.com/?cid=0x0:0x19295e50193420e8,
toko bangunan,toko bangunan,Kalimantan Timur 75779,"Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,0.2034371,114.9991464,https://maps.google.com/?cid=0x0:0x91d6ed1ceac71e17,
toko bangunan,Toko Ponsel,"CV. ANUGRAH SUKSES (Toko Bangunan, Sembako, Konter Hp dan Laptop, BRILINK)","Depan tower, Long Melaham, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur 75779","Long Melaham, Kec. Long Bagun, Mahakam Ulu",KALIMANTAN TIMUR,75779.0,Indonesia,85341804057.0,,,0.4479404,115.2805113,https://maps.google.com/?cid=0x0:0xa751ee7e5ed6af2e,
toko bangunan,Toko Bahan Bangunan,Toko bata merah,"F747+76, Long Melaham, Kec. Long Bagun, Kabupaten Kutai Barat, Kalimantan Timur 75779","Long Melaham, Kec. Long Bagun, Kabupaten Kutai Barat",KALIMANTAN TIMUR,75779.0,Indonesia,82157188821.0,,,0.4556924,115.2630189,https://maps.google.com/?cid=0x0:0x28b171f990eef9f4,
toko bangunan,Toko,Toko Marselina F2 Sparepart  Bahan Bangunan,"5G79+2W RT.08, Memahak Teboq, Kec. Long Hubung, Mahakam Ulu, Kalimantan Timur 75766","Memahak Teboq, Kec. Long Hubung, Mahakam Ulu",KALIMANTAN TIMUR,75766.0,Indonesia,,,,0.1624802,115.5198518,https://maps.google.com/?cid=0x0:0x585312e7a90333a8,
toko bangunan,toko bangunan,Toko pasir dan batu,"CCX3+FW, Long Merah, Kec. Long Bagun, Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,85390938310.0,,,0.4492691,115.4045822,https://maps.google.com/?cid=0x0:0xcf4e1bd2ea9440d4,
toko bangunan,toko bangunan,Toko FAIZ JAYA,"66C7+23C, Danum Paroy, Laham, Mahakam Ulu, Kalimantan Timur","Mahakam Ulu, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,0.2200591,115.2126293,https://maps.google.com/?cid=0x0:0xe8a5eb9a8bc945b0,
