Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Timur 76285,"Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.4657049,116.4665975,https://maps.google.com/?cid=0x0:0x5943ae3383f3a6bc,
komplek housing,Pembangunan Perumahan,Rumah haikal,"FGGF+J85, Babulu Laut, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.5234964,116.5233485,https://maps.google.com/?cid=0x0:0xae9811d5715c3566,
komplek housing,Pembangunan Perumahan,Bumi Babulu Berkah,"GC2C+XW, Rintik, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.4975461,116.4223173,https://maps.google.com/?cid=0x0:0x65f9511c11316a7d,
komplek housing,Komplek perumahan,Wadah BARNO,"FCRH+698, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia, 085754994018,,,-1.5094514,116.4284522,https://maps.google.com/?cid=0x0:0xe84eb4deb5d419bd,
komplek housing,Komplek perumahan,Rumah H Mansyah I,"FFV2+68J, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5069205,116.4507602,https://maps.google.com/?cid=0x0:0x21df89a230cc5fcf,
komplek housing,Pembangunan Perumahan,"Kecamatan babulu, babulu laut","FG87+79, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.5343125,116.5134047,https://maps.google.com/?cid=0x0:0x841212372778ffa8,
komplek housing,Pembangunan Perumahan,Rumah kabul,"FCRX+XF7, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5087058,116.4495045,https://maps.google.com/?cid=0x0:0xd84205b466a0ddef,
komplek housing,Komplek perumahan,Gang barokah,"FGG8+M56, Babulu Laut, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.5233826,116.5153386,https://maps.google.com/?cid=0x0:0x185b6e448e5acd41,
komplek housing,Komplek perumahan,Rumah Mas Yusuf,"FCMC+8F4, Gn. Makmur, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Gn. Makmur, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5166851,116.4209229,https://maps.google.com/?cid=0x0:0x795f75f557edce8,
komplek housing,komplek housing,"Gg,DAMAI","GC3X+FH2, RT.,28, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","RT.,28, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.4963723,116.4488954,https://maps.google.com/?cid=0x0:0x7a30ff52fd4eb87c,
komplek housing,Komplek perumahan,P.NAILA,"F9XR+XXJ, Rintik, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Rintik, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5000401,116.3923811,https://maps.google.com/?cid=0x0:0x3302ad1b9bf95770,
komplek housing,Komplek perumahan,Rumah firru,"Jl. Propinsi Km.58 Babulu Rintik Babulu Kabupaten/Kota:, Rintik, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Rintik, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.4994035,116.3964663,https://maps.google.com/?cid=0x0:0xc7659b84f8f31888,
komplek housing,komplek housing,Edy,"GGJ9+P4V, Labangka, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.468126,116.517799,https://maps.google.com/?cid=0x0:0x1634949237dbfe98,
komplek housing,Komplek perumahan,Kebun Alima,"FCJC+CJF, Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.5189418,116.4215532,https://maps.google.com/?cid=0x0:0x548678e27cd11d4,
komplek housing,Pembangunan Perumahan,Kredit babulu atas nama agus budiono,"CCVR+JG9, Unnamed Road, Sri Raharja, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76283","Unnamed Road, Sri Raharja, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76283.0,Indonesia,,,,-1.5559712,116.4413574,https://maps.google.com/?cid=0x0:0x2e9e2407c9431d68,
komplek housing,komplek housing,Lala aqila home,"GGG9+7M5, Labangka, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.4743518,116.5192403,https://maps.google.com/?cid=0x0:0x5d3cb297b9881630,
komplek housing,Komplek perumahan,Rumah pak jum,"Jl. Baiturrohmah No.16, Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5168701,116.4199251,https://maps.google.com/?cid=0x0:0x3c393382a064c5fc,
komplek housing,Pembangunan Perumahan,Rahim walet,"FFPG+G8W, Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Babulu Darat, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5139995,116.475872,https://maps.google.com/?cid=0x0:0x5cf737c9b502a1fe,
komplek housing,Komplek perumahan,Rumah tisha,"FF75+C8, Gn. Intan, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur","Kabupaten Penajam Paser Utara, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.5363927,116.4583102,https://maps.google.com/?cid=0x0:0xdf7999f6868ed737,
komplek housing,Pembangunan Perumahan,nadya,"FF68+G8R, Sebakung Jaya, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76285","Sebakung Jaya, Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76285.0,Indonesia,,,,-1.5386353,116.4657555,https://maps.google.com/?cid=0x0:0x679698314dcc5025,
komplek housing,Komplek perumahan,Home Mr Jean,"Sumber Sari, Kec. Babulu, Kabupaten Penajam Paser Utara, Kalimantan Timur 76283","Kec. Babulu, Kabupaten Penajam Paser Utara",KALIMANTAN TIMUR,76283.0,Indonesia,,,,-1.553455,116.4280367,https://maps.google.com/?cid=0x0:0x1211e935b2b2a6b2,
