Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kalimantan Timur 76116,"Kota Balikpapan, Kalimantan Timur","Kota Balikpapan, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,,,,-1.2267547,116.9263671,https://maps.google.com/?cid=0x0:0x1c00c5eb6016bb50,
hotel,hotel,Grand Tjokro Balikpapan,"Jl. Marsma R. Iswahyudi No.21 RT.003, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115","Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan",KALIMANTAN TIMUR,76115.0,Indonesia,5428521111.0,,,-1.2625001,116.8936274,https://maps.google.com/?cid=0x0:0x650adb9ba72daccd,
hotel,hotel,Horison Ultima Bandara Balikpapan,"Jl. Marsma R. Iswahyudi, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115","Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan",KALIMANTAN TIMUR,76115.0,Indonesia,5427571260.0,,,-1.2598031,116.902135,https://maps.google.com/?cid=0x0:0x344d7d8d3f27291,
hotel,hotel,Four Points by Sheraton Balikpapan,"Jl. Pelita No.19, Sepinggan Raya, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115","Sepinggan Raya, Kecamatan Balikpapan Selatan, Kota Balikpapan",KALIMANTAN TIMUR,76115.0,Indonesia,5428525888.0,,,-1.2565799,116.9000525,https://maps.google.com/?cid=0x0:0xd63a8df8982f5a17,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xd63a8df8982f5a17%7C/g/11f383t3v9%7Cen-ID,
hotel,hotel,Hotel Royal Suite 0838-2791-7178,"Royal Suite Hotel Balikpapan, Jl. Syarifuddin Yoes No.125, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115","Jl. Syarifuddin Yoes No.125, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan",KALIMANTAN TIMUR,76115.0,Indonesia,85245966001.0,,,-1.254371,116.9002063,https://maps.google.com/?cid=0x0:0x869ddea7875ad533,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x869ddea7875ad533%7C/g/11c5_2p5fj%7Cen-ID,
hotel,hotel,Platinum Hotel  Convention Hall Balikpapan,"Jl. Soekarno Hatta No.28, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76126","Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan",KALIMANTAN TIMUR,76126.0,Indonesia,5428830228.0,,,-1.2126622,116.8613741,https://maps.google.com/?cid=0x0:0xcf220e4d9c10f619,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xcf220e4d9c10f619%7C/g/11b6p30y83%7Cen-ID,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x2e1413d9ddd9ecd6%7C/g/120p4f_d%7Cen-ID,
hotel,Gereja,GBI ROCK Balikpapan Balcony,"Jl. Jenderal Sudirman No.7 Lantai 2 No 6B, Pasar Baru, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76112","Pasar Baru, Kec. Balikpapan Kota, Kota Balikpapan",KALIMANTAN TIMUR,76112.0,Indonesia,8115413611.0,,,-1.2776048,116.841762,https://maps.google.com/?cid=0x0:0x1bec0982a37e3080,
hotel,hotel,Swiss-Belhotel Balikpapan,"PRCR+FG5 Ocean Square, Jl. Jenderal Sudirman, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur","Kota Balikpapan, Kalimantan Timur",KALIMANTAN TIMUR,,Indonesia,5427582800.0,,,-1.2785328,116.8412361,https://maps.google.com/?cid=0x0:0x47e246682320930f,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x47e246682320930f%7C/g/1jkz6x0vj%7Cen-ID,
hotel,hotel,Hotel Novotel Balikpapan,"Jl. Brigjen Ery Suparjan No.2, Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76112","Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan",KALIMANTAN TIMUR,76112.0,Indonesia,542820820.0,,,-1.2755682,116.8347997,https://maps.google.com/?cid=0x0:0x2e1413d9ddd9ecd6,
hotel,hotel,Swiss-Belinn Balikpapan,"Sudirman Square, Jl. Jenderal Sudirman No.345, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114","Jl. Jenderal Sudirman No.345, Damai, Kec. Balikpapan Kota, Kota Balikpapan",KALIMANTAN TIMUR,76114.0,Indonesia,542746180.0,,,-1.2712081,116.8528356,https://maps.google.com/?cid=0x0:0xc36ebdd5aa3001a7,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc36ebdd5aa3001a7%7C/g/12hsf09wm%7Cen-ID,
hotel,hotel,Hotel Zurich Balikpapan,"Jl. Jenderal Sudirman No.81, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114","Damai, Kec. Balikpapan Kota, Kota Balikpapan",KALIMANTAN TIMUR,76114.0,Indonesia,542760808.0,,,-1.269597,116.858841,https://maps.google.com/?cid=0x0:0x1915c6d1e15ee2d1,
hotel,hotel,La Casa Borneo,"Jl. Mulawarman No.Km 16, RT.001/RW.Batakan, Manggar, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76116","RT.001/RW.Batakan, Manggar, Kecamatan Balikpapan Selatan, Kota Balikpapan",KALIMANTAN TIMUR,76116.0,Indonesia,542762576.0,,,-1.25172,116.931094,https://maps.google.com/?cid=0x0:0x43b139190212fc11,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x1915c6d1e15ee2d1%7C/g/1wgfmfnp%7Cen-ID,
hotel,hotel,Nines Residence Balikpapan,"Jl Marsma R Iswayudi, Gg. Wiyata IV No.58, Sepinggan, Kota Balikpapan, Kalimantan Timur 76115","Gg. Wiyata IV No.58, Sepinggan, Kota Balikpapan",KALIMANTAN TIMUR,76115.0,Indonesia,8119198922.0,,,-1.2595883,116.9086683,https://maps.google.com/?cid=0x0:0x700cb3fe1674be0,
hotel,hotel,Blue Sky Hotel,"Jl. Letjen Suprapto No.1, Marga Sari, Kec. Balikpapan Bar., Kota Balikpapan, Kalimantan Timur 76123","Marga Sari, Kec. Balikpapan Bar., Kota Balikpapan",KALIMANTAN TIMUR,76123.0,Indonesia,542735845.0,,,-1.238261,116.8275486,https://maps.google.com/?cid=0x0:0xb6cd90d9eb4023bc,
hotel,hotel,,,,KALIMANTAN TIMUR,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xb6cd90d9eb4023bc%7C/g/1thkntb5%7Cen-ID,
