Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Angkinang Sel.,"Kec. Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan","Kabupaten Hulu Sungai Selatan, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.7345179,115.2882035,https://maps.google.com/?cid=0x0:0x9634dedd81c4a919,
hotel,hotel,RedDoorz Syariah Near Lapangan Dwiwarna Barabai,"Jalan Lorong NU, Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71311","Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71311.0,Indonesia, 082154665501,,,-2.5853504,115.3832115,https://maps.google.com/?cid=0x0:0x429770a57f20b4b6,
hotel,hotel,RedDoorz Syariah Near Tugu Dodol Kandangan,"Jl. Merah Johansyah No.23, Kandangan Kota, Kec. Kandangan, Banjarbaru, Kalimantan Selatan 71217","Kandangan Kota, Kec. Kandangan, Banjarbaru",KALIMANTAN SELATAN,71217.0,Indonesia, 0895417300072,,,-2.7852139,115.2670509,https://maps.google.com/?cid=0x0:0xbe83473cae679a91,
hotel,hotel,Penginapan Qianna Kandangan,"Jl. Jend. Sudirman No.63, Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213","Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71213.0,Indonesia, 05172032321,,,-2.7938663,115.2627648,https://maps.google.com/?cid=0x0:0x3eb8226beffe5a0a,
hotel,hotel,Hotel Wisma Duta Kandangan,"Jl. Pemuda No.9, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71217","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71217.0,Indonesia, 051721073,,,-2.7847807,115.2656991,https://maps.google.com/?cid=0x0:0x51f26f10aeb6e6f4,
hotel,hotel,Medina Guest House Syariah,"Gambah Dalam, Jl. Merah Johansyah No.26, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71217","Jl. Merah Johansyah No.26, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71217.0,Indonesia, 051721219,,,-2.7852287,115.2670345,https://maps.google.com/?cid=0x0:0xfdc0cbf8475843f6,
hotel,hotel,Hotel Mutia Kandangan,"Jalan Letjen Suprapto No.70, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71213.0,Indonesia, 051721270,,,-2.7857672,115.26775,https://maps.google.com/?cid=0x0:0x813c5ded93de1d71,
hotel,hotel,Hotel Qianna Inn Barabai,"Barabai Bar., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia, 085251009678,,,-2.5898754,115.3807428,https://maps.google.com/?cid=0x0:0x6f5f17607688f334,
hotel,hotel,Sudut Indah Hotel,"Jl. Murakata No.78, Bukat, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","Bukat, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia, 081257728235,,,-2.5887001,115.3741841,https://maps.google.com/?cid=0x0:0x587796981ab398d0,
hotel,hotel,Penginapan La Tansa Guest House,"Barabai Tim., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia, 085245407755,,,-2.5828548,115.3848882,https://maps.google.com/?cid=0x0:0xc409f2d754dcbe43,
hotel,hotel,Hotel Bhima Barabai,"Jl. Lorong Nu, Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71311","Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71311.0,Indonesia, 051741171,,,-2.5852177,115.3833058,https://maps.google.com/?cid=0x0:0xc96d838e381974c7,
hotel,hotel,Alif Guest House Balangan,"Jl. A. Yani Rica, Paringin Timur, Bungin, Paringin Selatan, Balangan Regency, South Kalimantan 71611","Paringin Timur, Bungin, Paringin Selatan, Balangan Regency",KALIMANTAN SELATAN,71611.0,Indonesia, 081351467788,,,-2.3306875,115.4630625,https://maps.google.com/?cid=0x0:0x89a045591b5d3216,
hotel,hotel,Kalimantan Selatan 71252,"Kec. Daha Sel., Kabupaten Hulu Sungai Selatan, Kalimantan Selatan","Kabupaten Hulu Sungai Selatan, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.7155991,115.0703229,https://maps.google.com/?cid=0x0:0x293680941925eca5,
hotel,hotel,Hotel Qianna Inn Barabai,"Barabai Bar., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia, 085251009678,,,-2.5898754,115.3807428,https://maps.google.com/?cid=0x0:0x6f5f17607688f334,
hotel,hotel,Penginapan Qianna Kandangan,"Jl. Jend. Sudirman No.63, Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213","Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71213.0,Indonesia, 05172032321,,,-2.7938663,115.2627648,https://maps.google.com/?cid=0x0:0x3eb8226beffe5a0a,
hotel,hotel,Hotel Wisma Duta Kandangan,"Jl. Pemuda No.9, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71217","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71217.0,Indonesia, 051721073,,,-2.7847807,115.2656991,https://maps.google.com/?cid=0x0:0x51f26f10aeb6e6f4,
hotel,hotel,Hotel Mutia Kandangan,"Jalan Letjen Suprapto No.70, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71213.0,Indonesia, 051721270,,,-2.7857672,115.26775,https://maps.google.com/?cid=0x0:0x813c5ded93de1d71,
hotel,hotel,,,,KALIMANTAN SELATAN,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x868b606ecda0bbc5%7C/g/11bttp4lyj%7Cen-ID,
hotel,hotel,Madani Hotel,"C9FR+RQM, Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia, 051744005,,,-2.5754222,115.3919226,https://maps.google.com/?cid=0x0:0x868b606ecda0bbc5,
hotel,hotel,RedDoorz Syariah Near Tugu Dodol Kandangan,"Jl. Merah Johansyah No.23, Kandangan Kota, Kec. Kandangan, Banjarbaru, Kalimantan Selatan 71217","Kandangan Kota, Kec. Kandangan, Banjarbaru",KALIMANTAN SELATAN,71217.0,Indonesia, 0895417300072,,,-2.7852139,115.2670509,https://maps.google.com/?cid=0x0:0xbe83473cae679a91,
