Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,toko bangunan,Angkinang Sel.,"Kec. Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan","Kabupaten Hulu Sungai Selatan, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.7345179,115.2882035,https://maps.google.com/?cid=0x0:0x9634dedd81c4a919,
toko bangunan,Toko Perlengkapan Rumah,Toko Bangunan Madavi,"774J+697, Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71291","Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71291.0,Indonesia,,,,-2.7444609,115.2809091,https://maps.google.com/?cid=0x0:0xaeec67e05df554b6,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Ina,"673M+79G, Jambu Hilir, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71211","Jambu Hilir, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71211.0,Indonesia, 081385661699,,,-2.7968061,115.2834616,https://maps.google.com/?cid=0x0:0x95de7f7299633166,
toko bangunan,Toko Bahan Bangunan,Tb. Jarkasi,"773J+FFF, Jl. Ahmad Yani, Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71291","Jl. Ahmad Yani, Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71291.0,Indonesia,,,,-2.7463133,115.281161,https://maps.google.com/?cid=0x0:0x97cef61a2130aa5c,
toko bangunan,Toko Bahan Bangunan,Tb. Hidayah,"778J+J37, Jl. Ahmad Yani, Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71291","Jl. Ahmad Yani, Bakarung, Kec. Angkinang, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71291.0,Indonesia,,,,-2.7334651,115.2801686,https://maps.google.com/?cid=0x0:0x39aa5691d8b06bab,
toko bangunan,Toko Bahan Bangunan,ULIN UTAMA.TB,"6779+RXQ, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71213.0,Indonesia,,,,-2.7854131,115.2699771,https://maps.google.com/?cid=0x0:0xbb6380fc743cad35,
toko bangunan,Toko Perlengkapan Rumah,Toko Bangunan Naufal,"7725+2FW, Gambah Dalam Bar., Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71217","Gambah Dalam Bar., Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71217.0,Indonesia,,,,-2.7498908,115.258712,https://maps.google.com/?cid=0x0:0xcc7fe07817bc5ba4,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Kautsar,"Jl. Biluy Indah, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71215","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71215.0,Indonesia, 082129118405,,,-2.7824597,115.2750879,https://maps.google.com/?cid=0x0:0xcef4394e76adb0e9,
toko bangunan,Toko Perlengkapan Rumah,Toko Bangunan Rabbina,"Jl. Baluti No.12, RT.6/RW.7, Baluti, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71214","RT.6/RW.7, Baluti, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71214.0,Indonesia,,,,-2.7972324,115.2675375,https://maps.google.com/?cid=0x0:0x1fe78f46fe7d792f,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Rita Jaya,"6779+CF8, Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71211","Kandangan Kota, Kec. Kandangan, Kabupaten Hulu Sungai Selatan",KALIMANTAN SELATAN,71211.0,Indonesia, 081385661699,,,-2.7864582,115.2686899,https://maps.google.com/?cid=0x0:0xf3916c7284a83d99,
