Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,toko bangunan,Kalimantan Selatan 71311,"Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan","Kabupaten Hulu Sungai Tengah, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.5852282,115.4007895,https://maps.google.com/?cid=0x0:0xae5b388bfe1daf8b,
toko bangunan,Toko Bahan Bangunan,Toko Sahabat Barabai,"Jl. M. Ramli, Barabai Darat, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","Barabai Darat, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia,82154197501.0,,,-2.5928275,115.3849778,https://maps.google.com/?cid=0x0:0x487746f7550b8aad,
toko bangunan,Toko Bahan Bangunan,TOKO HUSNA,"Jl. Surapati No.42, RT.002/RW.005, Barabai Tim., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","RT.002/RW.005, Barabai Tim., Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia,821533228455.0,,,-2.5676016,115.3869127,https://maps.google.com/?cid=0x0:0x32aefeb2a652368b,
toko bangunan,Toko Bahan Bangunan,TB Cahaya Baru,"C99P+Q99, Jl. Surapati, Barabai Tim., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","Jl. Surapati, Barabai Tim., Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia,85169981293.0,,,-2.5805883,115.3859793,https://maps.google.com/?cid=0x0:0x1d69a2690d43e67b,
toko bangunan,Toko Bahan Bangunan,TOKO UD. WAWAN Jual Kayu  Bahan Bangunan,"Jl. Perintis Kemerdekaan No.RT. 04, RT.No.20/RW.01, Benawa Tengah, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71313","RT.No.20/RW.01, Benawa Tengah, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71313.0,Indonesia,8161999912.0,,,-2.5905148,115.388556,https://maps.google.com/?cid=0x0:0x85ad45d69b4ca13d,
toko bangunan,Toko Perlengkapan Rumah,Toko Bangunan,"Jl. A. Yani, Matang Ginalun, Kec. Pandawan, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","Matang Ginalun, Kec. Pandawan, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia,8161999912.0,,,-2.5866557,115.3759065,https://maps.google.com/?cid=0x0:0xf79511cc081343d5,
toko bangunan,Toko Bahan Bangunan,Al Zami Toko,"JL. Pasar Baru No.40, Banua Binjai, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71311","Banua Binjai, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71311.0,Indonesia,51743157.0,,,-2.579949,115.379702,https://maps.google.com/?cid=0x0:0x1ea10fd4adbbde31,
toko bangunan,Toko Bahan Bangunan,Toko Berkat Bersama,"Jl. Ps. Baru 15 No.16, Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71311","Barabai Sel., Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71311.0,Indonesia,51743659.0,,,-2.5867237,115.3825616,https://maps.google.com/?cid=0x0:0xbb7a27d2352c14c0,
toko bangunan,Toko Bahan Bangunan,UD Daha putra barabai,"JL. Pajukungan Simpang 3, RT. 3 RW. 2, Pajukungan, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352","RT. 3 RW. 2, Pajukungan, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71352.0,Indonesia,82153005577.0,,,-2.5998607,115.3541399,https://maps.google.com/?cid=0x0:0xf518912599d6c7a7,
toko bangunan,Toko Bahan Bangunan,Ayi Alkaff. CV,"JL. Hasan Basri No.10, RT.15, Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","RT.15, Mandingin, Kec. Barabai, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia,51743098.0,,,-2.5756573,115.3915751,https://maps.google.com/?cid=0x0:0xc337a9228b184666,
toko bangunan,Toko Bahan Bangunan,Muis Batako,"CC74+3M4, Aluan Besar, Kec. Batu Benawa, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71315","Aluan Besar, Kec. Batu Benawa, Kabupaten Hulu Sungai Tengah",KALIMANTAN SELATAN,71315.0,Indonesia,81934669603.0,,,-2.5941016,115.409545,https://maps.google.com/?cid=0x0:0xc47ecbbd9bb950e1,
