Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Selatan 72163,"Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.7532149,115.8048521,https://maps.google.com/?cid=0x0:0x84f065fdb7c07e46,
komplek housing,Komplek perumahan,Rumah Pam Pam Al-Hampangiyy,"3RJJ+67H, Hampang, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan 72163","Hampang, Kec. Hampang, Kab. Kotabaru",KALIMANTAN SELATAN,72163.0,Indonesia,,,,-2.919554,115.831484,https://maps.google.com/?cid=0x0:0x75b6126f8cb25510,
komplek housing,Komplek perumahan,Kompleks Perumahan Staff MDLE,"XRP7+434, Cantung Kiri Hulu, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan 72162","Cantung Kiri Hulu, Kec. Hampang, Kab. Kotabaru",KALIMANTAN SELATAN,72162.0,Indonesia,,,,-3.0147295,115.8127058,https://maps.google.com/?cid=0x0:0x4354f62d714932c1,
komplek housing,Kantor Perusahaan,Perumahan PT.Suryabumi Tunggal Perkasa Pondok 2 MDLE,"XRQ8+G6G, Cantung Kiri Hulu, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan 72162","Cantung Kiri Hulu, Kec. Hampang, Kab. Kotabaru",KALIMANTAN SELATAN,72162.0,Indonesia,,,,-3.0111862,115.8155717,https://maps.google.com/?cid=0x0:0xf842a1935648c880,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah idut.sarjono,"3RH8+V8, Hampang, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.92006,115.8163664,https://maps.google.com/?cid=0x0:0xad0e9754fdfaa708,
komplek housing,Kantor Pemerintah,Mess Kecamatan Hampang,"3RHQ+H6Q, Unnamed Road, Hampang, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan 72163","Unnamed Road, Hampang, Kec. Hampang, Kab. Kotabaru",KALIMANTAN SELATAN,72163.0,Indonesia,,,,-2.9210371,115.8381198,https://maps.google.com/?cid=0x0:0xac7213bf28b2d1bd,
komplek housing,Pembangunan Perumahan,Samarinda,"2R38+4M7, Lalapin, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.9972149,115.816684,https://maps.google.com/?cid=0x0:0x2223d7661756dd25,
komplek housing,Komplek perumahan,Rumah ayang,"2V29+XV6, Limbungan, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan 72162","Limbungan, Kec. Hampang, Kab. Kotabaru",KALIMANTAN SELATAN,72162.0,Indonesia,,,,-2.99758,115.869972,https://maps.google.com/?cid=0x0:0x718a3f127d86a698,
komplek housing,Perhimpunan Pengembang Perumahan,Padidiw Home,"3RJ2+244, Hampang, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.9197821,115.8003563,https://maps.google.com/?cid=0x0:0xd4eba02810023564,
komplek housing,Area Rekreasi Alam,Pertigaan Arah ke Malangkayan di Kamboyan,"2R3C+8V, Lalapin, Kec. Hampang, Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.9966884,115.8221646,https://maps.google.com/?cid=0x0:0x3ef0f1f2f81c37b,
