Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kalimantan Selatan 71553,"Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.306679,115.2244853,https://maps.google.com/?cid=0x0:0xc003bd3229078f9,
mall,Pusat Perbelanjaan,Rahmadiansyah,"M7P6+84G, Unnamed Road, Banua Lawas, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","Unnamed Road, Banua Lawas, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia, 082157706639,,,-2.3141841,115.2603213,https://maps.google.com/?cid=0x0:0x6f39d20b21a03d1e,
mall,Pusat Perbelanjaan,anang aulia rahman,"M748+2W4, Bungin, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","Bungin, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia, 082199884534,,,-2.3449925,115.2673373,https://maps.google.com/?cid=0x0:0x14e0d54493ebc95,
mall,Toko,Ulpaholshop,"M78R+MM9, Hariang, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71554","Hariang, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71554.0,Indonesia,,,,-2.333348,115.2917443,https://maps.google.com/?cid=0x0:0x3a03a0b059687c5c,
mall,Tujuan Wisata,Pasar Senin Pematang,"M75V+R4G, Pematang, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71554","Pematang, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71554.0,Indonesia,,,,-2.3404358,115.2928202,https://maps.google.com/?cid=0x0:0xeaf14ee91321a7d0,
mall,Dealer Motor Bekas,Surum Motor,"M76W+9QH, Hariang, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71554","Hariang, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71554.0,Indonesia, 081349677694,,,-2.3390667,115.2969931,https://maps.google.com/?cid=0x0:0xc97a09c69f6acd08,
mall,mall,Kalimantan Selatan 72167,"Kab. Kotabaru, Kalimantan Selatan","Kab. Kotabaru, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.6049257,115.9940986,https://maps.google.com/?cid=0x0:0x116a1de9028ec76e,
mall,Pusat Perbelanjaan,Pasar sampanahan,"959P+6VP, Sampanahan, Kec. Sampanahan, Kab. Kotabaru, Kalimantan Selatan 72166","Sampanahan, Kec. Sampanahan, Kab. Kotabaru",KALIMANTAN SELATAN,72166.0,Indonesia,,,,-2.6319189,116.1871927,https://maps.google.com/?cid=0x0:0xf4fa48fb778672f7,
mall,Komplek perumahan,Borneo Class Farm,"GW2W+8W8, Jl. Jenderal Sudirman, Buluh Kuning, Kec. Sungai Durian, Kab. Kotabaru, Kalimantan Selatan 72167","Jl. Jenderal Sudirman, Buluh Kuning, Kec. Sungai Durian, Kab. Kotabaru",KALIMANTAN SELATAN,72167.0,Indonesia,,,,-2.4992036,115.9473253,https://maps.google.com/?cid=0x0:0xae4f2afabb4de4b2,
mall,Pusat Perbelanjaan,Toko accesories dan peralatan lain nya,"83P9+JMH, Magalau Hulu, Kec. Kelumpang Bar., Kab. Kotabaru, Kalimantan Selatan 72167","Magalau Hulu, Kec. Kelumpang Bar., Kab. Kotabaru",KALIMANTAN SELATAN,72167.0,Indonesia,,,,-2.6634384,116.0692414,https://maps.google.com/?cid=0x0:0xc93e8443b062f4c3,
mall,Pasar,PASAR RABU SUKAMAJU,"85PP+CMJ, Sukamaju, Kec. Sampanahan, Kab. Kotabaru, Kalimantan Selatan 72166","Sukamaju, Kec. Sampanahan, Kab. Kotabaru",KALIMANTAN SELATAN,72166.0,Indonesia, 083144332841,,,-2.6639203,116.1866534,https://maps.google.com/?cid=0x0:0xcd45746122a7f8ac,
mall,Kantor Catatan Sipil,Mal Pelayanan Publik Kab. Tabalong,"RCG9+V57, Jl. Pelita, Mabuun, Kec. Murung Pudak, Kabupaten Tabalong, Kalimantan Selatan 71571","Jl. Pelita, Mabuun, Kec. Murung Pudak, Kabupaten Tabalong",KALIMANTAN SELATAN,71571.0,Indonesia,,,,-2.1728259,115.4179108,https://maps.google.com/?cid=0x0:0xf4e65ca5b766c2f8,
mall,Pusat Perbelanjaan,Lapak jul@k's (sarada),"953M+MR8, Unnamed Road, Sampanahan, Kec. Sampanahan, Kab. Kotabaru, Kalimantan Selatan 72167","Unnamed Road, Sampanahan, Kec. Sampanahan, Kab. Kotabaru",KALIMANTAN SELATAN,72167.0,Indonesia, 081250765988,,,-2.6458341,116.1845799,https://maps.google.com/?cid=0x0:0x9da5ec712abca017,
mall,Toko Swalayan,TOKO AKBAR CELL,"Sampanahan, Kec. Sampanahan, Kab. Kotabaru, Kalimantan Selatan 72166","Kec. Sampanahan, Kab. Kotabaru",KALIMANTAN SELATAN,72166.0,Indonesia,,,,-2.632748,116.186946,https://maps.google.com/?cid=0x0:0x924bfc12f89bd864,
mall,Toko Swalayan,TOKO LAILA,"85PP+9W3, Sukamaju, Kec. Sampanahan, Kab. Kotabaru, Kalimantan Selatan 72166","Sukamaju, Kec. Sampanahan, Kab. Kotabaru",KALIMANTAN SELATAN,72166.0,Indonesia, 085787678972,,,-2.6645372,116.187401,https://maps.google.com/?cid=0x0:0xba7d6fd8bc43bd8a,
