Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Selatan 71553,"Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.306679,115.2244853,https://maps.google.com/?cid=0x0:0xc003bd3229078f9,
komplek housing,Pembangunan Perumahan,Amat Rahman,"P786+4GW, Unnamed Road, Habau Hulu, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Unnamed Road, Habau Hulu, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.2846261,115.261338,https://maps.google.com/?cid=0x0:0x667da5b25090ce57,
komplek housing,komplek housing,Narain,"M72C+XQV, Batang Banyu, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","Batang Banyu, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia,,,,-2.3475103,115.2719148,https://maps.google.com/?cid=0x0:0x7d2ba832f1bf9cea,
komplek housing,Perumahan,H.Anang,"M722+X9X, RT.O2, Hapalah, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","RT.O2, Hapalah, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia,,,,-2.347497,115.2509102,https://maps.google.com/?cid=0x0:0x5b6946bb37595250,
komplek housing,Perhimpunan Pengembang Perumahan,Kalua,"P7G6+VP, Purai, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.2727543,115.2618629,https://maps.google.com/?cid=0x0:0x9e1b30eb957e5471,
komplek housing,Komplek perumahan,Husnul Arifin,"M7HG+XM4, Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.3201279,115.2766717,https://maps.google.com/?cid=0x0:0x3ba1276984d3afcc,
komplek housing,Pembangunan Perumahan,Yusran Home,"M7MM+GQW, Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.3162563,115.2843184,https://maps.google.com/?cid=0x0:0xe08d3e1dc5082bae,
komplek housing,Komplek perumahan,Kolam Patin Komplek Melati Berkah,"J7WC+H5M, Batang Banyu, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71471","Batang Banyu, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71471.0,Indonesia,,,,-2.3542738,115.2709563,https://maps.google.com/?cid=0x0:0x9f0e2a6598f1c238,
komplek housing,Pembangunan Perumahan,Rumah busu,"P747+QQR, Habau, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.2932763,115.2643976,https://maps.google.com/?cid=0x0:0x8f28348dffe69347,
komplek housing,Komplek perumahan,Ayum tanjung,"P7FG+C8F, Purai, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Purai, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.2764461,115.2758057,https://maps.google.com/?cid=0x0:0x2158e663bbd2f122,
komplek housing,Pembangunan Perumahan,Rumah Ridhani,"J6XX+596, Hapalah, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","Hapalah, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia,,,,-2.3520792,115.2483892,https://maps.google.com/?cid=0x0:0xfa6692daa3c747dd,
komplek housing,komplek housing,Nor slina,"M6RQ+GPV RT 2, Bangkiling, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71553","Bangkiling, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71553.0,Indonesia,,,,-2.3086398,115.2393046,https://maps.google.com/?cid=0x0:0x514d2d15076dd5b2,
komplek housing,Komplek perumahan,Hasan tailor,"M7FR+GW3, Hariang, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71554","Hariang, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71554.0,Indonesia,,,,-2.3262882,115.2922752,https://maps.google.com/?cid=0x0:0x26b3627af03b264b,
komplek housing,Perhimpunan Pengembang Perumahan,Poskesdes bungin,"M77G+98R, Bungin, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71554","Bungin, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71554.0,Indonesia,,,,-2.3366062,115.2757787,https://maps.google.com/?cid=0x0:0x98a8d6c93a75a856,
komplek housing,komplek housing,Rumah umar,"P7Q8+6M2, Talan, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Talan, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.2619826,115.2666382,https://maps.google.com/?cid=0x0:0x470695e8c66bd057,
komplek housing,komplek housing,Jainuddin broiler,"M7FR+HVR, Hariang, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.3260298,115.2921182,https://maps.google.com/?cid=0x0:0xd5d533773fc03561,
komplek housing,Pembangunan Perumahan,Perumahan Mahabbah,"Q77C+7V9, Jl. Kelua - Ps. Panas, Karangan Putih, Kec. Kelua, Kabupaten Tabalong, Kalimantan Selatan 71552","Jl. Kelua - Ps. Panas, Karangan Putih, Kec. Kelua, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.2368288,115.2722196,https://maps.google.com/?cid=0x0:0x8fe3036f03a88a59,
komplek housing,,Rumah Habibi,"P7P8+G72, Talan, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Talan, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.263737,115.2656399,https://maps.google.com/?cid=0x0:0xeea652d92682bbcf,
komplek housing,Komplek perumahan,Penjahit Farhan Tailor,"1 Rt.03 Jl. Sei Rukam 1 No.28, Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong, Kalimantan Selatan 71552","Sungai Anyar, Kec. Banua Lawas, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.3137211,115.2922834,https://maps.google.com/?cid=0x0:0x9b09a9d46bdfbdfb,
komplek housing,Komplek perumahan,Wadah murji,"J6WX+77H, Tuhuran, Kec. Haur Gading, Kabupaten Hulu Sungai Utara, Kalimantan Selatan","Kabupaten Hulu Sungai Utara, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.3543233,115.2482205,https://maps.google.com/?cid=0x0:0x6b813ce23e5aec46,
komplek housing,Komplek perumahan,5TL GARAGE,"M7QX+3VH, Sungai Rukam II, Kec. Pugaan, Kabupaten Tabalong, Kalimantan Selatan","Kabupaten Tabalong, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-2.312319,115.2997253,https://maps.google.com/?cid=0x0:0x3d2b7448c1a9089c,
komplek housing,komplek housing,Rumah Saipullah,"P7MH+CP8, Bahungin, Kec. Kelua, Kabupaten Tabalong, Kalimantan Selatan 71552","Bahungin, Kec. Kelua, Kabupaten Tabalong",KALIMANTAN SELATAN,71552.0,Indonesia,,,,-2.2664537,115.2795172,https://maps.google.com/?cid=0x0:0x36d081e94bdff4fe,
