Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kec. Angsana,"Kabupaten Tanah Bumbu, Kalimantan Selatan","Kabupaten Tanah Bumbu, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-3.7120658,115.6038295,https://maps.google.com/?cid=0x0:0xeb54579f233bbb40,
hotel,hotel,HOTEL TIRTA ASRI,"7JJ8+2VX, Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,85219896508.0,,,-3.7202209,115.6177585,https://maps.google.com/?cid=0x0:0x21c219c364d5dc9,
hotel,hotel,Ebony Hotel,"G2X2+8P6, Jl. Raya Batulicin, Batulicin, Kec. Batulicin, Kabupaten Tanah Bumbu, Kalimantan Selatan 72273","Jl. Raya Batulicin, Batulicin, Kec. Batulicin, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72273.0,Indonesia,51871475.0,,,-3.4514814,116.0009742,https://maps.google.com/?cid=0x0:0xe783827df39030a,
hotel,hotel,Hotel Satui Adygraha,"Jl. Propinsi No.KM. 168, Sungai Danau, Kec. Satui, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Sungai Danau, Kec. Satui, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,8115317789.0,,,-3.7657366,115.4171432,https://maps.google.com/?cid=0x0:0x2ae52cd72f0bdd15,
hotel,hotel,Home stay willsaning tata asri,"7JHC+7HH, Jl. Batulicin - Pelaihari, Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Jl. Batulicin - Pelaihari, Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,81289345502.0,,,-3.7218065,115.6214918,https://maps.google.com/?cid=0x0:0x4522a1ce8d5df496,
hotel,hotel,Pantai Angsana,"Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan","Kabupaten Tanah Bumbu, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-3.7709309,115.5951221,https://maps.google.com/?cid=0x0:0xcd2bd9049aa15ce9,
hotel,Hotel,KARMILA GUEST HOUSE,"Jalan Propinsi No.KM.189, RT.02, Angsana, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","RT.02, Angsana, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,81349552100.0,,,-3.7016009,115.5620305,https://maps.google.com/?cid=0x0:0x312f04bca2df1b7,
hotel,hotel,Angsana Teluk Bahang Penang,"11, Jalan Teluk Bahang, Teluk Bahang, 11050 Tanjung Bungah, Pulau Pinang, Malaysia",Tanjung Bungah,KALIMANTAN SELATAN,11050.0,Indonesia,6048170888.0,,,5.4615865,100.219383,https://maps.google.com/?cid=0x0:0x61341de0dc010685,
hotel,hotel,,,,KALIMANTAN SELATAN,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x61341de0dc010685%7C/g/11gfgfnz8p%7Cen-ID,
hotel,Tujuan Wisata,Kek Lok Si,"Jln Balik Pulau, 11500 Ayer Itam, Pulau Pinang, Malaysia",Ayer Itam,KALIMANTAN SELATAN,11500.0,Indonesia,6048283317.0,,,5.3996413,100.2736126,https://maps.google.com/?cid=0x0:0x2c9084ea7f433ec4,
