Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,toko bangunan,Kec. Angsana,"Kabupaten Tanah Bumbu, Kalimantan Selatan","Kabupaten Tanah Bumbu, Kalimantan Selatan",KALIMANTAN SELATAN,,Indonesia,,,,-3.7120658,115.6038295,https://maps.google.com/?cid=0x0:0xeb54579f233bbb40,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Pertiwi,"7JQ2+24C, Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,87783141071.0,,,-3.7124325,115.6002534,https://maps.google.com/?cid=0x0:0xa7cb251852933948,
toko bangunan,Toko Bahan Bangunan,TB SUMBER REJEKI ANGSANA (toko bangunan),"Jl. Batulicin - Pelaihari, Angsana, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Angsana, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,82162913486.0,,,-3.7096724,115.5847215,https://maps.google.com/?cid=0x0:0x28cceb773596f26b,
toko bangunan,Toko Bahan Bangunan,TOKO BANGUNAN MAMA LALA,"7HVC+F5F, Angsana, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Angsana, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,,,,-3.7063173,115.5704115,https://maps.google.com/?cid=0x0:0xeb0a6bc468e58874,
toko bangunan,Toko Bahan Bangunan,TB. CAHYA ABADI,"7HQW+H2C, Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,,,,-3.7110604,115.5950115,https://maps.google.com/?cid=0x0:0x42c1b152e35479be,
toko bangunan,Toko Bahan Bangunan,TB.Asnawati,"Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,85245181852.0,,,-3.7136024,115.6044152,https://maps.google.com/?cid=0x0:0x17c4549c491ec66b,
toko bangunan,Toko Perlengkapan Rumah,TB.JAYA MAKMUR ANGSANA,"7HW6+59W, Angsana, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Angsana, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,83843746499.0,,,-3.7040863,115.5608942,https://maps.google.com/?cid=0x0:0x44cd724f87be0218,
toko bangunan,Toko Bahan Bangunan,TB AMARA,"Ds, Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Mekar Jaya, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,81254739083.0,,,-3.7201242,115.6362292,https://maps.google.com/?cid=0x0:0x943936413353579e,
toko bangunan,Toko Bahan Bangunan,TB RIO JAYA (gudang keramik tanbu) Toko bangunan,"jalan propinsi desa karang indah kecamatan angsaba, Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72275","Karang Indah, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72275.0,Indonesia,81346823714.0,,,-3.7140026,115.6060356,https://maps.google.com/?cid=0x0:0xfd48cf6962b7301,
toko bangunan,Toko Bahan Bangunan,TB. ATSA ROSA,"RT.01, Bayan Sari, Kec. Angsana, Kabupaten Tanah Bumbu, Kalimantan Selatan 72276","Bayan Sari, Kec. Angsana, Kabupaten Tanah Bumbu",KALIMANTAN SELATAN,72276.0,Indonesia,85752809930.0,,,-3.6927202,115.599656,https://maps.google.com/?cid=0x0:0x96ad2ba036bc37dc,
