Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sumatera Barat 27355";"Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.6097459";"100.6421799";"https://maps.google.com/?cid=0x0:0x7a08730535108a2b";""
"komplek housing";"Komplek perumahan";"Dangau H. Munaf/Hj. Asnidar";"9JJP+MF9, Sulit Air, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Sulit Air, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6184125";"100.6358053";"https://maps.google.com/?cid=0x0:0x8f72149c66275ad9";""
"komplek housing";"Komplek perumahan";"Kompleks Perumahan Mutiara Santur";"9P2X+PJ3, Jl. H. Yahya Usman, Santur, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27355";"Jl. H. Yahya Usman, Santur, Kec. Barangin, Kota Sawahlunto";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6482405";"100.7490615";"https://maps.google.com/?cid=0x0:0xdf3f5b0485c9a11";""
"komplek housing";"Kantor Perusahaan";"sago";"8M6P+Q9, Sibarambang, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.6877813";"100.6858057";"https://maps.google.com/?cid=0x0:0xccf6794b50bdc816";""
"komplek housing";"Perumahan";"BADANGAU RESIDENCE ALAHAN PANJANG";"BADANGAU RESIDENCE Jl. Baru Sipadiah, Alahan Panjang, Kabupaten Solok, Sumatera Barat 27371";"Alahan Panjang, Kabupaten Solok";"SUMATERA BARAT";"27371";"Indonesia";" 081364689268";"";"";"-1.0700247";"100.7962013";"https://maps.google.com/?cid=0x0:0x8b1cdf0f39b2bac9";""
"komplek housing";"Pembangunan Perumahan";"Gonting";"8MJH+RGM, Labuh Panjang, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Labuh Panjang, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6679068";"100.6787942";"https://maps.google.com/?cid=0x0:0x4c2ac45c9fa82ebf";""
"komplek housing";"Komplek perumahan";"Rumah Nenek";"CM2V+C6P, Jl. Kolok, Sulit Air, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5989016";"100.6930708";"https://maps.google.com/?cid=0x0:0x8b344faa9fd59d22";""
"komplek housing";"Komplek perumahan";"Al yos sawah balai";"7M89+9W7, Kuncir, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27325";"Kuncir, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27325";"Indonesia";"";"";"";"-0.7335326";"100.6694191";"https://maps.google.com/?cid=0x0:0xc95733683025e53";""
"komplek housing";"Komplek perumahan";"MIEFTA ARSYILA TOMPOK";"9JX7+M9R, TOMPOK SULIT AIR, Bukit Kanduang, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.6007524";"100.613391";"https://maps.google.com/?cid=0x0:0xfc0f98839db98d9";""
"komplek housing";"Komplek perumahan";"Perumahan Bukit Mutiara Santur";"9P2V+PQX, Santur, Kec. Barangin, Kota Sawahlunto, Sumatera Barat 27355";"Santur, Kec. Barangin, Kota Sawahlunto";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6481279";"100.7444697";"https://maps.google.com/?cid=0x0:0x95e05e8e0e141e21";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Nagari Katialo";"7MW9+H7P, Katialo, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Katialo, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";" 085263416307";"";"";"-0.703752";"100.667359";"https://maps.google.com/?cid=0x0:0x6ebf0f50fb210070";""
"komplek housing";"Pembangunan Perumahan";"Home tanjung";"CJJ2+CJR, Bukit Kanduang, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5688945";"100.6015225";"https://maps.google.com/?cid=0x0:0xc2cc0c1a5c765c17";""
"komplek housing";"Komplek perumahan";"Keluarga Besar Umar Dina";"9JMP+4PF, Sulit Air, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Sulit Air, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6170447";"100.6369147";"https://maps.google.com/?cid=0x0:0x995a0c8c79e55be1";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah fanisa";"7MG3+QC, Paninjauan, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.7230625";"100.6535625";"https://maps.google.com/?cid=0x0:0xdd136ea5f0b27e61";""
"komplek housing";"Komplek perumahan";"RUMAH NIAK SIAK";"8MF6+79V, Jorong air batumbuak, Paninjauan, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.6767727";"100.6609138";"https://maps.google.com/?cid=0x0:0x71e6891b9c951654";""
"komplek housing";"Komplek perumahan";"Nihar linawan";"9MV3+2RM, Sulit Air, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Sulit Air, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6074243";"100.6545589";"https://maps.google.com/?cid=0x0:0xfc1a6cd19260328";""
"komplek housing";"Komplek perumahan";"Rumah Kampuang";"Kode Pos: 37354, Jorong Silungkang, Nagari Sulit Air No.31, RW.07, X Koto Diatas, Solok Regency, West Sumatra";"Kabupaten Solok, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.6173113";"100.6436589";"https://maps.google.com/?cid=0x0:0xf2d24bbe0edc1051";""
"komplek housing";"Komplek perumahan";"Sawah loweh";"8M76+68X, Unnamed Road, Paninjauan, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Unnamed Road, Paninjauan, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6868946";"100.6608582";"https://maps.google.com/?cid=0x0:0xe8111a3e89e87982";""
"komplek housing";"Komplek perumahan";"Dangau Maiyah";"9JJP+MF9, Sulit Air, Kec. X Koto Diatas, Kabupaten Solok, Sumatera Barat 27355";"Sulit Air, Kec. X Koto Diatas, Kabupaten Solok";"SUMATERA BARAT";"27355";"Indonesia";"";"";"";"-0.6187318";"100.6359214";"https://maps.google.com/?cid=0x0:0x19beb5271645c9cd";""
