Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Komplek perumahan";"Zahrotul House";"QQJ2+CVQ, Kurnia Sel., Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Kurnia Sel., Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2188302";"101.7520864";"https://maps.google.com/?cid=0x0:0xe1c3e116d9dd64f0";""
"komplek housing";"komplek housing";"Sumatera Barat 27684";"Kabupaten Dharmasraya, Sumatera Barat";"Kabupaten Dharmasraya, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.2251951";"101.5702813";"https://maps.google.com/?cid=0x0:0x7bff0162c2d66054";""
"komplek housing";"Pembangunan Perumahan";"Khadadad";"QPHM+4MX, Perumahan Kemuning Residance, Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Perumahan Kemuning Residance, Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2221408";"101.7342339";"https://maps.google.com/?cid=0x0:0x510dac6cc9ebdd3c";""
"komplek housing";"Komplek perumahan";"Perumahan Kambang Baru Permai";"QP8R+RV2, Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2329891";"101.7421277";"https://maps.google.com/?cid=0x0:0x3980a676dbc11469";""
"komplek housing";"Gedung Apartemen";"Rumah PIYONSA";"GJQW+3Q, Sungai Limau, Kec. Asam Jujuhan, Kabupaten Dharmasraya, Sumatera Barat 27684";"Sungai Limau, Kec. Asam Jujuhan, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.4627119";"101.6464184";"https://maps.google.com/?cid=0x0:0x6819e716d073fc8f";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Perumahan Swarna Bumi 2";"VPF8+3R8, Koto Baru, Kec. Koto Baru, Kabupaten Dharmasraya, Sumatera Barat";"Kabupaten Dharmasraya, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";" 085256043312";"";"";"-1.1273311";"101.7170675";"https://maps.google.com/?cid=0x0:0x16ce478b5339f243";""
"komplek housing";"Komplek perumahan";"Anugerah Regency";"QPGM+97V, Unnamed Road, Rumbai River, Sungai Rumbai, Dharmasraya Regency, West Sumatra 27684";"Unnamed Road, Rumbai River, Sungai Rumbai, Dharmasraya Regency";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2240083";"101.7331845";"https://maps.google.com/?cid=0x0:0x2d64f4e5add36486";""
"komplek housing";"Komplek perumahan";"Oki Saputra";"PM5C+HXG, Jl. Sitiung IV, Koto Gadang, Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Jl. Sitiung IV, Koto Gadang, Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2912426";"101.6729618";"https://maps.google.com/?cid=0x0:0xcdbc6c06e0400ba8";""
"komplek housing";"Komplek perumahan";"Gapura";"QP7Q+JF7, Jl. Lintas Sumatera, Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Jl. Lintas Sumatera, Sungai Rumbai, Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2359562";"101.7386566";"https://maps.google.com/?cid=0x0:0x1cb61c19951d8815";""
"komplek housing";"komplek housing";"Pamsimas Banyu urip";"QQF7+2WP, Kurnia Sel., Kec. Sungai Rumbai, Kabupaten Dharmasraya, Sumatera Barat 27684";"Kurnia Sel., Kec. Sungai Rumbai, Kabupaten Dharmasraya";"SUMATERA BARAT";"27684";"Indonesia";"";"";"";"-1.2274024";"101.7648344";"https://maps.google.com/?cid=0x0:0x60fc051d80f208a9";""
