Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Pulau Pagai-selatan";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-3.0083912";"100.3048897";"https://maps.google.com/?cid=0x0:0xdccba311a1c5374d";""
"komplek housing";"Komplek perumahan";"Maonai Kampung Baru";"R88W+W88, Unnamed Road, Bulasat, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Unnamed Road, Bulasat, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-3.182714";"100.3458418";"https://maps.google.com/?cid=0x0:0x43306bc6f173a786";""
"komplek housing";"Komplek perumahan";"Seay lama";"6655+4CP, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7914839";"100.2086253";"https://maps.google.com/?cid=0x0:0x3253a0b5731057c5";""
"komplek housing";"Komplek perumahan";"Rumah Pak Maruli Telkom";"66C6+W4R, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7776467";"100.2102685";"https://maps.google.com/?cid=0x0:0x6c1ccb64ccc92b84";""
"komplek housing";"Komplek perumahan";"RUMAH PAABANAN";"25PW+FWX, Dusun 6, Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Dusun 6, Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.9637609";"100.197358";"https://maps.google.com/?cid=0x0:0xd064614a054e3687";""
"komplek housing";"Komplek perumahan";"Dusun Bunga Rayo, Desa Sinaka, Pagai Selatan";"VCVV+979, Sinaka, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sinaka, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-3.1065515";"100.4430313";"https://maps.google.com/?cid=0x0:0xa7a02d9967d0cfc3";""
"komplek housing";"Pembangunan Perumahan";"GRACE HOME";"655C+89R, Muara, Taikako, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Muara, Taikako, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7917112";"100.1709022";"https://maps.google.com/?cid=0x0:0xe03dc0e7d96dc8c4";""
"komplek housing";"Komplek perumahan";"MAK YAYAI";"66C7+V3H, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7778203";"100.2127371";"https://maps.google.com/?cid=0x0:0x640c8ef0d7abf0e7";""
"komplek housing";"Komplek perumahan";"Rumah-Iwan Tatubeketmm";"6655+4CP, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7921557";"100.2085733";"https://maps.google.com/?cid=0x0:0x86f041c8b1b374d1";""
"komplek housing";"Komplek perumahan";"Rumah Anan Gunawan Samaloisa";"29MX+3FG, Makalo, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Makalo, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";" 082241644135";"";"";"-2.9673215";"100.3987044";"https://maps.google.com/?cid=0x0:0xba3c80e8e8613d5f";""
"komplek housing";"Komplek perumahan";"Michael Home";"2722+H24, Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.9989125";"100.2506614";"https://maps.google.com/?cid=0x0:0x50c97ac1a0e2560f";""
"komplek housing";"Komplek perumahan";"Rulman";"6666+4CH, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7896778";"100.2110945";"https://maps.google.com/?cid=0x0:0xe3b09403b80bad7f";""
"komplek housing";"Komplek perumahan";"Kalista Home";"X7WW+M23, Bulasat, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-3.0033683";"100.2950619";"https://maps.google.com/?cid=0x0:0xa8db4fc5608e4e6b";""
"komplek housing";"Komplek perumahan";"Cempungan";"66F7+5VV, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.777";"100.2146702";"https://maps.google.com/?cid=0x0:0xa1f2f039df460f11";""
"komplek housing";"Komplek perumahan";"Rm";"663H+H3, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-2.7961746";"100.2275889";"https://maps.google.com/?cid=0x0:0x2b612830e50b2f74";""
"komplek housing";"Komplek perumahan";"Rumah Buai Michael";"Q9PQ+5C6, Sinaka, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sinaka, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-3.2145939";"100.388505";"https://maps.google.com/?cid=0x0:0x2056ebaab381c0a7";""
"komplek housing";"Komplek perumahan";"Rumah De Joey";"66F5+8M5, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.776732";"100.2092338";"https://maps.google.com/?cid=0x0:0x9182e0b3bdd0af3";""
"komplek housing";"Komplek perumahan";"Sikakap";"66C7+VJW, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7777713";"100.2140655";"https://maps.google.com/?cid=0x0:0x150c6ad500b180df";""
"komplek housing";"Komplek perumahan";"Sigalingging Masabuk";"66F4+J73, Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Sikakap, Kec. Sikakap, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.775997";"100.2056797";"https://maps.google.com/?cid=0x0:0xfdc257a755b3479d";""
"komplek housing";"Komplek perumahan";"Aliya Sachy";"25PW+Q4C, Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Malakopa, Kec. Pagai Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.9630552";"100.1952591";"https://maps.google.com/?cid=0x0:0xcdee54e047b7e310";""
"komplek housing";"Komplek perumahan";"Rumah eros";"62M5+94H, Silabu, Kec. Pagai Utara, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Silabu, Kec. Pagai Utara, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.7665543";"100.007868";"https://maps.google.com/?cid=0x0:0x7350c97bb384a36d";""
"komplek housing";"Pembangunan Perumahan";"Rumah r.a, sakerebau";"52VJ+65Q, Betumonga, Kec. Pagai Utara, Kabupaten Kepulauan Mentawai, Sumatera Barat 25391";"Betumonga, Kec. Pagai Utara, Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25391";"Indonesia";"";"";"";"-2.8076909";"100.0296294";"https://maps.google.com/?cid=0x0:0xaa755d6343ae52";""
"komplek housing";"komplek housing";"Esron";"QP73+GJ8, Simalegi, Siberut Bar., Kabupaten Kepulauan Mentawai, Sumatera Barat 25394";"Simalegi, Siberut Bar., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25394";"Indonesia";"";"";"";"-1.2362017";"98.704075";"https://maps.google.com/?cid=0x0:0x60287440525e9a18";""
"komplek housing";"komplek housing";"Siberut Bar.";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.2362017";"98.704075";"https://maps.google.com/?cid=0x0:0xc59ac22993dc2a27";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Devita Katelyn";"GR87+FMQ, Simatalu, Siberut Bar., Kabupaten Kepulauan Mentawai, Sumatera Barat 25394";"Simatalu, Siberut Bar., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25394";"Indonesia";"";"";"";"-1.4837767";"98.8142264";"https://maps.google.com/?cid=0x0:0x6f5b1d88d85e6b46";""
"komplek housing";"komplek housing";"Sumatera Barat 25393";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5405526";"98.9687011";"https://maps.google.com/?cid=0x0:0x949791061ec2c92c";""
"komplek housing";"Komplek perumahan";"Mentawai";"HWFF+HRV, Simatalu, Siberut Bar., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.426001";"98.9245343";"https://maps.google.com/?cid=0x0:0x874297b85825f272";""
"komplek housing";"Komplek perumahan";"Home Samarurok";"94PV+JW9, Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";" 082170099826";"";"";"-1.6134519";"99.1448703";"https://maps.google.com/?cid=0x0:0xe6445d40a8fa1196";""
"komplek housing";"komplek housing";"Rumah Nasarudin";"C657+HVG, Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5910549";"99.2146929";"https://maps.google.com/?cid=0x0:0xe01b495f7199eb93";""
"komplek housing";"Komplek perumahan";"Nowo fan home";"C637+GG8, Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5951708";"99.2129957";"https://maps.google.com/?cid=0x0:0x8aaa7e851b97be28";""
"komplek housing";"Komplek perumahan";"Home veri";"F58F+28V, Maileppet, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5348913";"99.1732936";"https://maps.google.com/?cid=0x0:0xb780dfbb5c5f38ea";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"CV. Aditya Siberut selatan";"C5CW+WC8, Maileppet, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.577718";"99.1960738";"https://maps.google.com/?cid=0x0:0xdc532336b5e98fde";""
"komplek housing";"Komplek perumahan";"Sioban";"HWFF+HRV, Simatalu, Siberut Bar., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.426001";"98.9245343";"https://maps.google.com/?cid=0x0:0x6742d4f88c204b2b";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah anugerah";"C4RF+99Q, Muntei, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5590333";"99.1234795";"https://maps.google.com/?cid=0x0:0x4e4017527a134cf0";""
"komplek housing";"Pembangunan Perumahan";"Home fauzi";"C5GW+WCR, Maileppet, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.5726267";"99.1960257";"https://maps.google.com/?cid=0x0:0x7901d122808f0738";""
"komplek housing";"komplek housing";"Laurensius tasiribeddei";"HWFF+HRV, Dusun Betaet Utara jl. Pln, Simatalu, Siberut Bar., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.426001";"98.9245343";"https://maps.google.com/?cid=0x0:0xb57deffdd0076eaa";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Deni Afrizal";"Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat 25393";"Kec. Siberut Sel., Kabupaten Kepulauan Mentawai";"SUMATERA BARAT";"25393";"Indonesia";" 081265064626";"";"";"-1.5975681";"99.2138546";"https://maps.google.com/?cid=0x0:0xca82e4b9a8704829";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Agus salimu house";"C637+H9X, Muara Siberut, Kec. Siberut Sel., Kabupaten Kepulauan Mentawai, Sumatera Barat";"Kabupaten Kepulauan Mentawai, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-1.595967";"99.213342";"https://maps.google.com/?cid=0x0:0xe612d0c51f2ec51b";""
