Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Kec. 2 X 11 Enam Lingkung";"Kabupaten Padang Pariaman, Sumatera Barat";"Kabupaten Padang Pariaman, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5762277";"100.2784705";"https://maps.google.com/?cid=0x0:0x533e519990e25349";""
"komplek housing";"Komplek perumahan";"Perumahan rang sikumbang";"C7FC+C7M, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat";"Kabupaten Padang Pariaman, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5764082";"100.270663";"https://maps.google.com/?cid=0x0:0x273b101dc5658bb1";""
"komplek housing";"Komplek perumahan";"Rumah Keke";"C7GH+C3G, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat";"Kabupaten Padang Pariaman, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5739296";"100.2777175";"https://maps.google.com/?cid=0x0:0x60a5ef32557ad244";""
"komplek housing";"Komplek perumahan";"Simp. Duku";"C7PF+M4P, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.563147";"100.2727576";"https://maps.google.com/?cid=0x0:0x7a614641c0eae736";""
"komplek housing";"Komplek perumahan";"Rumah Irwansyah";"C7FG+47P, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat";"Kabupaten Padang Pariaman, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5767632";"100.2756887";"https://maps.google.com/?cid=0x0:0x48f5c75c76d2daff";""
"komplek housing";"Pembangunan Perumahan";"Muhardi's Family Home";"C7PF+F98, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat";"Kabupaten Padang Pariaman, Sumatera Barat";"SUMATERA BARAT";"";"Indonesia";"";"";"";"-0.5638401";"100.2734466";"https://maps.google.com/?cid=0x0:0x2bfa468bbe003a80";""
"komplek housing";"Inspektur Tempat Tinggal";"Rumah iqbal";"C779+2JW, Sungai Asam, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Sungai Asam, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.5873791";"100.2690675";"https://maps.google.com/?cid=0x0:0x814be6b63347cad4";""
"komplek housing";"Komplek perumahan";"Rumah Nenek Ji Padang";"97F5+9R8, Pakandangan, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Pakandangan, Kec. Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.6265921";"100.2595772";"https://maps.google.com/?cid=0x0:0x7f1ce78ec67c54a";""
"komplek housing";"Komplek perumahan";"Rumah era";"C73F+F4J, Jl. Syekh Burhanuddin, Sungai Asam, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Jl. Syekh Burhanuddin, Sungai Asam, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.5962778";"100.2727708";"https://maps.google.com/?cid=0x0:0xcd7d8ca2a722d97";""
"komplek housing";"Komplek perumahan";"Misha house";"Jl. Syekh Burhanuddin No.495, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.5821832";"100.2753558";"https://maps.google.com/?cid=0x0:0xe8109dfb4bae82ef";""
"komplek housing";"Kompleks Kondominium";"ZAKIRMAN FAMILY HOUSE";"97RM+FG9, Jl. Raya Padang - Bukittinggi, Parit Malintang, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Jl. Raya Padang - Bukittinggi, Parit Malintang, Kec. Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.6084085";"100.2835689";"https://maps.google.com/?cid=0x0:0x411f456dd1ab5840";""
"komplek housing";"Pembangunan Perumahan";"ZER4";"Jl. Lintas Barat Sumatera No.345, Lubuk Pandan, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Lubuk Pandan, Kec. Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.6084085";"100.2836219";"https://maps.google.com/?cid=0x0:0x5ab4d49c5a7e5ba6";""
"komplek housing";"Komplek perumahan";"rumah akri";"Jl. Raya Padang - Bukittinggi No.48, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.5752209";"100.2785036";"https://maps.google.com/?cid=0x0:0x9109f711cba66aa8";""
"komplek housing";"Komplek perumahan";"Simpang tiga Pauah Sicincin";"C7GF+CPF, Jl. Pauh, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Jl. Pauh, Sicincin, Kec. 2 X 11 Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.5739414";"100.2742938";"https://maps.google.com/?cid=0x0:0x274b45424d3064bc";""
"komplek housing";"Asosiasi pemilik rumah";"Rumah Tante Ayang";"Jl. Raya Padang - Bukittinggi No.111, Parit Malintang, Kec. Enam Lingkung, Kabupaten Padang Pariaman, Sumatera Barat 25584";"Parit Malintang, Kec. Enam Lingkung, Kabupaten Padang Pariaman";"SUMATERA BARAT";"25584";"Indonesia";"";"";"";"-0.6210768";"100.2798801";"https://maps.google.com/?cid=0x0:0xf478df137743d9";""
