Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Tengah 74863,"Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.496827,113.9060624,https://maps.google.com/?cid=0x0:0xf3a5fde9497362af,
komplek housing,Kantor Administrasi Kota,Kantor Camat Banama Tingang,"Komplek Perkantoran Trans, Jl. Perkebunan Jl. Palangka Raya - Kuala Kurun, Bawan, Kec. Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah 74863","Jl. Perkebunan Jl. Palangka Raya - Kuala Kurun, Bawan, Kec. Banama Tingang, Kabupaten Pulang Pisau",KALIMANTAN TENGAH,74863.0,Indonesia,,,,-1.6159178,113.933697,https://maps.google.com/?cid=0x0:0xa68c653606e533f2,
komplek housing,Perhimpunan Pengembang Perumahan,Sadung desa goha,"9W3G+7Q, Goha, Kec. Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah","Kabupaten Pulang Pisau, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.6468171,113.9269348,https://maps.google.com/?cid=0x0:0xa4b39ab47e784196,
komplek housing,Komplek perumahan,Ramang,"7W9C+QV8, Ramang, Kec. Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah","Kabupaten Pulang Pisau, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.730576,113.922203,https://maps.google.com/?cid=0x0:0x3842fc0c3ab1cf49,
komplek housing,Komplek perumahan,human bp rika (almin),"HW3F+C6W, Tj. Karitak, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4463861,113.9230839,https://maps.google.com/?cid=0x0:0x74039fd412049709,
komplek housing,Kantor Pemerintah,Desa pangi,"CXC2+J73, Pangi, Kec. Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah 74863","Pangi, Kec. Banama Tingang, Kabupaten Pulang Pisau",KALIMANTAN TENGAH,74863.0,Indonesia,,,,-1.5784837,113.9506727,https://maps.google.com/?cid=0x0:0xe13be506e9f478d0,
komplek housing,Pembangunan Perumahan,Sanggar Senam Alam,"9WGC+XRV, Jl. Darung Bawan Permai komplek BTN pal 11 No.74, Bawan, Kec. Banama Tingang, Kabupaten Pulang Pisau, Kalimantan Tengah 74863","Jl. Darung Bawan Permai komplek BTN pal 11 No.74, Bawan, Kec. Banama Tingang, Kabupaten Pulang Pisau",KALIMANTAN TENGAH,74863.0,Indonesia,,,,-1.6225238,113.9220534,https://maps.google.com/?cid=0x0:0x9d8a8d7d3bcfc654,
komplek housing,Pembangunan Perumahan,Rumah BP. Andre Mahman/Mahir,"GV7X+24M, Sepang Simin, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah 74863","Sepang Simin, Kec. Sepang, Kabupaten Gunung MAS",KALIMANTAN TENGAH,74863.0,Indonesia,,,,-1.4874075,113.8977936,https://maps.google.com/?cid=0x0:0xe29dc241f63d30ae,
komplek housing,Komplek perumahan,Human MONONG BP SALSA,"HW3F+6C, Tj. Karitak, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4469442,113.923624,https://maps.google.com/?cid=0x0:0xa52ac4410fa39922,
komplek housing,komplek housing,Pt BAP bumi agro prima,"GXV3+RMV, Tewai Baru, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.455369,113.9542274,https://maps.google.com/?cid=0x0:0xe04a37e9a5e79068,
komplek housing,Komplek perumahan,Bapak Fernando (bue Vania),"GV6X+RGF, Sepang Simin, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4879347,113.8987837,https://maps.google.com/?cid=0x0:0x605e627cc036648f,
komplek housing,Komplek perumahan,PERUMAHAN GURU,"HWH9+J4, Rabauh, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4207914,113.9186982,https://maps.google.com/?cid=0x0:0x4dc127287ad8301f,
komplek housing,Pembangunan Perumahan,Jl.Palasuen,"JWP8+4PH, Jl. Palangka Raya - Kuala Kurun, Kampuri, Kec. Mihing Raya, Kabupaten Gunung MAS, Kalimantan Tengah 74863","Jl. Palangka Raya - Kuala Kurun, Kampuri, Kec. Mihing Raya, Kabupaten Gunung MAS",KALIMANTAN TENGAH,74863.0,Indonesia,,,,-1.3646778,113.9168518,https://maps.google.com/?cid=0x0:0xef523491ca972d87,
komplek housing,Komplek perumahan,Eka Bp Santi,"HW25+M2, Tj. Karitak, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4483362,113.9075938,https://maps.google.com/?cid=0x0:0x3b6f773641192e3a,
komplek housing,Komplek perumahan,Perumahan Karyawan,"GXV3+RMV, Tewai Baru, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.4553766,113.9541762,https://maps.google.com/?cid=0x0:0x87aebf3e307bb6e0,
komplek housing,Komplek perumahan,Rumah Jefri Rona,"JWM7+PJH, Rangan Tate, Kec. Mihing Raya, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.3656762,113.9141162,https://maps.google.com/?cid=0x0:0x6697b48fcf847417,
komplek housing,Komplek perumahan,Gudang puya depan mesjid mentaha,"MVQM+QF, Pilang Munduk, Kec. Kurun, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.3105625,113.8836875,https://maps.google.com/?cid=0x0:0x8e5f7555ebab73da,
komplek housing,Komplek perumahan,Rumah bapa rika,"HW3F+6C, Tj. Karitak, Kec. Sepang, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.446169,113.923099,https://maps.google.com/?cid=0x0:0x5db5bde7a584eb5d,
komplek housing,Komplek perumahan,Pasah 3 saudara putra,"JVR7+JQ, Kampuri, Kec. Mihing Raya, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.3584028,113.8644296,https://maps.google.com/?cid=0x0:0x715b7d5ea38cbfce,
komplek housing,Pembangunan Perumahan,OKFRIANTI,"Kampuri, Kec. Mihing Raya, Kabupaten Gunung MAS, Kalimantan Tengah","Kabupaten Gunung MAS, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.3410706,113.9232099,https://maps.google.com/?cid=0x0:0x1f27fabdacd7865d,
komplek housing,komplek housing,Kec. Banama Tingang,"Kabupaten Pulang Pisau, Kalimantan Tengah","Kabupaten Pulang Pisau, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-1.5763885,113.9265394,https://maps.google.com/?cid=0x0:0xc2314adf2e8a4645,
