Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kec. Batu Ampar,"Kabupaten Seruyan, Kalimantan Tengah","Kabupaten Seruyan, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.2108114,112.2371387,https://maps.google.com/?cid=0x0:0xbbfed576e16870be,
komplek housing,komplek housing,Kec. Batu Ampar,"Kota Batam, Kepulauan Riau","Kota Batam, Kepulauan Riau",KALIMANTAN TENGAH,,Indonesia,,,,1.171904,104.019403,https://maps.google.com/?cid=0x0:0x27ff497db30fc125,
komplek housing,Komplek perumahan,My home,"52MF+GF6, Jl. Tg. Sengkuang, Tj. Sengkuang, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29452","Jl. Tg. Sengkuang, Tj. Sengkuang, Kec. Batu Ampar, Kota Batam",KALIMANTAN TENGAH,29452.0,Indonesia,,,,1.1832388,104.0236301,https://maps.google.com/?cid=0x0:0x846b5b144f05419,
komplek housing,Komplek perumahan,Komplek Batam,"PVF8+JH3, RT.2/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520","RT.2/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur",KALIMANTAN TENGAH,13520.0,Indonesia,,,,-6.2759864,106.8664154,https://maps.google.com/?cid=0x0:0x7754f313efcd0be9,
komplek housing,Komplek perumahan,Rumah KIA,"Jl. Bawal No.20, Batu Merah, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29452","Batu Merah, Kec. Batu Ampar, Kota Batam",KALIMANTAN TENGAH,29452.0,Indonesia,,,,1.1860611,104.0106208,https://maps.google.com/?cid=0x0:0x5d3d1511af000670,
komplek housing,Pembangunan Perumahan,Jl batu Ampar 2,"Jalan batu Ampar 2 RT 08/RW.3 no12H, Jl. Raya Condet, Batu Ampar, Kec. Kramat jati","Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",KALIMANTAN TENGAH,,Indonesia,,,,-6.2843831,106.8577958,https://maps.google.com/?cid=0x0:0x926af5cfc970c7cc,
komplek housing,komplek housing,Kec. Batu Ampar,"Kota Batam, Kepulauan Riau","Kota Batam, Kepulauan Riau",KALIMANTAN TENGAH,,Indonesia,,,,1.171904,104.019403,https://maps.google.com/?cid=0x0:0x27ff497db30fc125,
komplek housing,komplek housing,Kec. Batu Ampar,"Kabupaten Seruyan, Kalimantan Tengah","Kabupaten Seruyan, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.2108114,112.2371387,https://maps.google.com/?cid=0x0:0xbbfed576e16870be,
komplek housing,Komplek perumahan,Komplek Batam,"PVF8+JH3, RT.2/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520","RT.2/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur",KALIMANTAN TENGAH,13520.0,Indonesia,,,,-6.2759864,106.8664154,https://maps.google.com/?cid=0x0:0x7754f313efcd0be9,
komplek housing,Komplek perumahan,Laban Home Stay,"Jl. Kav. Jujur Gg. Damai No.6 Blok E1, Tj. Buntung, Kec. Bengkong, Kota Batam, Kepulauan Riau 29453","Tj. Buntung, Kec. Bengkong, Kota Batam",KALIMANTAN TENGAH,29453.0,Indonesia,,,,1.1732953,104.0282267,https://maps.google.com/?cid=0x0:0xbca5b3f0b384ebd5,
