Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kalimantan Tengah 74173,Kalimantan Tengah,Kalimantan Tengah,KALIMANTAN TENGAH,,Indonesia,,,,-2.1830119,111.2368084,https://maps.google.com/?cid=0x0:0xfb45b5038030e34d,
mall,Komplek perumahan,Perum. Riam Permai 1,"M5C9+MJM, Jl. Pangeran Antasari, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl. Pangeran Antasari, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,85252952777.0,,,-2.3282945,111.169053,https://maps.google.com/?cid=0x0:0xe1877494d6aaa7d1,
mall,Toko,TOKO KHALISA,"Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,81381233773.0,,,-2.3003277,111.1915739,https://maps.google.com/?cid=0x0:0x81744da96abe7d67,
mall,mall,Kec. Balai Riam,"Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3330996,111.1544784,https://maps.google.com/?cid=0x0:0x3c62ae232bff479c,
mall,Pusat Perbelanjaan,TOKO TIARA,"RT 12, Bangun Jaya","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,85828080766.0,,,-2.30047,111.1953083,https://maps.google.com/?cid=0x0:0x4ffcb685851f25e4,
mall,Toko,depo l fitri,"M58P+JC2, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74172","Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74172.0,Indonesia,85252791039.0,,,-2.3334828,111.1860097,https://maps.google.com/?cid=0x0:0xf3e570dbfd332fc5,
mall,Toko bahan makanan,toko umanuel miga makmur jaya,"M583+2JF, Jl.Dr.Soetomo, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl.Dr.Soetomo, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3349382,111.154033,https://maps.google.com/?cid=0x0:0xac495ffe9f12397e,
mall,Toko,Toko Firdausy  Dany's Aquarium,"M5XM+77X, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,85252796260.0,,,-2.3017635,111.1832458,https://maps.google.com/?cid=0x0:0xc9f5cc5b0690f587,
mall,Kantor Pemerintah,Kantor Kecamatan Balai Riam,"M596+42R, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3321384,111.1600171,https://maps.google.com/?cid=0x0:0x5e99c634626dc1a9,
mall,Pusat Perbelanjaan,Kios Bu Imas,"P5PC+R22, Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.26299,111.170004,https://maps.google.com/?cid=0x0:0x307e91dd4e33c43d,
mall,Kantor Perusahaan,Ud. ANUGRAH MEBEL NAJIB,"M59P+775, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74172","Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74172.0,Indonesia,85345163699.0,,,-2.3318568,111.1857266,https://maps.google.com/?cid=0x0:0x9ed5e4b69e421c7a,
mall,Pusat Perbelanjaan,Toko hamdiah,"P5RM+GC6, Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.2587113,111.1835158,https://maps.google.com/?cid=0x0:0x6dccc6665adaddc1,
mall,Lapangan Sepak Bola,Bukit patung balai riam,"P555+724, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.2918632,111.1575859,https://maps.google.com/?cid=0x0:0x1b1f23bb4fe8e227,
mall,Sekolah Dasar,Bundaran Burung,"M5GM+CMQ, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3239114,111.1842407,https://maps.google.com/?cid=0x0:0xfca51a325d2722c8,
mall,Toko,TOKO SAFRUDIN SP4,"P5XH+MX9, Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,81251864954.0,,,-2.2512952,111.1803235,https://maps.google.com/?cid=0x0:0x900bebf721b6f7ac,
mall,Minimarket,Warung Sukma,"P6MC+XFV, Riam Durian - Penopa, Ajang, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Riam Durian - Penopa, Ajang, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.2650094,111.2211754,https://maps.google.com/?cid=0x0:0x392d5b768572fa9e,
mall,Jasa Renovasi,Rumah,"M54P+CFP, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,82154818594.0,,,-2.3439222,111.1862138,https://maps.google.com/?cid=0x0:0x61aee4d94f35c322,
mall,Toko,Toko Dunia Tani,"M583+VXM, Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,85252952777.0,,,-2.3327863,111.1549178,https://maps.google.com/?cid=0x0:0x7f208551f150521f,
mall,Dapur Umum,Toko Plastik dan Peralatan Dapur,"Unnamed Road, Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Natai Kondang, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,85393400500.0,,,-2.2561409,111.1804008,https://maps.google.com/?cid=0x0:0x4425420a703b7e11,
mall,mall,Kec. Jelai,"Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9859918,110.7376759,https://maps.google.com/?cid=0x0:0x877a89d41ac3d0a6,
mall,Toko sembako pemerintah,Toko Idola,"2P7P+MXH, Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Kuala Jelai, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-2.9858144,110.7374712,https://maps.google.com/?cid=0x0:0xd7ae2710205861b1,
mall,Perusahaan Operasi Pelabuhan,Pelabuhan Kuala Jelai,"2PCR+VGX, Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Kuala Jelai, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-2.9779595,110.741296,https://maps.google.com/?cid=0x0:0xe4f99f0316a1ff45,
mall,Rumah Sakit,UPT PUSKESMAS JELAI,"Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74771","Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74771.0,Indonesia,,,,-2.9783863,110.7428146,https://maps.google.com/?cid=0x0:0x26293a93902a92a7,
mall,Otoritas Pelabuhan,Pelabuhan Perikanan Kuala Jelai,"XW2V+XQW, Jl. Kuala Jelai, Sungai Raja, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Jl. Kuala Jelai, Sungai Raja, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-3.0475078,110.9444515,https://maps.google.com/?cid=0x0:0x40c8b77117f82099,
mall,Toko,Warung Usu MARTINI,"W2W9+2MQ, Sungai Damar, Kec. Pantai Lunci, Kabupaten Sukamara, Kalimantan Tengah 74171","Sungai Damar, Kec. Pantai Lunci, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-3.0542021,111.0187389,https://maps.google.com/?cid=0x0:0x1a1c283ffd89cabb,
mall,mall,Kuala jelai,"2PFR+FV2, Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Kuala Jelai, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-2.9763627,110.7421769,https://maps.google.com/?cid=0x0:0xd613904f51377fdf,
mall,mall,Toko Baju Felif,"2P7P+JFJ, Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Kuala Jelai, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-2.9859139,110.7361431,https://maps.google.com/?cid=0x0:0x99f173374e301514,
mall,Pusat Perbelanjaan,Jajuli Jorgi Gallery,"JHW7+42C, Jl. Nangka Raya, Parung Panjang, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360","Jl. Nangka Raya, Parung Panjang, Kec. Parung Panjang, Kabupaten Bogor",KALIMANTAN TENGAH,16360.0,Indonesia,82298888479.0,,,-6.3546913,106.5625222,https://maps.google.com/?cid=0x0:0xa34beaf34025f08d,
