Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kalimantan Tengah 74173,Kalimantan Tengah,Kalimantan Tengah,KALIMANTAN TENGAH,,Indonesia,,,,-2.1830119,111.2368084,https://maps.google.com/?cid=0x0:0xfb45b5038030e34d,
komplek housing,Komplek perumahan,BALAI RIAM RESIDENCE,"M5RJ+XF7, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.307576,111.1811642,https://maps.google.com/?cid=0x0:0xd793f40136e25f9b,
komplek housing,Komplek perumahan,Bun,"M453+6F9, Unnamed Road, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Unnamed Road, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.341971,111.103738,https://maps.google.com/?cid=0x0:0xdc72554ecb56b51a,
komplek housing,Komplek perumahan,mess Dea dan Rizki,"P529+RGG Mess PT KSK, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.2979466,111.1688236,https://maps.google.com/?cid=0x0:0x48504da9b04a29ca,
komplek housing,Komplek perumahan,HANNA 1,"M584+6X, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.334392,111.157444,https://maps.google.com/?cid=0x0:0x7b3f45259aca2f18,
komplek housing,komplek housing,Rumah Teguh,"M55M+4XM, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3421524,111.1849096,https://maps.google.com/?cid=0x0:0x1d285fad9d9062c5,
komplek housing,komplek housing,Tores trs,"M54J+V9, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74172","Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74172.0,Indonesia,,,,-2.342869,111.180168,https://maps.google.com/?cid=0x0:0xf1d94dc992313e43,
komplek housing,Komplek perumahan,Muh Ilham,"M5RM+X8P, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3077485,111.1827467,https://maps.google.com/?cid=0x0:0xde760216e34e4cdb,
komplek housing,Komplek perumahan,balai riam,"J5H4+MQ7, Air Dua, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3708462,111.1569294,https://maps.google.com/?cid=0x0:0x1b7cb9665aa06d28,
komplek housing,Komplek perumahan,Aqeela Naura's Home,"M5WJ+VWR, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,82112538393.0,,,-2.3027654,111.1822555,https://maps.google.com/?cid=0x0:0xca6c52410336b515,
komplek housing,komplek housing,Omah Kost Aletha 2,"M5WM+753, RT.005/rw001, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,82225002837.0,,,-2.3043617,111.182911,https://maps.google.com/?cid=0x0:0x87463b1f7681fd6b,
komplek housing,Misi,Nur Rohman SP3 Balai Riam,"P52J+22H Jln Arah PT. KSK, RT./RW/RW.01/01, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","RT./RW/RW.01/01, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,81349063400.0,,,-2.2999473,111.1801165,https://maps.google.com/?cid=0x0:0x7aaa417150171dea,
komplek housing,Komplek perumahan,Rumah arfan,"M5F5+9HX, Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3265085,111.1589871,https://maps.google.com/?cid=0x0:0x7ebdc869930b77c4,
komplek housing,Komplek perumahan,Perumahan Karyawan Afdeling XI - PT. GCM,"W54X+MW, Semantun, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.093346,111.199759,https://maps.google.com/?cid=0x0:0x9fa25b447858d469,
komplek housing,komplek housing,Perumahan Afdeling 9,"V5C8+C4R, Semantun, Kec. Permata Kecubung, Kabupaten Sukamara, Kalimantan Tengah 74173","Semantun, Kec. Permata Kecubung, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.1288981,111.1652687,https://maps.google.com/?cid=0x0:0xb9a99adab1ec17ce,
komplek housing,Komplek perumahan,Rumah Tian,"M57M+5P8, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74172","Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74172.0,Indonesia,,,,-2.3370886,111.1843255,https://maps.google.com/?cid=0x0:0xe82ad7a88a9d47b7,
komplek housing,Komplek perumahan,Gilang si bungsu,"M584+6X, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3336598,111.1571463,https://maps.google.com/?cid=0x0:0xffa752bfbb3633d1,
komplek housing,Komplek perumahan,Rumah Arya BalaiRiam,"M583+VV5, Jl. Demang Jemari, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl. Demang Jemari, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3331125,111.1548796,https://maps.google.com/?cid=0x0:0x70f162b210480a9c,
komplek housing,Komplek perumahan,Sri Hardiman (Melik),"M657+8GM, Bukit Sungkai, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,82256382877.0,,,-2.3416656,111.2137859,https://maps.google.com/?cid=0x0:0x523e6ae61691e6c7,
komplek housing,Pembangunan Perumahan,Fika sapnomo,"M5RJ+XF7, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3070447,111.18144,https://maps.google.com/?cid=0x0:0xdc6dcabb035a1f75,
komplek housing,komplek housing,Balai Riam,"Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3413411,111.1294996,https://maps.google.com/?cid=0x0:0x4d3c35ee012a5b81,
komplek housing,Perumahan rakyat,Balai riam,"XW7H+H7, Penyombaan, Kec. Arut Utara, Kabupaten Kotawaringin Barat, Kalimantan Tengah","Kabupaten Kotawaringin Barat, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.0360625,111.9281875,https://maps.google.com/?cid=0x0:0xfc589eb4b3728ca8,
komplek housing,Pembangunan Perumahan,Irma dwi Saputri,"M594+9PC, Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Jl. Kihajar Dewantara, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3316117,111.1574572,https://maps.google.com/?cid=0x0:0x9e39cf02303ec34b,
komplek housing,Pembangunan Perumahan,EL Shadai TOERNIP,"M593+49J, Balai Riam, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Balai Riam, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.3321724,111.1533821,https://maps.google.com/?cid=0x0:0xc7c51c735e45fd60,
komplek housing,Komplek perumahan,Sp 2 balai riam,"M53X+46F, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74172","Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74172.0,Indonesia,,,,-2.3471833,111.1980575,https://maps.google.com/?cid=0x0:0x3376167570eb8030,
komplek housing,Pembangunan Perumahan,Rumah Khayra,"M5XM+VR6, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.301157,111.1843641,https://maps.google.com/?cid=0x0:0x48de965abc1c81f8,
komplek housing,Toko Bahan Bangunan,Rumah,"M56Q+76C, Sekuningan Baru, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.3393014,111.1880283,https://maps.google.com/?cid=0x0:0x5021b674b4d0a989,
komplek housing,Komplek perumahan,Pak Syawal,"P53R+68M, Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara, Kalimantan Tengah 74173","Bangun Jaya, Kec. Balai Riam, Kabupaten Sukamara",KALIMANTAN TENGAH,74173.0,Indonesia,,,,-2.2965612,111.1920532,https://maps.google.com/?cid=0x0:0xa5c42ac7ac3956f5,
komplek housing,komplek housing,Kec. Jelai,"Kabupaten Sukamara, Kalimantan Tengah","Kabupaten Sukamara, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9859918,110.7376759,https://maps.google.com/?cid=0x0:0x877a89d41ac3d0a6,
komplek housing,Komplek perumahan,Gosong City,"2P7P+337, Kuala Jelai, Kec. Jelai, Kabupaten Sukamara, Kalimantan Tengah 74171","Kuala Jelai, Kec. Jelai, Kabupaten Sukamara",KALIMANTAN TENGAH,74171.0,Indonesia,,,,-2.9877913,110.7351351,https://maps.google.com/?cid=0x0:0x463024e5f43f190f,
