Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kalimantan Tengah 73862,Kalimantan Tengah,Kalimantan Tengah,KALIMANTAN TENGAH,,Indonesia,,,,-1.3062588,115.188916,https://maps.google.com/?cid=0x0:0x13b0d131c6a71cf5,
mall,Komplek perumahan,Pasar Batu Raya I,"Blok Batu Raya I, Ngurit, Kec. Gn. Timang, Kabupaten Barito Utara, Kalimantan Tengah 73862","Ngurit, Kec. Gn. Timang, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,,,,-1.3528365,115.2604206,https://maps.google.com/?cid=0x0:0xa8e432917e6d19a,
mall,Toko,Kios Nurul,"P4V9+5M9, Unnamed Road, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara, Kalimantan Tengah 73862","Unnamed Road, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,81345103223.0,,,-1.2570791,115.1192463,https://maps.google.com/?cid=0x0:0x3e25fd8e6a55bd5a,
mall,Toko Elektronik,Arul Ponsel Kandui,"P4RC+VJ7, Unnamed Road, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara, Kalimantan Tengah 73862","Unnamed Road, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,85388581234.0,,,-1.257828,115.1215443,https://maps.google.com/?cid=0x0:0x614a1628df5ba342,
mall,Toko bahan makanan,Toko Anwar,"Jl. Ahmad Yani, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara, Kalimantan Tengah 73862","Kandui, Kec. Gn. Timang, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,,,,-1.2610518,115.121254,https://maps.google.com/?cid=0x0:0x13a9d7159d8a4080,
mall,Pusat Pelayanan Keluarga,Pasar Baru Tumpung Laung 2,"MRGC+PG8, Tumpung Laung I, Kec. Montallat, Kabupaten Barito Utara, Kalimantan Tengah 73861","Tumpung Laung I, Kec. Montallat, Kabupaten Barito Utara",KALIMANTAN TENGAH,73861.0,Indonesia,,,,-1.3232012,114.8213178,https://maps.google.com/?cid=0x0:0x8e19d2b015b2aa81,
mall,Toko Elektronik,azacell,"VX73+XCQ, Jl. H. A. Dj. Nihin, Pandran Permai, Kec. Teweh Tengah, Kabupaten Barito Utara, Kalimantan Tengah 73861","Jl. H. A. Dj. Nihin, Pandran Permai, Kec. Teweh Tengah, Kabupaten Barito Utara",KALIMANTAN TENGAH,73861.0,Indonesia,81349737629.0,,,-1.1350407,114.9535997,https://maps.google.com/?cid=0x0:0x862ff8c7705a8121,
mall,Komplek perumahan,Pasar Batu Raya I,"J7W6+W2P, Unnamed Rd, Gn. Bintang Awai,, Ngurit, Kec. Gn. Bintang Awai, Kabupaten Barito Selatan, Kalimantan Tengah 73862","Unnamed Rd, Gn. Bintang Awai,, Ngurit, Kec. Gn. Bintang Awai, Kabupaten Barito Selatan",KALIMANTAN TENGAH,73862.0,Indonesia,,,,-1.3526716,115.2600866,https://maps.google.com/?cid=0x0:0xc20fd1629885de64,
mall,Toko,Toko Fauzan,"P4VC+MJ8, Kandui, Kec. Gn. Timang, Kabupaten Barito Utara, Kalimantan Tengah 73862","Kandui, Kec. Gn. Timang, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,85281782370.0,,,-1.255846,115.1215733,https://maps.google.com/?cid=0x0:0xa5abba19c96eb829,
mall,Toko Perlengkapan Rumah,toko mbak ulin,"VX72+6RX, Jl. H. A. Dj. Nihin, Pandran Permai, Kec. Teweh Tengah, Kabupaten Barito Utara, Kalimantan Tengah 73861","Jl. H. A. Dj. Nihin, Pandran Permai, Kec. Teweh Tengah, Kabupaten Barito Utara",KALIMANTAN TENGAH,73861.0,Indonesia,,,,-1.1368914,114.9521184,https://maps.google.com/?cid=0x0:0x23060042f42424b8,
mall,Toko bahan makanan,Toko Herlina Wati,"MVGX+F3R, Montallat II, Kec. Montallat, Kabupaten Barito Utara, Kalimantan Tengah 73862","Montallat II, Kec. Montallat, Kabupaten Barito Utara",KALIMANTAN TENGAH,73862.0,Indonesia,85245859874.0,,,-1.3237694,114.8976394,https://maps.google.com/?cid=0x0:0xff2c1012db21ef7,
mall,Toko bahan makanan,Kios Mama Uzi,"Tumpung Laung I, Kec. Montallat, Kabupaten Barito Utara, Kalimantan Tengah 73861","Kec. Montallat, Kabupaten Barito Utara",KALIMANTAN TENGAH,73861.0,Indonesia,82252637988.0,,,-1.3255338,114.8321482,https://maps.google.com/?cid=0x0:0x766fe073c010946c,
mall,Toko,*RETNO*,"H4VQ+5XJ, Unnamed Road, Bantai Bambure, Kec. Dusun Utara, Kabupaten Barito Selatan, Kalimantan Tengah 73753","Unnamed Road, Bantai Bambure, Kec. Dusun Utara, Kabupaten Barito Selatan",KALIMANTAN TENGAH,73753.0,Indonesia,83152702333.0,,,-1.4070474,115.1398995,https://maps.google.com/?cid=0x0:0x69e2dbcc4b07b783,
mall,Pusat Perbelanjaan,mall shopping center mtw,"3V3V+P2W, Jl. Panti Ajar, Lanjas, Kec. Teweh Tengah, Kabupaten Barito Utara, Kalimantan Tengah 73814","Jl. Panti Ajar, Lanjas, Kec. Teweh Tengah, Kabupaten Barito Utara",KALIMANTAN TENGAH,73814.0,Indonesia,,,,-0.9715883,114.8853009,https://maps.google.com/?cid=0x0:0x399c6991586aba21,
mall,Toko sembako pemerintah,Warung Santoso,"MRHC+35H, Tumpung Laung II, Kec. Montallat, Kabupaten Barito Utara, Kalimantan Tengah 73861","Tumpung Laung II, Kec. Montallat, Kabupaten Barito Utara",KALIMANTAN TENGAH,73861.0,Indonesia,,,,-1.3223081,114.8204819,https://maps.google.com/?cid=0x0:0xf06aa77d154bd30c,
mall,Kios,"3M-kios Moldy,MarshellMonica","Unnamed Road, Ngurit, Kec. Gn. Bintang Awai, Kabupaten Barito Selatan, Kalimantan Tengah 73862","Ngurit, Kec. Gn. Bintang Awai, Kabupaten Barito Selatan",KALIMANTAN TENGAH,73862.0,Indonesia,,,,-1.362589,115.280528,https://maps.google.com/?cid=0x0:0xae8a8dbe8b44efde,
