Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Fovere Hotel Kuala Kapuas By Conary,"Jl. Pemuda No.77, Selat Dalam, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Selat Dalam, Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,516767888.0,,,-2.9937165,114.3960879,https://maps.google.com/?cid=0x0:0x4ddcb4fb8fd2eca4,
hotel,hotel,Sungai Kapuas,"Pulau Telo, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-3.0094478,114.3642819,https://maps.google.com/?cid=0x0:0xe63c9106052a7420,
hotel,hotel,Kalimantan Tengah 73564,Kalimantan Tengah,Kalimantan Tengah,KALIMANTAN TENGAH,,Indonesia,,,,-2.8052142,114.3103718,https://maps.google.com/?cid=0x0:0xa7297816f2b0c354,
hotel,hotel,Hotel YUS,"Jalan Kalikasa, Parenggean, Kec. Parenggean, Kabupaten Kotawaringin Timur, Kalimantan Tengah","Kabupaten Kotawaringin Timur, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,82324360707.0,,,-2.0154695,112.7826059,https://maps.google.com/?cid=0x0:0x3d6ad29ab9a2eb0d,
hotel,hotel,Hotel Roos,"Jl. Tambun Bungai No.29, Selat Tengah, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Selat Tengah, Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,,,,-3.0021389,114.3913025,https://maps.google.com/?cid=0x0:0xcc67c71b96e22e38,
hotel,hotel,Kalimantan Tengah 73511,"Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9416511,114.3460283,https://maps.google.com/?cid=0x0:0xd98dbaf7a25971cc,
hotel,hotel,Hotel Kota Air Kuala Kapuas,"Jl. Jend. Sudirman No.10A, Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Selat Hilir, Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,81250076200.0,,,-3.0241802,114.3913275,https://maps.google.com/?cid=0x0:0x605b9ed4ec6066a1,
hotel,hotel,,,,KALIMANTAN TENGAH,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x995ca6b8040dea19%7C/g/11bx4k9k54%7Cen-ID,
hotel,hotel,Fovere Hotel Kuala Kapuas By Conary,"Jl. Pemuda No.77, Selat Dalam, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Selat Dalam, Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,516767888.0,,,-2.9937165,114.3960879,https://maps.google.com/?cid=0x0:0x4ddcb4fb8fd2eca4,
hotel,hotel,OYO 90112 Hotel Permata Inn,"1, Selat Hilir, Selat, Kapuas Regency, Banjarmasin, Kalimantan Selatan 73516","Selat Hilir, Selat, Kapuas Regency, Banjarmasin",KALIMANTAN TENGAH,73516.0,Indonesia,2129707601.0,,,-3.0145251,114.3907435,https://maps.google.com/?cid=0x0:0x84030d3dc1beeefc,
hotel,hotel,OYO 91833 Hotel Anggrek Daqu Syariah Kapuas,"62 Jalan Anggrek Selat Tengah, Kalimantan Tengah, Tugu, Kabupaten Kapuas, South Kalimantan 73513","Kalimantan Tengah, Tugu, Kabupaten Kapuas",KALIMANTAN TENGAH,73513.0,Indonesia,2129707601.0,,,-3.0190103,114.3931093,https://maps.google.com/?cid=0x0:0x8bb3d6698561b26,
hotel,hotel,Hotel Anggrek,"Selat Hilir, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,51321649.0,,,-3.0191181,114.3931058,https://maps.google.com/?cid=0x0:0xe3a7fabdf1c88fd6,
hotel,hotel,Hotel Permata Inn Cilik Riwut,"292R+3HR, Jl. Cilik Riwut No.101, Selat Tengah, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516","Jl. Cilik Riwut No.101, Selat Tengah, Kec. Selat, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,82186777437.0,,,-2.996783,114.3850913,https://maps.google.com/?cid=0x0:0x49457f8df82252fc,
