Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,Hostel,Rumah sendiri,"X9X2+X54, Basarang, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah 73516","Basarang, Kec. Basarang, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,,,,-3.0001129,114.3504446,https://maps.google.com/?cid=0x0:0x55fe43d4e052055,
komplek housing,komplek housing,Kalimantan Tengah 73564,Kalimantan Tengah,Kalimantan Tengah,KALIMANTAN TENGAH,,Indonesia,,,,-2.8052142,114.3103718,https://maps.google.com/?cid=0x0:0xa7297816f2b0c354,
komplek housing,komplek housing,Jhery Indriano,"Jl. Lintas Kalimantan No.48, Palangka, Kec. Kahayan Hilir, Kota Palangka Raya, Kalimantan Tengah","Kota Palangka Raya, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.7688048,114.283433,https://maps.google.com/?cid=0x0:0xe991832b1deaf0d9,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah Boe N. Bakar,"Anjir Kalampan, Kec. Kapuas Bar., Kabupaten Kapuas, Kalimantan Tengah 73564","Kec. Kapuas Bar., Kabupaten Kapuas",KALIMANTAN TENGAH,73564.0,Indonesia,,,,-2.7922431,114.3098122,https://maps.google.com/?cid=0x0:0xe0a90bc9f0a02f31,
komplek housing,Pusat Perbelanjaan,Fahri X-CEL,"37MC+HF8, Batu Nindan, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah 74873","Batu Nindan, Kec. Basarang, Kabupaten Kapuas",KALIMANTAN TENGAH,74873.0,Indonesia,,,,-2.916206,114.2705858,https://maps.google.com/?cid=0x0:0x951058e5dcd888e1,
komplek housing,Komplek perumahan,rumahh candraa adinata,"3844+9JR, Basarang Jaya, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9438917,114.3056309,https://maps.google.com/?cid=0x0:0xbdabd2af4400df59,
komplek housing,Komplek perumahan,I Kade suasman,"38GG+CRP, Unnamed Road, Naning, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah 73516","Unnamed Road, Naning, Kec. Basarang, Kabupaten Kapuas",KALIMANTAN TENGAH,73516.0,Indonesia,,,,-2.923924,114.3270814,https://maps.google.com/?cid=0x0:0xbf3fb670545cc2a9,
komplek housing,Komplek perumahan,Han,"38VQ+8Q5 Kel.Maju bersama, Sei Kayu, Kec. Kapuas Bar., Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9067488,114.3394935,https://maps.google.com/?cid=0x0:0x249d0200a78f751c,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah Muda'i ganteng,"3888+28, Basarang Jaya, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.934916,114.315869,https://maps.google.com/?cid=0x0:0xc3f487f87e0e1df1,
komplek housing,Komplek perumahan,Norhasanah,"59P6+92J, Mandomai, Kec. Kapuas Bar., Kabupaten Kapuas, Kalimantan Tengah 73564","Mandomai, Kec. Kapuas Bar., Kabupaten Kapuas",KALIMANTAN TENGAH,73564.0,Indonesia,,,,-2.8145076,114.3596281,https://maps.google.com/?cid=0x0:0x16061ecb9b259acd,
komplek housing,Komplek perumahan,Rumah okta,"Basarang km.11, Basarang Jaya, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah 73511","Basarang Jaya, Kec. Basarang, Kabupaten Kapuas",KALIMANTAN TENGAH,73511.0,Indonesia,,,,-2.9353946,114.2927537,https://maps.google.com/?cid=0x0:0x6ec167c12fc1b38f,
komplek housing,Gedung Apartemen,Rumah basarang,"3832+588, Basarang Jaya, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah","Kabupaten Kapuas, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.9470944,114.3008278,https://maps.google.com/?cid=0x0:0x21faceb07e1160ad,
komplek housing,Komplek perumahan,Apri home,"3888+JWC, Naning, Kec. Basarang, Kabupaten Kapuas, Kalimantan Tengah 73511","Naning, Kec. Basarang, Kabupaten Kapuas",KALIMANTAN TENGAH,73511.0,Indonesia,,,,-2.9334392,114.3172811,https://maps.google.com/?cid=0x0:0xaf8e093d60d4ee16,
