Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,Hotel,Bukit Raya Losmen,"Jl. Jend. S. Parman No.26, Mentawa Baru Hulu, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 78113","Mentawa Baru Hulu, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur",KALIMANTAN TENGAH,78113.0,Indonesia, 053131779,,,-2.538078,112.9524465,https://maps.google.com/?cid=0x0:0xd9a3cc3d3ca12ab7,
hotel,Hotel,Hotel Bukit Raya,"FW5W+QW6, Jl. MT. Haryono Tim., Mentawa Baru Hulu, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74312","Jl. MT. Haryono Tim., Mentawa Baru Hulu, Kec. Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur",KALIMANTAN TENGAH,74312.0,Indonesia,,,,-2.5405983,112.9472547,https://maps.google.com/?cid=0x0:0xa7001cce16f1545e,
hotel,hotel,Bukit Raya,"Kabupaten Katingan, Kalimantan Tengah","Kabupaten Katingan, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-0.9447632,112.1907122,https://maps.google.com/?cid=0x0:0xc298887006da1c70,
hotel,hotel,,,,KALIMANTAN TENGAH,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc3062cf55799e0c0%7C/g/11b73n581t%7Cen-ID,
hotel,hotel,Hotel YUS,"Jalan Kalikasa, Parenggean, Kec. Parenggean, Kabupaten Kotawaringin Timur, Kalimantan Tengah","Kabupaten Kotawaringin Timur, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia, 082324360707,,,-2.0154695,112.7826059,https://maps.google.com/?cid=0x0:0x3d6ad29ab9a2eb0d,
hotel,hotel,OYO 92211 Timur Raya Homestay Syariah,"Komplek Timur Raya Regency, Jl. Harapan Raya No.14 Blok A, Tengkerang Tim., Kec. Tenayan Raya, Kota Pekanbaru, Riau 28289","Jl. Harapan Raya No.14 Blok A, Tengkerang Tim., Kec. Tenayan Raya, Kota Pekanbaru",KALIMANTAN TENGAH,28289.0,Indonesia, 02129707601,,,0.4932844,101.4947902,https://maps.google.com/?cid=0x0:0xba7d07adf77e82b0,
hotel,hotel,New Holie Hotel,"Jl. Hangtuah No.108, Bencah Lesung, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28131","Bencah Lesung, Kec. Tenayan Raya, Kota Pekanbaru",KALIMANTAN TENGAH,28131.0,Indonesia, 081275523663,,,0.5063197,101.4992983,https://maps.google.com/?cid=0x0:0x9f9b3df30ab0abcb,
hotel,hotel,Riau 28281,"Rejosari, Kec. Tenayan Raya, Kota Pekanbaru, Riau","Kota Pekanbaru, Riau",KALIMANTAN TENGAH,,Indonesia,,,,0.510562,101.5191225,https://maps.google.com/?cid=0x0:0x31dba74df30a75fe,
hotel,hotel,Parma Express Hotel,"Jl. Gatot Subroto No.39B, Kota Tinggi, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28112","Kota Tinggi, Kec. Pekanbaru Kota, Kota Pekanbaru",KALIMANTAN TENGAH,28112.0,Indonesia, 0761854899,,,0.5299957,101.4510859,https://maps.google.com/?cid=0x0:0xd5654d6785f7e7dd,
hotel,hotel,RedDoorz near Parit Indah Pekanbaru,"Jl. Pesantren No.Kelurahan, pebatuan, Kulim, Kec. Tenayan Raya, Kota Pekanbaru, Riau 28289","pebatuan, Kulim, Kec. Tenayan Raya, Kota Pekanbaru",KALIMANTAN TENGAH,28289.0,Indonesia, 0895417300072,,,0.4658213,101.5019525,https://maps.google.com/?cid=0x0:0x3a803ce924cade58,
