Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,Toko Bahan Bangunan,Toko Bangunan ANUGRAH Bukit Raya,"Jl. Bukit Raya XII No.2a, Palangka, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 74874","Palangka, Kec. Jekan Raya, Kota Palangka Raya",KALIMANTAN TENGAH,74874.0,Indonesia,83899586603.0,,,-2.2066708,113.891134,https://maps.google.com/?cid=0x0:0xea480f473a624160,
toko bangunan,Toko Bahan Bangunan,Bukit Raya Bangunan,"Jl. Mad Nur, Iwul, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","Iwul, Kec. Parung, Kabupaten Bogor",KALIMANTAN TENGAH,16330.0,Indonesia,8111559981.0,,,-6.4616862,106.7069828,https://maps.google.com/?cid=0x0:0xc4d947072e4a48df,
toko bangunan,Toko Bahan Bangunan,Toko bangunan a2 berkah,"Jl. Sisingamangaraja Jl. Raden Saleh II No.samping, Menteng, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 74874","Menteng, Kec. Jekan Raya, Kota Palangka Raya",KALIMANTAN TENGAH,74874.0,Indonesia,85256292462.0,,,-2.2230046,113.911702,https://maps.google.com/?cid=0x0:0xeb2a0d6eb984dcb8,
toko bangunan,Toko Bahan Bangunan,Toko bangunan parung bukit murah bangunan,"Jl. H. Mawi No.8, Waru, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","Waru, Kec. Parung, Kabupaten Bogor",KALIMANTAN TENGAH,16330.0,Indonesia,87863629998.0,,,-6.4311513,106.7180319,https://maps.google.com/?cid=0x0:0x6133c5faaa2e3955,
toko bangunan,Toko Bahan Bangunan,Toko bangunan parung bukit murah jaya,"Jl. H. Mawi, RT.02/RW.02, Parung, Kec. Parung, Kabupaten Bogor, Jawa Barat 16330","RT.02/RW.02, Parung, Kec. Parung, Kabupaten Bogor",KALIMANTAN TENGAH,16330.0,Indonesia,85942026999.0,,,-6.4251051,106.7269814,https://maps.google.com/?cid=0x0:0x8fe5c01751f73961,
toko bangunan,Toko Bahan Bangunan,Toko ACC,"Jl. Bukit Duri Barat No. 270 Bukit Duri Tebet Jakarta Selatan DKI Jakarta, RT.7/RW.3, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850","RT.7/RW.3, Manggarai, Kec. Tebet, Kota Jakarta Selatan",KALIMANTAN TENGAH,12850.0,Indonesia,87761141363.0,,,-6.2171326,106.8547294,https://maps.google.com/?cid=0x0:0xf3e0dd4501e21a4d,
toko bangunan,Toko Bahan Bangunan,Sumber Bukit Raya Toko Bahan Bangunan,"Jl. Raya Industri No.2, Pasirsari, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530","Pasirsari, Cikarang Sel., Kabupaten Bekasi",KALIMANTAN TENGAH,17530.0,Indonesia,85777883592.0,,,-6.2979706,107.1462232,https://maps.google.com/?cid=0x0:0x7a73ea2a0773d074,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan Bukit Murah Bangunan 3,"Jl. Raya Parung No.56, RT.04/RW.06, Kemang, Kec. Kemang, Kabupaten Bogor, Jawa Barat 16310","RT.04/RW.06, Kemang, Kec. Kemang, Kabupaten Bogor",KALIMANTAN TENGAH,16310.0,Indonesia,83871856701.0,,,-6.5126744,106.7570953,https://maps.google.com/?cid=0x0:0xfbd0d9c866f47c6e,
toko bangunan,Pasar bahan bangunan,Toko Bangunan Bukit Pasifik,"Jl. Pendidikan II No.64, Pengasinan, Kec. Gn. Sindur, Kabupaten Bogor, Jawa Barat 16340","Pengasinan, Kec. Gn. Sindur, Kabupaten Bogor",KALIMANTAN TENGAH,16340.0,Indonesia,83161072773.0,,,-6.3661398,106.7013854,https://maps.google.com/?cid=0x0:0xd45902f6f79eb61c,
toko bangunan,Toko Bahan Bangunan,Bangun Permai Building Material and Tools Shop,"Jl. Boulevard Raya No.FW1/16, Klp. Gading Tim., Kec. Klp. Gading, Jakarta, Daerah Khusus Ibukota Jakarta 14240","Klp. Gading Tim., Kec. Klp. Gading, Jakarta",KALIMANTAN TENGAH,14240.0,Indonesia,81574797312.0,,,-6.164102,106.903328,https://maps.google.com/?cid=0x0:0x68aa247ea439f78,
toko bangunan,Toko Bahan Bangunan,Bukit bangunan,"Jl. Raya Dago No.2, Kabasiran, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360","Kabasiran, Kec. Parung Panjang, Kabupaten Bogor",KALIMANTAN TENGAH,16360.0,Indonesia,,,,-6.3581866,106.5829988,https://maps.google.com/?cid=0x0:0x48ec8d55147e086d,
toko bangunan,Toko Bahan Bangunan,Toko Bukit Barisan,"Jl. Karang Tengah Raya No.3 8, RT.3/RW.6, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440","RT.3/RW.6, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan",KALIMANTAN TENGAH,12440.0,Indonesia,217392879.0,,,-6.3133931,106.7812626,https://maps.google.com/?cid=0x0:0xb05a685bcfb77cf,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan,"RT.9/RW.1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850","Bukit Duri, Kec. Tebet, Kota Jakarta Selatan",KALIMANTAN TENGAH,12850.0,Indonesia,81574797312.0,,,-6.2171976,106.854571,https://maps.google.com/?cid=0x0:0x98904c7c38080d5,
toko bangunan,Toko Bahan Bangunan,PD. Mitra Bangunan,"Jln.kp Dukuh, Dukuh, Kec. Cikupa, Kabupaten Tangerang, Banten 15710","Dukuh, Kec. Cikupa, Kabupaten Tangerang",KALIMANTAN TENGAH,15710.0,Indonesia,82110831659.0,,,-6.2351255,106.5374894,https://maps.google.com/?cid=0x0:0xf9f736df3442008e,
