Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
toko bangunan,Pemasok produk beton,PT. Kalimantan Prakarsa Mandiri,"Jl. Natai Arahan, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74113","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74113.0,Indonesia,82253830806.0,,,-2.6713434,111.6564264,https://maps.google.com/?cid=0x0:0x4d5d9ce94f73c7db,
toko bangunan,toko bangunan,Kalimantan Tengah 74111,"Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah","Kabupaten Kotawaringin Barat, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.6520279,111.6362619,https://maps.google.com/?cid=0x0:0x2253408f4577629c,
toko bangunan,Toko Perlengkapan Rumah,TB Hari Jaya toko Bangunan dan cat,"8MQ2+XFF, Jl. Dr. H. Ujang Iskandar, Raja Seberang, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74111","Jl. Dr. H. Ujang Iskandar, Raja Seberang, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74111.0,Indonesia,82174980800.0,,,-2.6601133,111.6511884,https://maps.google.com/?cid=0x0:0xa2b142bed176fd36,
toko bangunan,Toko Bahan Bangunan,Bagan Jaya,"Jl. Sukma Aryaningrat, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85386353315.0,,,-2.6695247,111.639647,https://maps.google.com/?cid=0x0:0xeca54b2439dba37d,
toko bangunan,Toko Bahan Bangunan,Toko Cahaya Muda,"8JPX+C79, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82297956693.0,,,-2.6639542,111.6482412,https://maps.google.com/?cid=0x0:0x19070b8153a91733,
toko bangunan,Toko Bahan Bangunan,Toko bangunan mitra sarana,"8J3C+F6Q, Sidorejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Sidorejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,81385661699.0,,,-2.696175,111.6203035,https://maps.google.com/?cid=0x0:0x2b393e68af58b2f6,
toko bangunan,Toko Bahan Bangunan,toko bintang bangunan,"8J4G+Q57, Sidorejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Sidorejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82295703574.0,,,-2.6930953,111.6254124,https://maps.google.com/?cid=0x0:0xa9d41cf28beef9d8,
toko bangunan,Toko Bahan Bangunan,TOKO JABAL NUR,"8JJV+Q6C, Jl. Sukma Aryaningrat, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. Sukma Aryaningrat, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82221888189.0,,,-2.6680634,111.6430047,https://maps.google.com/?cid=0x0:0x24df5459e300a5f4,
toko bangunan,Gudang,Toko Serasi,"8JHQ+4CG, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,81385661699.0,,,-2.6721866,111.6385749,https://maps.google.com/?cid=0x0:0x28b26a7ff8125b25,
toko bangunan,Toko Bahan Bangunan,TOKO BANGUNAN  ULTAPON PVC INDOKARYA,"Samping Trakindo, Jl. Ahmad Yani No.KM 3 5, Kalimantan Tengah 74112",Jl. Ahmad Yani No.KM 3 5,KALIMANTAN TENGAH,74112.0,Indonesia,82295703574.0,,,-2.6620829,111.6536339,https://maps.google.com/?cid=0x0:0xf5c28628060cd00f,
toko bangunan,Toko Bahan Bangunan,Tb. Citra,"8JJW+3C6, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,81396801512.0,,,-2.6698305,111.6460108,https://maps.google.com/?cid=0x0:0xa390c3bcabc69a44,
toko bangunan,Toko Bahan Bangunan,Toko M.Rizal,"8JJR+HJC, Jl. Sukma Aryaningrat, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. Sukma Aryaningrat, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.668567,111.6415136,https://maps.google.com/?cid=0x0:0x8ad585648576cbe9,
toko bangunan,Toko Bahan Bangunan,Toko Bangunan ALBASITHU,"Jl. Bhayangkara No.35, Pasir Panjang, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181","Pasir Panjang, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74181.0,Indonesia,82182357020.0,,,-2.7343091,111.6389463,https://maps.google.com/?cid=0x0:0x55b57a034739091,
toko bangunan,Toko Bahan Bangunan,RJ Steel Pangkalan Bun,"Jl. Pakunegara No.56a, Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82174980800.0,,,-2.6766774,111.6365453,https://maps.google.com/?cid=0x0:0x2713fc227ef30fe9,
toko bangunan,Toko Bahan Bangunan,Toko Aldi,"8JHP+QX3, Jl. H. Udan Said, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. H. Udan Said, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82297956693.0,,,-2.6706107,111.6374298,https://maps.google.com/?cid=0x0:0x6a7a3eccda50a59a,
toko bangunan,Toko Bahan Bangunan,Toko Arena,"Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,83191741424.0,,,-2.6775389,111.6297819,https://maps.google.com/?cid=0x0:0x7c792382a114e517,
toko bangunan,Toko Bahan Bangunan,TOKO HIDAYAH,"8JFG+5X3, Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82297956693.0,,,-2.6771162,111.6274264,https://maps.google.com/?cid=0x0:0x66849c09876612c5,
