Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kalimantan Tengah 74111,"Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah","Kabupaten Kotawaringin Barat, Kalimantan Tengah",KALIMANTAN TENGAH,,Indonesia,,,,-2.6520279,111.6362619,https://maps.google.com/?cid=0x0:0x2253408f4577629c,
mall,Pasar,Pasar Indra Kencana,"Jl. PRA. Kesumayudha, Mendawai, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Mendawai, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.677186,111.6276753,https://maps.google.com/?cid=0x0:0x7bc1fdee56bd1b39,
mall,Pusat Perbelanjaan,Lifestyle center,"8JCG+M89, Jl. Pangeran Antasari, Mendawai, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. Pangeran Antasari, Mendawai, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85249181891.0,,,-2.6783469,111.6258498,https://maps.google.com/?cid=0x0:0x9ca47ddf2ed6b264,
mall,Pusat Perbelanjaan,Kampung Mall,"8MH7+G3J, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.6711548,111.6626372,https://maps.google.com/?cid=0x0:0x84d17c66f4ed07ab,
mall,Pusat Perbelanjaan,"Pusat Oleh-oleh PANGKALAN BUN,AA SNACK","8JCM+JFP, Jl. Pakunegara, Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. Pakunegara, Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85206287777.0,,,-2.6784148,111.633694,https://maps.google.com/?cid=0x0:0x69157e08e73c4c02,
mall,Pusat Perbelanjaan,Happy Zone Pangkalan Bun,"8JGM+9F7, Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.6740929,111.633669,https://maps.google.com/?cid=0x0:0xdd32f0df1c30bbca,
mall,Pusat Perbelanjaan,AVAIL PANGKALAN BUN (AMP),"Gg. Adungan 1, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85393420320.0,,,-2.6712073,111.6420338,https://maps.google.com/?cid=0x0:0x5be9a1245b06d437,
mall,Toko,Toko Ria,"9M23+333, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74111","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74111.0,Indonesia,,,,-2.6498552,111.6526864,https://maps.google.com/?cid=0x0:0x18b6b54d73c68c36,
mall,Pusat Perbelanjaan,Ciptaland,"Jl. Iskandar No.99, Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.7006702,111.6418021,https://maps.google.com/?cid=0x0:0x91e5c300eee1cf1d,
mall,Toko Pakaian,Toko Baju Serba Harga Murah Pangkalan Bun,"8JGQ+29R, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,82157276868.0,,,-2.6748899,111.6383779,https://maps.google.com/?cid=0x0:0x43acfb9f21e06410,
mall,Toko Pakaian,Toko ADN,"8JHQ+V49, Jl. Berunai, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Jl. Berunai, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,,,,-2.670325,111.6378557,https://maps.google.com/?cid=0x0:0x8762f9993431a4c0,
mall,Hipermarket,Borneo Citimall Pangkalan Bun,"7MR2+273, Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181","Madurejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74181.0,Indonesia,,,,-2.7099909,111.6506785,https://maps.google.com/?cid=0x0:0xe2824a738af7506,
mall,Penata Rambut,Agen Pomade Pangkalan Bun,"Jl. GM. Arsad No.RT 11, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85393420320.0,,,-2.6690314,111.6425347,https://maps.google.com/?cid=0x0:0x347e06dc0825a110,
mall,Toko Hewan Peliharaan,PETSHOP ALESHA PANGKALAN BUN,"Jl. GM. Arsad, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,85821301601.0,,,-2.6606613,111.6511134,https://maps.google.com/?cid=0x0:0x55504f2377d4ac16,
mall,Pusat Perbelanjaan,Toko Aneka Hasil Bumi,"Jl. Sukma Aryaningrat No.29, RT.06/RW.02, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112","RT.06/RW.02, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat",KALIMANTAN TENGAH,74112.0,Indonesia,81250615237.0,,,-2.6693703,111.6398441,https://maps.google.com/?cid=0x0:0x5261d9b021d6976b,
