Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,Pusat Perbelanjaan,Tarakan Mall,"8H5M+G73, Jl. Yos Sudarso No.1 Lantai 4, Karang Rejo, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara","Kota Tarakan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,3.308837,117.5831623,https://maps.google.com/?cid=0x0:0x1eeb4f8ef877ebd6,
mall,Toserba,Ramayana Gusher Plaza,"8H4H+7RP, Karang Rejo, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara","Kota Tarakan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,3.305723,117.5795852,https://maps.google.com/?cid=0x0:0x1e46136bbdb237bc,
mall,mall,Coffee Zone,"Karang Rejo, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara","Kota Tarakan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,3.3089548,117.5832988,https://maps.google.com/?cid=0x0:0xff17a5448d6db71,
mall,Toko Perlengkapan Bayi,KING BABY TANJUNG SELOR,"Jl. Sengkawit No.104, RT.56/RW.21, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77212","RT.56/RW.21, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan",KALIMANTAN UTARA,77212.0,Indonesia, 085281871878,,,2.855686,117.3662814,https://maps.google.com/?cid=0x0:0xf17a1ff3e8fc8c15,
mall,mall,Peso Hilir,"Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.7979259,116.9381434,https://maps.google.com/?cid=0x0:0x3e0d9d5c1d55d425,
mall,Pusat Perbelanjaan,Pasar Induk Tanjung Selor,"V93F+VHJ, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77216","Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan",KALIMANTAN UTARA,77216.0,Indonesia,,,,2.8547102,117.3739018,https://maps.google.com/?cid=0x0:0xf4c7a30b41976d25,
mall,Toko Pakaian Anak,Mall Baby Tanjung Selor,"Jl. Sengkawit, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77216","Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan",KALIMANTAN UTARA,77216.0,Indonesia, 081257220004,,,2.8543202,117.3702519,https://maps.google.com/?cid=0x0:0xde36b229e150e202,
mall,Toko Perlengkapan Bayi,KING BABY TANJUNG SELOR,"Jl. Sengkawit No.104, RT.56/RW.21, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara 77212","RT.56/RW.21, Tj. Selor Hilir, Kec. Tj. Selor, Kabupaten Bulungan",KALIMANTAN UTARA,77212.0,Indonesia, 085281871878,,,2.855686,117.3662814,https://maps.google.com/?cid=0x0:0xf17a1ff3e8fc8c15,
mall,mall,Kalimantan Utara 77263,"Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,3.1226414,116.8910342,https://maps.google.com/?cid=0x0:0x4e5101a5ecf582e,
mall,Toserba,Toserba cahaya Sekatak,"83F7+P73, Jl. Ahmad Yani, Sekatak Buji, Kec. Sekatak, Kabupaten Bulungan, Kalimantan Utara 77152","Jl. Ahmad Yani, Sekatak Buji, Kec. Sekatak, Kabupaten Bulungan",KALIMANTAN UTARA,77152.0,Indonesia, 081356425345,,,3.3242661,117.0631851,https://maps.google.com/?cid=0x0:0xc671fb661c8f71c9,
