Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,Perhimpunan Pengembang Perumahan,Long buang,"HPQG+MC9, Long Buang, Peso, Kabupaten Bulungan, Kalimantan Utara 77261","Long Buang, Peso, Kabupaten Bulungan",KALIMANTAN UTARA,77261.0,Indonesia,,,,2.5891539,116.7261197,https://maps.google.com/?cid=0x0:0x29f792e7449ae77,
komplek housing,komplek housing,Kalimantan Timur 77261,"Kabupaten Bulungan, Kalimantan Timur","Kabupaten Bulungan, Kalimantan Timur",KALIMANTAN UTARA,,Indonesia,,,,2.6962559,116.702495,https://maps.google.com/?cid=0x0:0xe6ef60e95fa46d53,
komplek housing,Kampus Asrama,Perumahan Sofwa Indah Permai 1  2,"RCH6+P5M, Jl. Manunggal, Tj. Selor Tim., Kec. Tj. Selor, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.8293382,117.4104268,https://maps.google.com/?cid=0x0:0xaaf1018c4c8c0855,
komplek housing,Komplek perumahan,Perumahan OA,"W7X5+93, Pimping, Kec. Tj. Palas Utara, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.948414,117.2577376,https://maps.google.com/?cid=0x0:0x15e41ab9bb0f1d51,
komplek housing,Perhimpunan Pengembang Perumahan,Rumah ku,"P4QF+5GF, RT.4, Long Beluah, Kec. Tj. Palas Bar., Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.7379457,117.1238021,https://maps.google.com/?cid=0x0:0x6a37ad50c21d6307,
komplek housing,Komplek perumahan,rumah rofiatun,"WX3P+M3X, RT.1/RW.1, Long Bang, Peso Hilir, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.9042476,116.9852422,https://maps.google.com/?cid=0x0:0x93f80f0b1b80800c,
komplek housing,Perhimpunan Pengembang Perumahan,POS 1,"P4QF+86X, Long Beluah, Kec. Tj. Palas Bar., Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.7383516,117.1231091,https://maps.google.com/?cid=0x0:0x6a09b6b4291c55a2,
komplek housing,Pembangunan Perumahan,Rumah saya,"M68V+6J9, Mara Hilir, Kec. Tj. Palas Bar., Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.6655325,117.2440957,https://maps.google.com/?cid=0x0:0xc6694ef6083ae63,
komplek housing,Komplek perumahan,Perumahan OB,"W7H8+WH, Tj. Palas Hilir, Kec. Tj. Palas, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.9297817,117.2664477,https://maps.google.com/?cid=0x0:0xbf32ce2b45820be5,
komplek housing,Perhimpunan Pengembang Perumahan,Tajau City,"RH46+V9Q, Long Lejuh, Peso, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.8072096,116.5609857,https://maps.google.com/?cid=0x0:0xbff9349ee43c46e0,
komplek housing,Komplek perumahan,Perumahan OD,"W7GX+RQ, Silva Rahayu, Kec. Tj. Palas Tengah, Kabupaten Bulungan, Kalimantan Utara","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.927103,117.2994757,https://maps.google.com/?cid=0x0:0xd9a98d1daa46754b,
komplek housing,Komplek perumahan,Heryan Noor,"Permata Indah, Jl. Perum Bulungan, Long Bang, Peso Hilir, Bulungan Regency, North Kalimantan","Kabupaten Bulungan, Kalimantan Utara",KALIMANTAN UTARA,,Indonesia,,,,2.9042476,116.9852422,https://maps.google.com/?cid=0x0:0x86be885d1f4629d,
