Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Bali 80611,"Kabupaten Bangli, Bali","Kabupaten Bangli, Bali",BALI,,Indonesia,,,,-8.4047261,115.3696844,https://maps.google.com/?cid=0x0:0x1c00c5eb6016bf10,
hotel,hotel,Tapa Agung View,"Jl. Raya Besakih, Menanga, Kec. Rendang, Kabupaten Karangasem, Bali 80863","Menanga, Kec. Rendang, Kabupaten Karangasem",BALI,80863.0,Indonesia,3665502455.0,,,-8.4099575,115.4249071,https://maps.google.com/?cid=0x0:0xf04069cfc11d4524,
hotel,hotel,,,,BALI,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xf04069cfc11d4524%7C/g/11vcx4bczv%7Cid-ID,
hotel,hotel,Bambootel Sawah View,"Banjar Maniktawang, Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552","Manukaya, Kec. Tampaksiring, Kabupaten Gianyar",BALI,80552.0,Indonesia,85974171995.0,,,-8.4247853,115.321693,https://maps.google.com/?cid=0x0:0x2e2f06740c382279,
hotel,hotel,The Scape Valley by Pramana Villas,"J8JR+69F, Jl. Raya Kintamani, Penglumbaran, Kec. Susut, Kabupaten Bangli, Bali 80661","Jl. Raya Kintamani, Penglumbaran, Kec. Susut, Kabupaten Bangli",BALI,80661.0,Indonesia,,,,-8.3689927,115.3409812,https://maps.google.com/?cid=0x0:0x227f7f4b8e8dbc78,
hotel,hotel,Green Pacing Lodge,"Yangapi, Kec. Tembuku, Kabupaten Bangli, Bali","Kabupaten Bangli, Bali",BALI,,Indonesia,85904285889.0,,,-8.447284,115.3902121,https://maps.google.com/?cid=0x0:0x819120e94b42ce62,
hotel,hotel,,,,BALI,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xb2ab0adf0af6d817%7C/g/1tcynbf_%7Cid-ID,
hotel,hotel,Puri Saron Hotel Madangan,"Ds Madangan Kaja, Desa Petak, Petak Kaja, Kec. Gianyar, Kabupaten Gianyar, Bali 80515","Desa Petak, Petak Kaja, Kec. Gianyar, Kabupaten Gianyar",BALI,80515.0,Indonesia,361954257.0,,,-8.4649117,115.3258662,https://maps.google.com/?cid=0x0:0xb2ab0adf0af6d817,
hotel,hotel,Pondok Manca,"G9XV+FVR, Undisan, Kec. Tembuku, Kabupaten Bangli, Bali","Kabupaten Bangli, Bali",BALI,,Indonesia,,,,-8.4512566,115.3946309,https://maps.google.com/?cid=0x0:0x95911f72a63c0356,
hotel,hotel,Aksha Riverside Ubud,"Jl. Pertiwi Brata, Tampaksiring, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552","Tampaksiring, Kec. Tampaksiring, Kabupaten Gianyar",BALI,80552.0,Indonesia,81337155266.0,,,-8.4327476,115.3177814,https://maps.google.com/?cid=0x0:0x3200e7e5f426e00c,
hotel,hotel,Alvia Joglo House  Private Pool,"Pulagan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552","Kec. Tampaksiring, Kabupaten Gianyar",BALI,80552.0,Indonesia,81916461808.0,,,-8.4330564,115.3103261,https://maps.google.com/?cid=0x0:0xd86e54680e7fd98a,
hotel,hotel,De Umah Bali Eco Tradi Home,"H95W+RVF, Br. undisan kaja, Jl. Raya Undisan, Undisan, Kec. Tembuku, Kabupaten Bangli, Bali 80671","Br. undisan kaja, Jl. Raya Undisan, Undisan, Kec. Tembuku, Kabupaten Bangli",BALI,80671.0,Indonesia,8123811161.0,,,-8.4402214,115.3967467,https://maps.google.com/?cid=0x0:0xfe41ade1b1e8caf1,
hotel,hotel,Umah saren homestay,"H92V+Q86 Jalan Legong Keraton, gang buntu banjar bukit sari, Undisan, Kec. Tembuku, Kabupaten Bangli, Bali 80671","gang buntu banjar bukit sari, Undisan, Kec. Tembuku, Kabupaten Bangli",BALI,80671.0,Indonesia,82340834635.0,,,-8.4481164,115.3932715,https://maps.google.com/?cid=0x0:0xd943c46d7d381420,
