Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Bali 80611,"Kabupaten Bangli, Bali","Kabupaten Bangli, Bali",BALI,,Indonesia,,,,-8.4047261,115.3696844,https://maps.google.com/?cid=0x0:0x1c00c5eb6016bf10,
building materials,Toko Bahan Bangunan,UD. SURYA BALI BANGUNAN,"J9C9+H23, Jl. Veteran, Kayubihi, Kec. Bangli, Kabupaten Bangli, Bali 80661","Jl. Veteran, Kayubihi, Kec. Bangli, Kabupaten Bangli",BALI,80661.0,Indonesia,85238067940.0,,,-8.3786095,115.3675486,https://maps.google.com/?cid=0x0:0x7ab705cc74d6ace6,
building materials,Toko Bahan Bangunan,RAJIN BANGUNAN,"Jl. Kesumayudha, Sulahan, Kec. Susut, Kabupaten Bangli, Bali 80661","Sulahan, Kec. Susut, Kabupaten Bangli",BALI,80661.0,Indonesia,81353322312.0,,,-8.4014975,115.3484071,https://maps.google.com/?cid=0x0:0x504756573f7771d4,
building materials,Toko Bahan Bangunan,Mahagotra Bangunan,"Jl. Putra Yuda No.18, Sulahan, Kec. Susut, Kabupaten Bangli, Bali 80661","Sulahan, Kec. Susut, Kabupaten Bangli",BALI,80661.0,Indonesia,81238506309.0,,,-8.4276371,115.3460557,https://maps.google.com/?cid=0x0:0x85a7bcc007885dc2,
building materials,Toko Bahan Bangunan,Sari Bambu,"H9Q5+CXP, Jl. Nusantara, Kayubihi, Kec. Bangli, Kabupaten Bangli, Bali","Kabupaten Bangli, Bali",BALI,,Indonesia,85238067907.0,,,-8.4114046,115.3599446,https://maps.google.com/?cid=0x0:0x116e47ac5ea81bc5,
building materials,Toko Kayu,UD. BUNCING SARI Head Office,"Jalan Putra Yuda No. 8 Susut Kawan, Susut, Kec. Bangli, Kabupaten Bangli, Bali 80661","Susut, Kec. Bangli, Kabupaten Bangli",BALI,80661.0,Indonesia,81353123070.0,,,-8.4510871,115.3460733,https://maps.google.com/?cid=0x0:0xf2feb147bdc6cc96,
building materials,Toko Bahan Bangunan,H.SANA JAYA GYPSUM,"Jl. Nusantara, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80613","Kubu, Kec. Bangli, Kabupaten Bangli",BALI,80613.0,Indonesia,81216509445.0,,,-8.4353648,115.3596394,https://maps.google.com/?cid=0x0:0xc4f1b628522bfae2,
building materials,Toko Bahan Bangunan,Agoeng TBTB,"G8XX+JX5, Jl. Kesumayudha, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80614","Jl. Kesumayudha, Kawan, Kec. Bangli, Kabupaten Bangli",BALI,80614.0,Indonesia,81337791499.0,,,-8.4509789,115.3499863,https://maps.google.com/?cid=0x0:0xd2670fdfff52ab05,
building materials,Toko Bahan Bangunan,UD nusa,"Jl. Merdeka No.126, Bebalang, Kec. Bangli, Kabupaten Bangli, Bali 80614","Bebalang, Kec. Bangli, Kabupaten Bangli",BALI,80614.0,Indonesia,,,,-8.4772231,115.351963,https://maps.google.com/?cid=0x0:0xf7a282abc8359503,
building materials,Toko Bahan Bangunan,UD KUMPUL SARI,"J9RV+R6W, Yangapi, Kec. Tembuku, Kabupaten Bangli, Bali 80671","Yangapi, Kec. Tembuku, Kabupaten Bangli",BALI,80671.0,Indonesia,85205536292.0,,,-8.357891,115.3930937,https://maps.google.com/?cid=0x0:0x8d874c7520efe2c,
building materials,Toko Bahan Bangunan,UD. Krisna Bayu,"P879+9RX, Jl. Raya Katung, Kintamani, Kec. Kintamani, Kabupaten Bangli, Bali 80652","Jl. Raya Katung, Kintamani, Kec. Kintamani, Kabupaten Bangli",BALI,80652.0,Indonesia,81585892128.0,,,-8.286513,115.3196008,https://maps.google.com/?cid=0x0:0x8f1bfbbc06ea273a,
