Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Banjar,"Dencarik, Kec. Banjar, Kabupaten Buleleng, Bali","Kabupaten Buleleng, Bali",BALI,,Indonesia,,,,-8.197.203,114.967.102,https://maps.google.com/?cid=0x0:0xa7e9487a89a6b594,
hotel,hotel,Tara Hotel,"JL. Air Sanih, Kubutambahan, Buleleng, Bukti, Singaraja, Kabupaten Buleleng, Bali 81172","Kubutambahan, Buleleng, Bukti, Singaraja, Kabupaten Buleleng",BALI,81172.0,Indonesia,8123760254,,,-80.792.522,1.152.218.494,https://maps.google.com/?cid=0x0:0xebd9d308698d03a0,
hotel,hotel,Gran Surya Hotel  Waterpark Bali,"Jl. Sudirman No.11, Seririt, Kec. Seririt, Kabupaten Buleleng, Bali 81153","Seririt, Kec. Seririt, Kabupaten Buleleng",BALI,81153.0,Indonesia,36293000,,,-81.921.851,1.149.438.678,https://maps.google.com/?cid=0x0:0x57e14a3c14fb35c1,
hotel,hotel,Pondok Wisata Grya Sari,"QXR8+C6X, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152","Banjar, Kec. Banjar, Kabupaten Buleleng",BALI,81152.0,Indonesia,81558520100,,,-82.088.847,114.965.623,https://maps.google.com/?cid=0x0:0x2cfff1131bd27456,
hotel,hotel,Villa Santika,"Dencarik, Kec. Banjar, Bali",Bali,BALI,,Indonesia,82381500818,,,-81.849.543,1.149.726.336,https://maps.google.com/?cid=0x0:0x8ad8c40429b807b,
hotel,hotel,IBI Villa,"Jl. Segara No.9x, Banjar, Kec. Banjar, Kabupaten Buleleng, Bali 81152","Banjar, Kec. Banjar, Kabupaten Buleleng",BALI,81152.0,Indonesia,87760087008,,,-81.831.861,1.149.643.634,https://maps.google.com/?cid=0x0:0x2d71b4fab2a49d13,
hotel,hotel,,,,BALI,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x623858c24e91555d%7C/g/12htvmn_x%7Cid-ID,
hotel,hotel,Padmasari Resort Hotel,"Lovina Beach, Singaraja, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81151","Singaraja, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng",BALI,81151.0,Indonesia,3623435750,,,-8.166.716,115.009.025,https://maps.google.com/?cid=0x0:0x623858c24e91555d,
hotel,hotel,The Cabin Hotel Lovina,"RX7J+V6H, Dencarik, Kec. Banjar, Kabupaten Buleleng, Bali 81152","Dencarik, Kec. Banjar, Kabupaten Buleleng",BALI,81152.0,Indonesia,82118888047,,,-818.539,114.981.143,https://maps.google.com/?cid=0x0:0x7342c432820fb554,
hotel,hotel,Dolphin Beach Bali Apartments,"R2M6+QX4, Jalan Raya Singaraja Seririt, Pantai Lovina, Kaliasem, Karangasem, Kabupaten Buleleng, Bali 81152","Jalan Raya Singaraja Seririt, Pantai Lovina, Kaliasem, Karangasem, Kabupaten Buleleng",BALI,81152.0,Indonesia,3623361163,,,-81.656.198,1.150.124.435,https://maps.google.com/?cid=0x0:0xd85f1f6d625ed491,
