Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Toko Bahan Bangunan,TB. Batu Lumbang,"C89F+Q84, Jl. Kurusetra, Keramas, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Kurusetra, Keramas, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,82162909047.0,,,-8.5806123,115.3233342,https://maps.google.com/?cid=0x0:0xa435aba5367e3f61,
building materials,Toko Bahan Bangunan,Permata Sari Bangunan,"Jl. Permata Pering, Pering, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Pering, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,87735647579.0,,,-8.5885083,115.3168928,https://maps.google.com/?cid=0x0:0x716506b5c28f49c3,
building materials,Toko Bahan Bangunan,Depo Bagoes Bangunan,"Jl. Mahendradata No.18, Bedulu, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80511","Bedulu, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80511.0,Indonesia,81805021818.0,,,-8.5351479,115.3080096,https://maps.google.com/?cid=0x0:0x3b473a950caea398,
building materials,Toko Bahan Bangunan,UD. Mandiri,"C8W3+53W, Jl. Wisma Udayana, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Wisma Udayana, Buruan, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,361942665.0,,,-8.5545237,115.3026903,https://maps.google.com/?cid=0x0:0xf52ed910d6eb199a,
building materials,Toko Batu,Kulit Batu Stone Veneer,"Jl. KH. Hasyim Ashari No.888, Nerogtog, Cipondoh, Kota Tangerang, Banten 15148","Nerogtog, Cipondoh, Kota Tangerang",BALI,15148.0,Indonesia,89623222600.0,,,-6.2096246,106.6881603,https://maps.google.com/?cid=0x0:0x4ea461a5d1d37391,
building materials,Toko,Cahaya Jaya Bangunan,"C85C+3HJ, Jl. Segara Willis, Pering, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Segara Willis, Pering, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,82247034516.0,,,-8.5922865,115.3213994,https://maps.google.com/?cid=0x0:0x395307a4a8962fc2,
building materials,Toko,Ud Putra Dewata Ayu,"C8J3+XX5, Jl. Raya Tojan, Pering, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Raya Tojan, Pering, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,8113990032.0,,,-8.5676153,115.3049846,https://maps.google.com/?cid=0x0:0xa060c559cf7432a6,
building materials,Toko Bahan Bangunan,Tata Griya Utama,"F823+H9X, Jl. Dharma Giri, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Dharma Giri, Buruan, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,361942879.0,,,-8.5485179,115.3034714,https://maps.google.com/?cid=0x0:0x9ea7d25b13e9784,
building materials,Toko,Ud. Aneka Jaya,"C7JV+WQ5, Jl. Astina Jaya, Blahbatuh, Blahbatu, Blahbatuh, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Astina Jaya, Blahbatuh, Blahbatu, Blahbatuh, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,361942705.0,,,-8.5677374,115.2944952,https://maps.google.com/?cid=0x0:0x496d4d7590da93ad,
building materials,Toko Bahan Bangunan,Bangunan Ekspres Gianyar,"Jl. Dharma Giri, Buruan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Buruan, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,85768097403.0,,,-8.5489656,115.3041258,https://maps.google.com/?cid=0x0:0x6e0b0dac854112d1,
building materials,Toko Bahan Bangunan,UD. TANJUNG BALI,"C85J+P85, Jl. Selukat, Keramas, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Selukat, Keramas, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,81337260632.0,,,-8.59073,115.3308691,https://maps.google.com/?cid=0x0:0xbd21ff47b03e87aa,
building materials,Toko Bahan Bangunan,BARRYS BANGUNAN,"C8HJ+7J7, Jl. Gusti Agung Made Gambar, Medahan, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581","Jl. Gusti Agung Made Gambar, Medahan, Kec. Blahbatuh, Kabupaten Gianyar",BALI,80581.0,Indonesia,,,,-8.5718358,115.3315458,https://maps.google.com/?cid=0x0:0x1ba4e25c5aa233b4,
