Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,perumahan,Bali 82211,"Pendem, Kec. Jembrana, Kabupaten Jembrana, Bali","Kabupaten Jembrana, Bali",BALI,,Indonesia,,,,-8.3591929,114.628832,https://maps.google.com/?cid=0x0:0x7f27513f7ae5cdf2,
perumahan,Komplek perumahan,Perumahan negara villa,"MJ4J+WMX, Pendem, Kec. Negara, Kabupaten Jembrana, Bali 82218","Pendem, Kec. Negara, Kabupaten Jembrana",BALI,82218.0,Indonesia,,,,-8.3426421,114.6317326,https://maps.google.com/?cid=0x0:0xf29047bafbd24037,
perumahan,Perumahan,Perumahan Mulya Jaya LC Mertasari,"JJHH+QCQ, Loloan Tim., Kec. Jembrana, Kabupaten Jembrana, Bali","Kabupaten Jembrana, Bali",BALI,,Indonesia,,,,-8.3712699,114.6294535,https://maps.google.com/?cid=0x0:0x9d8d435123cb29e,
perumahan,Pembangunan Perumahan,Rumah Subsidi Jembrana,"Jl. Udayana No.98, Banjar Tengah, Kec. Negara, Kabupaten Jembrana, Bali 82213","Banjar Tengah, Kec. Negara, Kabupaten Jembrana",BALI,82213.0,Indonesia,,,,-8.3543563,114.6116692,https://maps.google.com/?cid=0x0:0x10b25ea55ec0c839,
perumahan,Komplek perumahan,Perumahan kluster abdi pertiwi,"JJRW+48Q, Dauhwaru, Kec. Jembrana, Kabupaten Jembrana, Bali 82218","Dauhwaru, Kec. Jembrana, Kabupaten Jembrana",BALI,82218.0,Indonesia,83115515100.0,,,-8.359669,114.6458608,https://maps.google.com/?cid=0x0:0xa9cfe41d3facdec0,
perumahan,Pembangunan Perumahan,graha made profil,"Jl. Nusa Indah, Baler Bale Agung, Kec. Negara, Kabupaten Jembrana, Bali 82218","Baler Bale Agung, Kec. Negara, Kabupaten Jembrana",BALI,82218.0,Indonesia,82144842741.0,,,-8.3383189,114.6194129,https://maps.google.com/?cid=0x0:0x3ff8719d008fd8e,
perumahan,Perumahan,Perumahan graha surya mulya,"MJ39+4HQ, Baler Bale Agung, Kec. Negara, Kabupaten Jembrana, Bali 82218","Baler Bale Agung, Kec. Negara, Kabupaten Jembrana",BALI,82218.0,Indonesia,85238821747.0,,,-8.3471682,114.6189786,https://maps.google.com/?cid=0x0:0xba11bd54b9fde8a9,
perumahan,Pembangunan Perumahan,Perdana Residence,"Unnamed Road, Tegal Badeng Bar., Kec. Negara, Kabupaten Jembrana, Bali 82218","Tegal Badeng Bar., Kec. Negara, Kabupaten Jembrana",BALI,82218.0,Indonesia,85238700808.0,,,-8.3797846,114.5814153,https://maps.google.com/?cid=0x0:0xf8748ac4a6595074,
perumahan,Perumahan,Grand Baluk Tropical Villa's,"JJQ2+5RH, Baluk 1, Baluk, Kec. Negara, Kabupaten Jembrana, Bali 82213","Baluk 1, Baluk, Kec. Negara, Kabupaten Jembrana",BALI,82213.0,Indonesia,,,,-8.3623207,114.6021022,https://maps.google.com/?cid=0x0:0x3d6bf319986533bb,
perumahan,Toko Perlengkapan Rumah,MR.DIY,"Jl. Ngurah Rai, Pendem, Kec. Negara, Kabupaten Jembrana, Bali 82212","Pendem, Kec. Negara, Kabupaten Jembrana",BALI,82212.0,Indonesia,8133600569.0,,,-8.3605747,114.6303975,https://maps.google.com/?cid=0x0:0x90d4a9b84438418b,
