Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,perumahan,Bali 80752,"Kec. Banjarangkan, Kabupaten Klungkung, Bali","Kabupaten Klungkung, Bali",BALI,,Indonesia,,,,-8.512.833,1.153.726.469,https://maps.google.com/?cid=0x0:0x1c00c5eb6016c000,
perumahan,Komplek perumahan,Griya Anyar Banjarangkan,"C9V9+8W5, Banjarangkan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Banjarangkan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.555.222,115.369.659,https://maps.google.com/?cid=0x0:0xcf2b7b05a2ca6e67,
perumahan,Komplek perumahan,Rumah Bu Wayan Resi klungkung,"Jl. Nangka II No.18, Banjarangkan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Banjarangkan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.525.831,1.153.694.011,https://maps.google.com/?cid=0x0:0x1694a79909c1b836,
perumahan,Komplek perumahan,DESA NYALIAN,"G928+8WG, Jl. Raya Desa Nyalian, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Jl. Raya Desa Nyalian, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-84.991.751,1.153.673.305,https://maps.google.com/?cid=0x0:0x1ddce2b2e461500c,
perumahan,Peternak,BWW,"G957+2FG, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Nyalian, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-84.924.432,1.153.637.011,https://maps.google.com/?cid=0x0:0x1002b15c9ae58989,
perumahan,Komplek perumahan,Hunian Dewa Tirta,"F9VF+P84, Getakan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Getakan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.061.063,1.153.735.479,https://maps.google.com/?cid=0x0:0x23b8f07449842c8,
perumahan,Komplek perumahan,Rumah Isyana,"F9H6+GCH, Bakas, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Bakas, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.220.298,1.153.614.429,https://maps.google.com/?cid=0x0:0x8da92b93005d30fe,
perumahan,Komplek perumahan,Jro Dauh Nangke Umanyar,"G926+M72, Selamat Di Br.Umanyar, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Selamat Di Br.Umanyar, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,85161210140.0,,,-84.983.677,115.360.648,https://maps.google.com/?cid=0x0:0x4725f5982e183212,
perumahan,Komplek perumahan,Rumah mangku celempung,"F958+2G4, Gg. Cinta, Tusan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Gg. Cinta, Tusan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.424.894,1.153.663.274,https://maps.google.com/?cid=0x0:0x2bf0461c4c3a907d,
perumahan,Komplek perumahan,Rumah dek jon,"G98G+73M, Timuhun, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Timuhun, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-84.842.871,1.153.751.581,https://maps.google.com/?cid=0x0:0xe490caf633d2870e,
perumahan,Komplek perumahan,Rumah I Wayan Lasta Wirawan,"Banjarangkan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.510.185,1.153.763.979,https://maps.google.com/?cid=0x0:0xe6b8dc78500d31d0,
perumahan,Komplek perumahan,Belong Village,"F9MG+4MX, Gang Melati, Getakan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Gang Melati, Getakan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.171.337,1.153.767.474,https://maps.google.com/?cid=0x0:0x2dbf8b82620a4ad8,
perumahan,Pembangunan Perumahan,Gusde,"F9P5+R3R, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Nyalian, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.128.891,1.153.576.278,https://maps.google.com/?cid=0x0:0xefbbe1ee7479f54f,
perumahan,Komplek perumahan,Sang Nyoman Putrayasa,"Jl. Nakula No.3, Nyalian, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Nyalian, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.009.159,1.153.677.757,https://maps.google.com/?cid=0x0:0xe622a95c19970f97,
perumahan,Komplek perumahan,VILLA MANGKU SANTIYASA.,"G93F+9VQ, Aan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Aan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-84.965.282,1.153.747.366,https://maps.google.com/?cid=0x0:0xfd9d3f9c105745a,
perumahan,Pembangunan Perumahan,PURI BATAN TANJUNG BANJARANGKAN,"Jl. Durian II No.1, Dusun koripan, tengah, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Dusun koripan, tengah, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,85971864789.0,,,-85.522.608,1.153.783.855,https://maps.google.com/?cid=0x0:0x4e5570190e736cc7,
perumahan,Perhimpunan Pengembang Perumahan,Pondok Dauh klabah,"Getakan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.018.737,1.153.725.054,https://maps.google.com/?cid=0x0:0x10d8428a3778246f,
perumahan,Komplek perumahan,Griya Kemenuh Banjarangkan,"F92C+GHG, Tusan, Kec. Banjarangkan, Kabupaten Klungkung, Bali 80752","Tusan, Kec. Banjarangkan, Kabupaten Klungkung",BALI,80752.0,Indonesia,,,,-85.485.836,1.153.722.169,https://maps.google.com/?cid=0x0:0xc98b8b7c9b1c978f,
