Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"Guest house";"THE DUKUH RETREAT";"Jalan Raya Pantai Pasut - Kerambitan Banjar Tibupoh, Belumbang, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Belumbang, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 087866802220";"";"";"-8.5563587";"115.0542075";"https://maps.google.com/?cid=0x0:0xbb460a8fed5c4a9c";""
"hotel";"hotel";"Puri Arsa Bali";"Br Tegal Temu Kaja, Tibubiu, Tanah Lot, Kabupaten Tabanan, Bali 82161";"Tibubiu, Tanah Lot, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 082128005000";"";"";"-8.5615101";"115.0576881";"https://maps.google.com/?cid=0x0:0xd9c548c4a084bec0";""
"hotel";"hotel";"Amarta Beach Retreat by Nakula";"Banjar Pasut, Tibubiu, Kerambitan, Tabanan Regency, Bali 82161";"Tibubiu, Kerambitan, Tabanan Regency";"BALI";"82161";"Indonesia";" 08113997789";"";"";"-8.5616064";"115.0352706";"https://maps.google.com/?cid=0x0:0x34390ebe6c64e886";""
"hotel";"hotel";"Bali 82161";"Kabupaten Tabanan, Bali";"Kabupaten Tabanan, Bali";"BALI";"";"Indonesia";"";"";"";"-8.5496836";"115.0584612";"https://maps.google.com/?cid=0x0:0x1c00c5eb6016c200";""
"hotel";"hotel";"Dana's House";"Jl. Pantai Kelating, Kelating, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Kelating, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 081915763797";"";"";"-8.5652755";"115.0635353";"https://maps.google.com/?cid=0x0:0x9c865c7e4f120860";""
"hotel";"hotel";"Tanna Villa Bali Tabanan";"Jl. Pantai Kelating No.61, Kelating, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Kelating, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 08970826585";"";"";"-8.5786092";"115.0585357";"https://maps.google.com/?cid=0x0:0xffeab8b192e06ad4";""
"hotel";"hotel";"Maha Villa Kelating Beach";"Banjar Dauh Jl. Kelating, Kelating, Kec. Tabanan, Kabupaten Tabanan, Bali 82161";"Kelating, Kec. Tabanan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 081806881188";"";"";"-8.5648254";"115.0640241";"https://maps.google.com/?cid=0x0:0x99d423c084802482";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xbb460a8fed5c4a9c%7C/g/11frrc67v2%7Cid-ID";""
"hotel";"Hotel";"kelating dream guesthouse";"Jl. BR. Sangging, Kelating, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Kelating, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 081238103255";"";"";"-8.5722668";"115.0641467";"https://maps.google.com/?cid=0x0:0xcc02b2f709d7d24";""
"hotel";"hotel";"Jepun Sesandan Bali";"Jl. Sesandan, Megati, Kec. Selemadeg Tim., Kabupaten Tabanan, Bali 82162";"Megati, Kec. Selemadeg Tim., Kabupaten Tabanan";"BALI";"82162";"Indonesia";" 083866906123";"";"";"-8.4572171";"115.0626341";"https://maps.google.com/?cid=0x0:0xb189e17d1a45be4e";""
"hotel";"hotel";"Soori Bali";"Banjar Dukuh Desa Kelating, Kerambitan, Kelating, Kec. Tabanan, Kabupaten Tabanan, Bali 82161";"Kerambitan, Kelating, Kec. Tabanan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 03618946388";"";"";"-8.5770431";"115.0548037";"https://maps.google.com/?cid=0x0:0x50b2cb9c7a70e1d2";""
"hotel";"hotel";"Black Beach Villa by X2 Lifestyle";"Banjar Pasut, Tibubiu, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Tibubiu, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 087889898000";"";"";"-8.5608667";"115.0345182";"https://maps.google.com/?cid=0x0:0x454e7154788d6d72";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x50b2cb9c7a70e1d2%7C/g/1tdrnvyd%7Cid-ID";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xc7464485745499bb%7C/g/11b6dpbbrg%7Cid-ID";""
"hotel";"hotel";"Saranam Resort and Spa";"Jl. Baturiti - Mekarsari, Baturiti, Kec. Baturiti, Kabupaten Tabanan, Bali 82191";"Baturiti, Kec. Baturiti, Kabupaten Tabanan";"BALI";"82191";"Indonesia";"";"";"";"-8.336541";"115.1871027";"https://maps.google.com/?cid=0x0:0xc7464485745499bb";""
"hotel";"hotel";"HOMM Saranam Baturiti";"Jl. Baturiti - Mekarsari, Baturiti, Kec. Baturiti, Bedugul, Kabupaten Tabanan, Bali 82191";"Baturiti, Kec. Baturiti, Bedugul, Kabupaten Tabanan";"BALI";"82191";"Indonesia";" 03682301000";"";"";"-8.3365842";"115.1870232";"https://maps.google.com/?cid=0x0:0x41f928ef0bde45a1";""
"hotel";"hotel";"Umadhatu Resort";"Jalan Raya, Megati, Kec. Selemadeg Tim., Kabupaten Tabanan, Bali 82162";"Megati, Kec. Selemadeg Tim., Kabupaten Tabanan";"BALI";"82162";"Indonesia";" 081529206224";"";"";"-8.4987303";"115.0533696";"https://maps.google.com/?cid=0x0:0xd6797c9ec00634f2";""
"hotel";"hotel";"N/A";"";"";"BALI";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xd6797c9ec00634f2%7C/g/11clgmljkq%7Cid-ID";""
"hotel";"hotel";"Anya Homestay";"Jl. Raya Kerambitan Jl. Raya Br. Wani, Kerambitan, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161";"Kerambitan, Kec. Kerambitan, Kabupaten Tabanan";"BALI";"82161";"Indonesia";" 087860766889";"";"";"-8.5510021";"115.0771145";"https://maps.google.com/?cid=0x0:0x10f780de557ee75b";""
